,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5,1,1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-22 08:02:30.941240,hr
1,$67.50 /hr (est.),140400.0,Cloud Engineer,5,2,-1,CloudXoo,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 08:02:33.778750,hr
2,$19.00 /hr (est.),39520.0,Cyber Security and Cloud Computing Tutor,0,1,-1,"Georgetown Learning Centers
4.2",Remote,4.2,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.9,3.7,3.3,2023-05-22 08:02:38.942153,hr
5,$71.50 /hr (est.),148720.0,Cloud Architect,5,2,-1,CloudXoo,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 08:02:53.831729,hr
6,$30.00 /hr (est.),62400.0,Scripting and Programming Foundations (Complex)|| Fresher,5,1,1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-22 08:02:59.274520,hr
7,$77.50 /hr (est.),161200.0,Cloud Infrastructure Engineer,0,2,1,"Devcare Solutions
3.7","Trenton, NJ",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-22 08:03:02.350088,hr
9,$60.00 /hr (est.),124800.0,DevOps Engineer,7,1,-1,"Maven Workforce Pvt. Ltd.
4.1","Berkeley Heights, NJ",4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,2023-05-22 08:03:12.903464,hr
10,$87.50 /hr (est.),182000.0,Sr. Cloud Infrastructure Engineer,7,2,-1,"Zelus Inc.
3.0","Trenton, NJ",3.0,0,5,1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-05-22 08:03:16.054355,hr
13,"$75,000 /yr (est.)",75000.0,JR. CYBERSECURITY ANALYST,0,1,-1,"VSolvit
4.0",United States,4.0,0,17,201 to 500 Employees,2006,Company - Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.5,4.1,3.8,4.1,2023-05-22 08:03:29.247461,yr
15,"$215,257 /yr (est.)",215257.0,Cloud Computing Evangelist - Remote,0,1,1,"Akamai
4.5",United States,4.5,0,25,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),4.2,4.2,4.5,4.1,4.6,2023-05-22 08:03:36.922033,yr
18,$82.50 /hr (est.),171600.0,Cloud Transformation Consultant,1,1,1,"Synovize
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-22 08:03:47.292541,hr
20,"$229,000 /yr (est.)",229000.0,"Director, Cloud Computing",0,1,1,"UST
3.9","Aliso Viejo, CA",3.9,0,24,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,4.0,2023-05-22 08:03:55.794801,yr
21,"$51,150 /yr (est.)",51150.0,Application Developer on Z Apprentice,0,2,0,"IBM
4.0","San Jose, CA",4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-05-22 08:03:58.280235,yr
