,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5,1,1,Hurix Digital,Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-21 23:11:05.982080,hr
1,"$50,000 /yr (est.)",50000.0,Frontend engineer,1,2,1,Arvist,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:08.887555,yr
2,"$82,299 /yr (est.)",82299.0,XSELLARATE WEB DEVELOPMENT & MERCHANT SERVICES,1,1,-1,BPS,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:14.216059,yr
3,$22.00 /hr (est.),45760.0,Jr. Web Developer,1,1,0,HiFi Design,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:19.754025,hr
4,"$63,473 /yr (est.)",63473.0,Associate Web App Engineer,0,1,0,Hyperspace Ventures,"Durham, NC",4.2,0,6,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.5,4.5,2023-05-21 23:11:25.357395,yr
6,$15.00 /hr (est.),31200.0,Project Coordinator for Web Development Company,-1,-1,-1,Gretrix LLC,Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,4.3,2.9,3.8,3.3,4.0,2023-05-21 23:11:33.002032,hr
7,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,4,1,1,Zillow,Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-21 23:11:36.810160,yr
8,"$57,500 /yr (est.)",57500.0,Web Quality Assurance Engineer - Remote,3,1,-1,Provision IAM,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:40.137143,yr
9,"$95,000 /yr (est.)",95000.0,Full Stack Web Developer (Contract to hire),5,1,1,NovaWurks,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:45.547994,yr
10,$40.00 /hr (est.),83200.0,WEB CONTENT PROGRAMMER,5,2,-1,Princeton IT Services,Remote,4.2,1,15,1 to 50 Employees,2008,Private Practice / Firm,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.9,3.9,3.9,3.9,4.3,2023-05-21 23:11:51.412545,hr
11,"$70,414 /yr (est.)",70414.0,Junior Web Developer,1,1,-1,Crunchapps,"New York, NY",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:11:55.415538,yr
16,"$100,000 /yr (est.)",100000.0,Frontend Developer,3,1,-1,WPROMOTE,Remote,3.9,1,22,501 to 1000 Employees,2001,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.8,3.6,4.0,3.6,3.9,2023-05-21 23:12:20.475309,yr
18,$62.50 /hr (est.),130000.0,Web and Graphics Designer,0,1,-1,Creator Marketing,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:12:26.808991,hr
19,"$60,717 /yr (est.)",60717.0,Web Development,0,1,0,Family Reunion,"Vienna, VA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:12:32.078507,yr
20,$45.00 /hr (est.),93600.0,Freelance Web Designer (Contract),0,1,-1,Loopdash,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-21 23:12:37.562493,hr
21,"$95,000 /yr (est.)",95000.0,Full Stack Engineer,0,2,1,Endurance Warranty Services,Remote,3.4,1,17,201 to 500 Employees,2006,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.3,3.5,3.2,3.0,3.3,2023-05-21 23:12:42.867670,yr
22,"$71,327 /yr (est.)",71327.0,Web Development (Front End),2,1,-1,JEMSU,"Denver, CO",4.2,0,13,1 to 50 Employees,2010,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),4.0,3.5,4.4,3.9,4.3,2023-05-21 23:12:46.380593,yr
