,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,SDET/QA,4,SENIOR,BACHELOR,"Fuge Technologies Inc
4.7",$52.50 /hr (est.),Remote,4.7,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,4.7,4.5,4.7,4.3,4.5,2023-05-11 14:23:57.972903
1,QA Tester,10,SENIOR,MASTER,"Cloud Shift Technologies LLC
5.0",$58.50 /hr (est.),"Raleigh, NC",5.0,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.5,4.5,5.0,5.0,5.0,2023-05-11 14:24:00.308882
2,Amanda QA Analyst,8,-1,MASTER,"GSK Solutions Inc
3.9",$57.50 /hr (est.),Remote,3.9,True,1 to 50 Employees,2010,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.7,3.8,3.5,3.5,3.4,2023-05-11 14:24:02.854197
3,QA Tester,6,SENIOR,BACHELOR,"MARVEL TECHNOLOGIES INC
3.7",$47.50 /hr (est.),"Chicago, IL",3.7,False,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.9,3.6,3.9,3.8,3.6,2023-05-11 14:24:05.402835
4,QA Engineer - Entry level,2,SENIOR,BACHELOR,Tresume,$27.50 /hr (est.),"Detroit, MI",-1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 14:24:08.021748
5,QA Manual Tester,2,SENIOR,BACHELOR,"Devcare Solutions
3.7",$55.00 /hr (est.),"Columbus, OH",3.7,False,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-11 14:24:10.405845
6,QA Test Engineer,2,-1,BACHELOR,"Par Government Systems Corporation
4.4",-1,Remote,4.4,True,201 to 500 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,4.1,3.9,4.2,3.9,4.2,2023-05-11 14:24:13.474707
7,QA Automation Tester - remote,3,SENIOR,BACHELOR,Stockd Group,-1,Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 14:24:15.932169
8,QA Engineer –Remote,-1,-1,MASTER,"Aries Solutions
4.3",$57.50 /hr (est.),Remote,4.3,True,1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),4.3,4.0,4.3,4.3,4.3,2023-05-11 14:24:17.873853
9,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 14:24:20.374539
