,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,SDET/QA,109200.0,4,-1,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-10 09:47:23.790314
1,QA Tester,98800.0,-1,-1,SENIOR,"Chicago, IL",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3,Company - Private,3.7,3.9,3.6,3.9,3.8,3.6,"MARVEL TECHNOLOGIES INC
3.7",2023-05-10 09:47:26.571244
2,QA Tester,114400.0,-1,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,The Virtus Solution,2023-05-10 09:47:28.781721
3,QA Manual Tester,114400.0,-1,-1,SENIOR,"Columbus, OH",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-10 09:47:30.347018
4,Jr. QA Analyst,52000.0,2,BACHELOR,-1,"Phoenix, AZ",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Tresume,2023-05-10 09:47:32.515582
5,Amanda QA Analyst,119600.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,"GSK Solutions Inc
3.9",2023-05-10 09:47:34.559818
8,QA Automation Tester,93600.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Highbrow Technology Inc,2023-05-10 09:47:40.419518
9,QA Engineer –Remote,119600.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,-1,-1,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.3,4.3,4.0,4.3,4.3,4.3,"Aries Solutions
4.3",2023-05-10 09:47:44.636720
11,QA,52207.0,3,BACHELOR,SENIOR,"Fairfax, VA",0,Unknown,-1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.8,3.4,3.8,3.8,3.9,3.6,"CODEplus
3.8",2023-05-10 09:47:50.186582
12,QA Tester,68671.0,-1,-1,-1,"Vienna, VA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Alpha Omega,2023-05-10 09:47:52.131702
