,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,"North Druid Hills, GA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-11 14:51:57.433613
1,Data Engineer- Remote,218400.0,2,BACHELOR,-1,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,-1,-1,-1,-1,-1,"YT Global Network
5.0",2023-05-11 14:52:00.120395
3,Senior Data Analyst,145600.0,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Zora,2023-05-11 14:52:04.547317
5,Data Engineer/ Data Science on W2,98800.0,8,MASTER,SENIOR,"Greenwood Village, CO",0,1001 to 5000 Employees,5,-1,-1,Colleges & Universities,Education,Unknown / Non-Applicable,-1,College / University,4.5,4.4,4.2,4.2,3.9,4.1,"BITS
4.5",2023-05-11 14:52:08.775427
6,DATA ARCHITECT ( Chat GPT ),187200.0,1,MASTER,SENIOR,"Mansfield, OH",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.3,2.7,2.4,3.0,3.0,3.5,"Cloudious
3.3",2023-05-11 14:52:11.383457
7,"AI Architect | REMOTE | Data Science, AI/ML, R",161200.0,8,MASTER,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sciprex,2023-05-11 14:52:13.725279
9,Data Science Associate,97500.0,-1,-1,-1,United States,0,1 to 50 Employees,1,2015,8,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,Company - Private,4.4,4.5,4.6,4.1,4.1,4.6,-1,2023-05-11 14:52:17.146343
10,"Senior Data Scientist, Analytics",143079.0,4,BACHELOR,-1,"San Francisco, CA",0,501 to 1000 Employees,4,2015,8,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.6,3.5,4.0,3.6,3.1,3.4,"Discord
3.6",2023-05-11 14:52:18.564811
13,Computer Science Expert AI Training - Remote Work,52000.0,-1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.8,3.4,3.7,3.4,3.2,"Scaleapi
3.6",2023-05-11 14:52:24.034760
14,Data Analyst,79979.0,5,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,BET+,2023-05-11 14:52:26.271727
15,Business Analyst,119600.0,5,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-11 14:52:27.429144
17,"Technology Analyst Program - Data Science (Sunnyvale, CA)",95000.0,-1,BACHELOR,JUNIOR,"Sunnyvale, CA",0,10000+ Employees,7,1984,39,Financial Transaction Processing,Financial Services,$10+ billion (USD),9,Company - Public,3.1,3.1,3.2,3.0,2.7,3.1,"Fiserv, Inc.
3.1",2023-05-11 14:52:31.045413
19,Data Science Associate,96038.0,2,BACHELOR,-1,"Raleigh, NC",0,10000+ Employees,7,1987,36,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9,Company - Public,3.9,3.5,4.3,3.8,3.5,3.4,"Gilead Sciences
3.9",2023-05-11 14:52:34.978103
20,Data Scientist,161200.0,5,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,PROLIM Corporation,2023-05-11 14:52:36.755720
