,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Web Developer - Contract,166400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,The Uplift Agency,2023-05-07 21:22:51.277224
1,Jr. Web Developer,45760.0,-1,-1,JUNIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,HiFi Design,2023-05-07 21:22:52.757473
2,Frontend UI Developer,105000.0,-1,-1,-1,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,Resolvetech Solutions,2023-05-07 21:22:56.025563
3,Web Developer,135200.0,7,-1,-1,"Cleveland, OH",0,501 to 1000 Employees,4,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.2,4.2,4.2,4.2,4.1,4.4,Denken Solutions Inc,2023-05-07 21:22:57.809959
4,Web Developer,110531.2,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,symplore,2023-05-07 21:22:59.518386
5,Jr. Web Developer,55120.0,-1,BACHELOR,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,Devcare Solutions,2023-05-07 21:23:01.195143
6,Junior Web Developer,70238.0,-1,-1,-1,"New York, NY",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Crunchapps,2023-05-07 21:23:02.971941
7,Web Developer,56160.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Sterner Stuff,2023-05-07 21:23:04.668661
8,Jr Frontend Developer,70000.0,-1,-1,SENIOR,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,Modernize Home Services,2023-05-07 21:23:06.113004
9,Junior Software Developer (Remote),68078.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SnapRISK,2023-05-07 21:23:07.860818
10,Temporary Web Developer (Frontend),78000.0,-1,-1,-1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,Uncommon Goods,2023-05-07 21:23:09.289898
11,Web Developer,88500.0,-1,-1,-1,"San Francisco, CA",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,Vetro Tech Inc,2023-05-07 21:23:11.069538
12,Wix Web Designer/Developer,52000.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Resolution Web Development,2023-05-07 21:23:12.763236
13,Java API developer,109200.0,-1,-1,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,"EPSoft,Inc",2023-05-07 21:23:14.181829
14,Web Developer,83500.0,3,BACHELOR,-1,"Miami, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,MSP Recovery,2023-05-07 21:23:15.626889
15,PHP Web Developer & MariaDB,56160.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,YouHelp.com,2023-05-07 21:23:17.110188
16,Java Developer,124800.0,-1,-1,-1,Remote,1,1001 to 5000 Employees,5,-1,-1,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.2,4.4,4.3,4.2,DiamondPick,2023-05-07 21:23:18.529667
17,Angular Developer,104000.0,4,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LikeMinded Software,2023-05-07 21:23:20.207509
18,Web Designer/Developer,41600.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,EMDL,2023-05-07 21:23:21.642965
19,Angular Developer,130000.0,5,-1,-1,"Denver, CO",0,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,GSK Solutions Inc,2023-05-07 21:23:23.103260
20,Web Developer,90500.0,-1,-1,-1,"Riverside, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,KesarWeb,2023-05-07 21:23:26.520443
21,Jr. Web Developer,57500.0,-1,BACHELOR,JUNIOR,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,webfx.com,2023-05-07 21:23:28.171853
22,Junior Frontend Web Developer,52000.0,-1,-1,JUNIOR,"Coquille, OR",0,501 to 1000 Employees,4,-1,-1,Banking & Lending,Financial Services,$25 to $100 million (USD),4,Company - Private,3.7,3.3,3.6,2.2,2.5,2.3,First Community Credit Union of Oregon,2023-05-07 21:23:29.959136
23,Mid-Level Web Developer,62400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Udundi,2023-05-07 21:23:31.642425
24,Web Developer/Programmer,72800.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2000,23,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Public,3.2,3.1,3.1,3.2,3.3,3.5,V-Tech Solutions,2023-05-07 21:23:33.052255
25,Web UI Developer,95672.0,-1,BACHELOR,-1,"King of Prussia, PA",0,10000+ Employees,7,2004,19,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),8,Company - Public,3.5,3.2,3.7,3.3,2.8,3.1,CSL Behring,2023-05-07 21:23:38.566479
26,Front End UI Developer,120640.0,-1,-1,-1,"Greenwood Village, CO",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CloudSpace LLC,2023-05-07 21:23:42.739353
27,Sr. Java Developer,145600.0,-1,-1,-1,"Alpharetta, GA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Hemanth,2023-05-07 21:23:44.235992
28,Sr. Java Developer,140400.0,5,-1,-1,"Dimondale, MI",0,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,GSK Solutions Inc,2023-05-07 21:23:45.724395
29,Temporary Web Developer (Frontend),78000.0,-1,-1,-1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,Uncommon Goods,2023-05-07 21:23:47.520567
30,UI Developer,130000.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,Sunixa Solutions,2023-05-07 21:23:49.308959
31,Web Developer,56160.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Sterner Stuff,2023-05-07 21:23:51.114988
32,Java/J2EE Developer,117520.0,-1,BACHELOR,-1,"Dallas, TX",0,51 to 200 Employees,2,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,4.0,4.0,4.3,3.9,4.1,WorkCog,2023-05-07 21:23:52.571465
