,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Web Developer - Contract,166400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,The Uplift Agency,2023-05-09 16:37:01.154907
1,Jr. Web Developer,45760.0,-1,-1,JUNIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HiFi Design,2023-05-09 16:37:02.635142
2,Web Developer,110531.2,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,symplore,2023-05-09 16:37:04.077645
3,Web Developer,42640.0,-1,-1,-1,"Saint George, UT",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Incline Marketing Group,2023-05-09 16:37:05.776236
4,Web Designer/Developer,55120.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Computers, inc.",2023-05-09 16:37:07.580109
6,Junior Web Developer,70238.0,-1,-1,JUNIOR,"New York, NY",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Crunchapps,2023-05-09 16:37:11.079177
7,Junior Software Developer (Remote),68078.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SnapRISK,2023-05-09 16:37:12.849372
8,Java Developer,98800.0,-1,BACHELOR,-1,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Digital Plus Solutions,2023-05-09 16:37:14.774604
10,Jr. Web Developer,55120.0,-1,BACHELOR,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-09 16:37:17.860313
12,Wix Web Designer/Developer,52000.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Resolution Web Development,2023-05-09 16:37:20.986354
13,Java API developer,109200.0,-1,-1,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"EPSoft,Inc",2023-05-09 16:37:22.647236
14,Frontend UI Developer,105000.0,-1,-1,-1,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,"Resolvetech Solutions
4.0",2023-05-09 16:37:24.088884
15,Web Developer,75000.0,-1,-1,-1,"Jacksonville, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Doulton Kairos,2023-05-09 16:37:26.272230
16,Angular Developer,104000.0,4,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LikeMinded Software,2023-05-09 16:37:27.692767
17,Temporary Web Developer (Frontend),78000.0,-1,-1,-1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,"Uncommon Goods
4.3",2023-05-09 16:37:29.139579
18,Mid-Level Full-Stack Web Developer,62400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,VendCentral,2023-05-09 16:37:30.880561
19,Java/J2EE Developer,114400.0,7,-1,-1,"Ridgefield Park, Bergen, NJ",0,1 to 50 Employees,1,2014,9,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.7,4.9,4.8,5.0,5.0,4.9,"Geopaq Logic
4.7",2023-05-09 16:37:32.320854
20,Jr Frontend Developer,70000.0,-1,-1,SENIOR,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,"Modernize Home Services
4.1",2023-05-09 16:37:34.133407
21,Web Developer,60000.0,-1,HIGH-SCHOOL,-1,"Phoenix, AZ",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Concept Z Performance Inc.,2023-05-09 16:37:35.859841
