Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5.0,1,1,"Hurix Digital
3.2",Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894
$67.50 /hr (est.),140400.0,Cloud Engineer,5.0,2,-1,CloudXoo,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
$19.00 /hr (est.),39520.0,Cyber Security and Cloud Computing Tutor,0.0,1,-1,"Georgetown Learning Centers
4.2",Remote,4.2,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.6,3.5,3.9,3.7,3.3,hr,4.799479166666667,7.140425531914894
$71.50 /hr (est.),148720.0,Cloud Architect,5.0,2,-1,CloudXoo,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
$30.00 /hr (est.),62400.0,Scripting and Programming Foundations (Complex)|| Fresher,5.0,1,1,"Hurix Digital
3.2",Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894
$77.50 /hr (est.),161200.0,Cloud Infrastructure Engineer,0.0,2,1,"Devcare Solutions
3.7", NJ,3.7,0,18.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr,2.0,7.140425531914894
$60.00 /hr (est.),124800.0,DevOps Engineer,7.0,1,-1,"Maven Workforce Pvt. Ltd.
4.1", NJ,4.1,0,15.0,51 to 200 Employees,2008,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr,2.0,7.140425531914894
$87.50 /hr (est.),182000.0,Sr. Cloud Infrastructure Engineer,7.0,2,-1,"Zelus Inc.
3.0", NJ,3.0,0,5.0,1 to 50 Employees,2018,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,1.0,2.0
"$75,000 /yr (est.)",75000.0,JR. CYBERSECURITY ANALYST,0.0,1,-1,"VSolvit
4.0",LA,4.0,0,17.0,201 to 500 Employees,2006,Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.5,4.1,3.8,4.1,yr,3.0,7.140425531914894
"$215,257 /yr (est.)",215257.0,Cloud Computing Evangelist - Remote,0.0,1,1,"Akamai
4.5",LA,4.5,0,25.0,5001 to 10000 Employees,1998,Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),4.2,4.2,4.5,4.1,4.6,yr,6.0,7.0
$82.50 /hr (est.),171600.0,Cloud Transformation Consultant,1.0,1,1,"Synovize
5.0",Remote,5.0,1,49.74418604651163,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.799479166666667,7.140425531914894
"$229,000 /yr (est.)",229000.0,"Director, Cloud Computing",0.0,1,1,"UST
3.9", CA,3.9,0,24.0,10000+ Employees,1999,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,4.0,yr,7.0,2.0
"$51,150 /yr (est.)",51150.0,Application Developer on Z Apprentice,0.0,2,0,"IBM
4.0", CA,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0
"$250,100 /yr (est.)",250100.0,Team Amazon | Cloud Solutions Architect,0.0,1,1,"INTEL
4.2", CA,4.2,0,55.0,10000+ Employees,1968,Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,yr,7.0,9.0
"$110,149 /yr (est.)",110149.0,"Sr Cloud Azure DevOps Engineer (Terraform) - Phoenix, AZ (HYBRID)",9.0,2,1,"Accolite Digital
3.8", AZ,3.8,0,16.0,1001 to 5000 Employees,2007,Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.8,3.8,3.7,3.8,yr,5.0,6.0
"$160,000 /yr (est.)",160000.0,AWS Cloud Engineer,4.0,1,-1,"DSM Infocom
2.5", MD,2.5,0,49.74418604651163,-1,-1,Private,-1,-1,-1,2.7,2.1,2.6,2.4,2.5,yr,4.799479166666667,7.140425531914894
"$56,437 /yr (est.)",56437.0,Associate End User Computing Support Analyst,0.0,2,0,"PAYLOCITY CORPORATION
4.0", FL,4.0,0,26.0,1001 to 5000 Employees,1997,Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,4.0,4.2,3.9,4.0,yr,5.0,6.0
