Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue,Scale_Location
62400.0,Web Development Foundations (Complex) || Fresher,5.0,1,1,"Hurix Digital
3.2",Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894,1.0
140400.0,Cloud Engineer,5.0,2,-1,CloudXoo,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
39520.0,Cyber Security and Cloud Computing Tutor,0.0,1,-1,"Georgetown Learning Centers
4.2",Remote,4.2,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.6,3.5,3.9,3.7,3.3,hr,4.799479166666667,7.140425531914894,1.0
148720.0,Cloud Architect,5.0,2,-1,CloudXoo,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
62400.0,Scripting and Programming Foundations (Complex)|| Fresher,5.0,1,1,"Hurix Digital
3.2",Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894,1.0
161200.0,Cloud Infrastructure Engineer,8.0,2,1,"Devcare Solutions
3.7",NJ,3.7,0,18.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr,2.0,7.140425531914894,2.0
124800.0,DevOps Engineer,7.0,1,-1,"Maven Workforce Pvt. Ltd.
4.1",NJ,4.1,0,15.0,51 to 200 Employees,2008,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr,2.0,7.140425531914894,2.0
182000.0,Sr. Cloud Infrastructure Engineer,7.0,2,-1,"Zelus Inc.
3.0",NJ,3.0,0,5.0,1 to 50 Employees,2018,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,1.0,2.0,2.0
75000.0,JR. CYBERSECURITY ANALYST,2.0,1,-1,"VSolvit
4.0",LA,4.0,0,17.0,201 to 500 Employees,2006,Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.5,4.1,3.8,4.1,yr,3.0,7.140425531914894,3.0
215257.0,Cloud Computing Evangelist - Remote,10.0,1,1,"Akamai
4.5",LA,4.5,0,25.0,5001 to 10000 Employees,1998,Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),4.2,4.2,4.5,4.1,4.6,yr,6.0,7.0,3.0
