,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Associate QA Engineer,Job Title_Associate QA Engineer In Test,Job Title_Automation QA Engineer,Job Title_Entry Level Software Engineer,Job Title_Jr. QA Engineer,Job Title_Junior Manual QA Engineer (RocketCyber),Job Title_Junior QA Engineer,Job Title_Junior Test Engineer,Job Title_Junior Test Engineer (BID),Job Title_Manual QA Engineer,"Job Title_Manual QA Engineer, Behavioral Health Member Platform",Job Title_Manual Software Test Engineer - QA,Job Title_Manual Software Test Engineer - QA - Dallas,Job Title_Mobile Automation Engineer,Job Title_QA Automation Engineer,Job Title_QA Automation Engineer REMOTE,Job Title_QA Engineer,Job Title_QA Engineer (Remote Eligible),Job Title_QA Engineer (Remote),Job Title_QA Engineer - Remote,Job Title_QA Engineer III,Job Title_QA Engineer –Remote,"Job Title_QA Engineer, Aura",Job Title_QA Engineers,Job Title_QA Test Automation Engineer,Job Title_Quality Assurance Automation Engineer (REMOTE OPPORTUNITY),Job Title_Quality Assurance Engineer,Job Title_Quality Engineer,Job Title_SDET Engineer,Job Title_SDET/QA Automation Engineer,Job Title_SDET/QA Engineer,Job Title_Senior Data QA Automation Engineer,Job Title_Senior QA Engineer,Job Title_Senior Software Engineer QA (remote),Job Title_Software Engineer - QA - CFRT (Remote),Job Title_Software QA Engineer,Job Title_Software QA Engineer (Manual Tester),Job Title_Software QA Engineer II,Job Title_Software QA Engineer III,Job Title_Software QA/Test Engineer,Job Title_Software Quality Assurance (QA) Engineer,Job Title_Software Quality Assurance (QA) Test Engineer,Job Title_Software Quality Engineer,Job Title_Software Test Engineer,Job Title_Test Automation Engineer I,Job Title_Test Data Management Engineer,Job Title_Web Quality Assurance Engineer - Remote,Type of Ownership_-1,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Self-employed,Time Unit_hr,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$1 to $5 million (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$25 to $100 million (USD),Revenue_$5 to $10 billion (USD),Revenue_$5 to $25 million (USD),Revenue_$500 million to $1 billion (USD),Revenue_Less than $1 million (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Company Size_51 to 200 Employees,Company Size_Unknown,Location_ AL,Location_ AZ,Location_ CA,Location_ CO,Location_ DC,Location_ FL,Location_ IL,Location_ IN,Location_ MA,Location_ MD,Location_ ME,Location_ MO,Location_ NC,Location_ NH,Location_ NJ,Location_ NY,Location_ OH,Location_ TN,Location_ TX,Location_ UT,Location_ VA,Location_ WA,Location_ WI,Location_Berkley Heights,Location_Remote,Location_Texas,Location_United States
4,108400.0,5,1,-1,3.8,0,123,3.4,3.4,3.8,3.3,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,94734.0,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,105449.0,3,1,-1,3.9,0,3,4.1,4.2,4.2,4.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,56160.0,2,1,-1,3.2,0,-1,3.1,3.4,3.7,3.6,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,70000.0,2,1,0,4.1,0,-1,4.0,3.7,3.6,3.8,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,80884.0,3,1,-1,4.7,0,9,4.5,4.4,4.8,4.6,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,79355.0,0,2,-1,3.6,0,18,3.1,2.9,3.1,2.9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,114400.0,7,2,-1,2.3,0,-1,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,145000.0,5,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,115982.0,-1,-1,-1,4.3,0,23,4.2,4.1,4.2,4.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
