,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Appian Quality Assurance Tester,Job Title_Application Penetration Tester,Job Title_Application Tester - Junior,Job Title_Applications Tester,Job Title_Associate Analyst,Job Title_Associate Test Engineer,Job Title_Automated Tester,Job Title_Automation Tester,"Job Title_Automation Tester, Mid",Job Title_Business Analyst,Job Title_Business Analyst I,Job Title_Cyber Penetration Tester,Job Title_Cyber Penetration Tester (Hybrid),Job Title_Cyber Security Analyst,Job Title_Database Security Tester,Job Title_IT Auditor/IT Controls Testing Analyst,Job Title_IT Quality Analyst/Tester - ITS3,Job Title_IT SECURITY ANALYST,Job Title_IT- Quality Assurance Tester,Job Title_Informatica Tester,Job Title_Information Security Analyst,Job Title_Information Security Analyst – Penetration Tester,Job Title_Interest Rate Derivative Software Tester/Analyst,Job Title_Java Developer,Job Title_Junior Associate - Penetration Testing,Job Title_Junior Penetration Tester,Job Title_Junior Test Automation Engineer,Job Title_Junior Tester,Job Title_Junior/Mid-Level Penetration Tester,Job Title_Manual Tester,Job Title_Mid-Level Penetration Tester,Job Title_Penetration Tester,Job Title_Penetration Tester - Junior,Job Title_Penetration Tester I,Job Title_Penetration Tester [Remote],Job Title_Program Specialist I,Job Title_QA (Automation)Tester with Information Security background,Job Title_QA Analyst - Application Tester,Job Title_QA Automation Engineer,Job Title_QA Manual Tester,Job Title_QA Software Tester,Job Title_QA Specialist / Applications Tester,Job Title_QA TESTER,Job Title_QA Tester (Journeyman),Job Title_QA/Tester,Job Title_Quality Assurance Analyst,Job Title_Quality Assurance Engineer,Job Title_Quality Assurance Tester,Job Title_Red Team Penetration Tester,Job Title_SOFTWARE TESTER 1 - 46117,Job Title_Security Engineer,Job Title_Security Tester,Job Title_Senior Application Security Engineer - DAST,Job Title_Senior Automation Tester,"Job Title_Senior QA Analyst, Development",Job Title_Software Application Tester,Job Title_Software QA Specialist/Applications Tester,Job Title_Software QA Tester (REMOTE),Job Title_Software Quality Assurance Tester,Job Title_Software Test Engineer,Job Title_Software Tester,Job Title_Software Tester (Junior),Job Title_Software Tester - Mid Level,Job Title_Synack Red Team Member,Job Title_Systems Analyst,Job Title_Systems Engineer,Job Title_Tester,Job Title_Tester I,Job Title_Tester/QA Analyst- Expert- Remote Role,Job Title_Testing Specialist - Performance Tester,Job Title_Testing/Quality Assurance Analyst,Job Title_Wireless Penetration Tester US Remote,Type of Ownership_-1,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Government,Type of Ownership_Nonprofit Organization,Type of Ownership_Subsidiary or Business Segment,Time Unit_hr,Time Unit_mo,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$1 to $5 million (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$25 to $100 million (USD),Revenue_$5 to $10 billion (USD),Revenue_$5 to $25 million (USD),Revenue_$500 million to $1 billion (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Company Size_51 to 200 Employees,Location_ AL,Location_ CA,Location_ CO,Location_ CT,Location_ DC,Location_ FL,Location_ GA,Location_ HI,Location_ IL,Location_ IN,Location_ KS,Location_ KY,Location_ MD,Location_ ME,Location_ MI,Location_ MN,Location_ NC,Location_ NJ,Location_ NV,Location_ OR,Location_ PA,Location_ PR,Location_ SC,Location_ TN,Location_ TX,Location_ VA,Location_ VT,Location_ WA,Location_ WI,Location_Colorado,Location_Kentucky,Location_Missouri,Location_Remote,Location_United States,Location_Virginia
1,85639.0,10,1,1,3.6,0,57,3.3,3.5,3.5,3.4,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,93948.0,5,1,-1,4.2,1,15,4.0,3.9,4.2,4.0,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,60356.0,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,51161.0,5,1,-1,4.6,0,-1,4.3,4.4,4.5,4.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,55637.0,7,1,-1,4.1,0,16,3.9,3.9,4.2,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,81173.0,3,1,0,5.0,0,-1,4.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,64845.0,3,1,-1,4.0,0,-1,4.1,4.1,3.9,3.9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,125000.0,5,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,103573.0,0,1,1,4.1,0,67,3.3,4.0,4.2,3.4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,71906.0,9,1,-1,5.0,0,-1,4.6,4.6,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
