,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,"$45,000 /yr (est.)",45000.0,QA Tester - Junior,2,1,1,"MSC Technology
3.4",United States,3.4,0,3,501 to 1000 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.4,3.8,3.4,2.9,3.8,2023-05-24 00:02:08.403287,yr
3,$52.50 /hr (est.),109200.0,QA Manual Tester,-1,-1,-1,ExpressTech,"Las Vegas, NV",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:02:14.185626,hr
4,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,-1,-1,-1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,2023-05-24 00:02:19.068969,hr
5,$48.50 /hr (est.),100880.0,Sr. QA Tester,10,2,-1,"MARVEL TECHNOLOGIES INC
3.7","Auburn Hills, MI",3.7,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,3.9,3.8,3.6,2023-05-24 00:02:21.295137,hr
7,"$40,749 /yr (est.)",40749.0,Software Tester,0,1,1,"INGELLICOM
4.0","Guaynabo, PR",4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,5.0,4.0,4.0,2023-05-24 00:02:32.722700,yr
9,$22.50 /hr (est.),46800.0,Junior Software Tester,1,2,0,DataGenix Corporation,"Riverside, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:02:39.369243,hr
10,$52.50 /hr (est.),109200.0,QA Manual Tester,-1,-1,-1,ExpressTech,"Las Vegas, NV",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:02:44.752827,hr
11,"$60,106 /yr (est.)",60106.0,508 Software Tester,5,1,1,"The Prospective Group (TPG)
2.9","Springfield, VA",2.9,0,-1,-1,-1,-1,-1,-1,-1,1.0,4.0,1.0,1.0,1.0,2023-05-24 00:02:50.179107,yr
12,"$74,298 /yr (est.)",74298.0,Software Tester,5,1,-1,"Sev1Tech
4.1","Rosslyn, VA",4.1,0,13,501 to 1000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,4.0,4.3,4.0,4.0,2023-05-24 00:02:53.649855,yr
13,$55.00 /hr (est.),114400.0,Cognos Developer,1,2,1,ONE IT CORP,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:02:56.016235,hr
14,$50.00 /hr (est.),104000.0,Senior Software Tester,5,1,1,"Keyo
4.5",Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,3.5,5.0,4.0,4.5,4.0,2023-05-24 00:03:01.347718,hr
15,"$60,807 /yr (est.)",60807.0,Software Tester - AS/400,1,2,-1,E Tec Solutions,"Tampa, FL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:04.770113,yr
16,$75.00 /hr (est.),156000.0,Senior Manual QA Tester,-1,-1,-1,Match Made Tech,"Irvine, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:10.050712,hr
17,"$69,165 /yr (est.)",69165.0,Software QA Tester,0,2,-1,"Debt Pay Gateway Inc.
2.0","Schaumburg, IL",2.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:15.777207,yr
18,"$62,807 /yr (est.)",62807.0,Software Tester,3,1,1,"Grant Leading Technology
4.0","Lanham, MD",4.0,0,10,51 to 200 Employees,2013,Government,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,4.1,3.7,3.6,3.7,2023-05-24 00:03:20.167436,yr
20,"$65,000 /yr (est.)",65000.0,QA Manual Tester,4,2,-1,"Element5
3.6","Plano, TX",3.6,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.5,2.5,2.5,3.6,2023-05-24 00:03:26.278992,yr
21,"$50,596 /yr (est.)",50596.0,Software QA Tester,7,2,1,TRA'BIAN ENTERPRISES,"Harrisburg, PA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:29.863357,yr
23,$60.00 /hr (est.),124800.0,QA Analyst,5,2,-1,"On Demand Agility Software Pvt Ltd
3.9","Trenton, NJ",3.9,0,17,501 to 1000 Employees,2006,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.9,3.9,3.9,3.9,4.0,2023-05-24 00:03:39.883910,hr
26,$52.50 /hr (est.),109200.0,ETL Tester,5,1,-1,itheroes inc,"Fort Lauderdale, FL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:50.296354,hr
27,"$75,240 /yr (est.)",75240.0,Remote Quality Assurance Tester,4,1,-1,"ALEUT FEDERAL LLC
3.6","Reston, VA",3.6,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,3.5,3.7,4.1,2023-05-24 00:03:55.667975,yr
28,"$77,781 /yr (est.)",77781.0,IT Software Quality Assurance Testers @ Remote,0,2,1,"CEDENT
5.0","Olympia, WA",5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:03:59.115742,yr
29,$40.00 /hr (est.),83200.0,Software Tester 4,2,1,-1,"3S Network, Inc.
2.6","Berkeley Heights, NJ",2.6,0,23,51 to 200 Employees,2000,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$5 to $25 million (USD),2.3,2.2,2.2,2.2,2.3,2023-05-24 00:04:03.555816,hr
30,$40.00 /hr (est.),83200.0,Software Tester 4,2,1,-1,"3S Network, Inc.
2.6","Berkeley Heights, NJ",2.6,0,23,51 to 200 Employees,2000,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$5 to $25 million (USD),2.3,2.2,2.2,2.2,2.3,2023-05-24 00:04:13.408619,hr
31,$25.00 /hr (est.),52000.0,Tester,3,1,-1,"Vestas
3.8","Brighton, CO",3.8,0,78,10000+ Employees,1945,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.4,3.8,3.3,3.6,2023-05-24 00:04:16.038585,hr
35,"$88,750 /yr (est.)",88750.0,Jr Software Engineer,3,1,0,"webfx.com
4.3","Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,2023-05-24 00:04:30.201220,yr
36,"$95,000 /yr (est.)",95000.0,Software Quality Assurance Analyst,5,1,1,"CEDENT
5.0","Boulder, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:04:33.365141,yr
37,"$94,544 /yr (est.)",94544.0,Software Manual Tester,2,1,1,"Primafelicitas
4.8","San Francisco, CA",4.8,0,9,1 to 50 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),4.8,4.5,3.9,4.7,4.0,2023-05-24 00:04:37.747995,yr
38,"$93,741 /yr (est.)",93741.0,Tester,11,1,1,"The Swift Group
5.0","Herndon, VA",5.0,0,4,201 to 500 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-05-24 00:04:40.182972,yr
40,"$78,113 /yr (est.)",78113.0,Jr Software Engineer,1,1,1,"Convr
4.8","Schaumburg, IL",4.8,0,7,1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,3.8,4.5,4.4,4.1,2023-05-24 00:04:47.009071,yr
42,$72.00 /hr (est.),149760.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:04:54.171023,hr
43,"$60,000 /yr (est.)",60000.0,Manual Tester,5,1,-1,"BiSoft
4.5","Redmond, WA",4.5,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.3,4.4,4.6,4.3,2023-05-24 00:05:02.836233,yr
44,$31.50 /hr (est.),65520.0,IT Software Tester/QA Analyst 3 (VA80),5,2,1,Resource Management Associates LLC.,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:05:06.133539,hr
45,$30.00 /hr (est.),62400.0,QA Manual Tester,3,2,-1,"JB Software & Consulting
4.0","El Segundo, CA",4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,4.0,4.0,4.0,2023-05-24 00:05:11.301173,hr
46,$47.50 /hr (est.),98800.0,QA Automation Tester,5,1,-1,BUZZCLAN LLC,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:05:14.772668,hr
47,"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,3,1,1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-05-24 00:05:19.999756,yr
