,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
4,"$108,400 /yr (est.)",108400.0,QA Engineer,5,1,-1,Moody's, NY,3.8,0,123,10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$1 to $5 billion (USD),3.4,3.4,3.8,3.3,3.6,2023-05-24 01:27:59.848974,yr
5,"$94,734 /yr (est.)",94734.0,QA Engineer,0,1,-1,2Dream, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:28:03.036241,yr
6,"$105,449 /yr (est.)",105449.0,QA Engineer (Remote),3,1,-1,Primary.Health, CA,3.9,0,3,51 to 200 Employees,2020,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.1,4.2,4.2,4.1,4.3,2023-05-24 01:28:08.898870,yr
8,$27.00 /hr (est.),56160.0,Entry Level Software Engineer,2,1,-1,Diversified Services Network, IL,3.2,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.4,3.7,3.6,4.0,2023-05-24 01:28:14.948103,hr
9,"$70,000 /yr (est.)",70000.0,Manual Software Test Engineer - QA,2,1,0,Craftable, TX,4.1,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,3.6,3.8,4.0,2023-05-24 01:28:18.112783,yr
10,"$80,884 /yr (est.)",80884.0,QA Engineer,3,1,-1,Suralink Inc, UT,4.7,0,9,1 to 50 Employees,2014,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.4,4.8,4.6,4.8,2023-05-24 01:28:21.452561,yr
12,"$79,355 /yr (est.)",79355.0,QA Engineer,0,2,-1,Convene Technologies, TX,3.6,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,2.9,3.1,2.9,3.1,2023-05-24 01:28:27.497673,yr
13,$55.00 /hr (est.),114400.0,SDET/QA Automation Engineer,7,2,-1,Talent Group, NC,2.3,0,-1,-1,-1,-1,-1,-1,-1,1.7,1.7,1.7,1.7,1.7,2023-05-24 01:28:29.866627,hr
14,"$145,000 /yr (est.)",145000.0,Senior QA Engineer,5,2,-1,Pico, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:28:33.198025,yr
16,"$115,982 /yr (est.)",115982.0,QA Engineer,-1,-1,-1,Fortinet, CA,4.3,0,23,10000+ Employees,2000,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),4.2,4.1,4.2,4.1,4.2,2023-05-24 01:28:42.088836,yr
20,"$74,293 /yr (est.)",74293.0,QA Engineers,0,2,-1,NucleusTeq,Berkley Heights,4.7,0,5,201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.7,4.9,4.9,4.8,2023-05-24 01:28:58.035479,yr
21,"$93,771 /yr (est.)",93771.0,QA Automation Engineer,0,1,-1,Wise Equation Solutions, NJ,4.9,0,17,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.9,4.3,5.0,4.9,4.8,2023-05-24 01:29:00.515095,yr
23,"$72,251 /yr (est.)",72251.0,QA Engineer,-1,-1,-1,EnergySolutions, WI,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.6,3.5,3.3,3.4,2023-05-24 01:29:09.236514,yr
24,"$120,000 /yr (est.)",120000.0,QA Automation Engineer,4,1,-1,Utilidata,Remote,4.1,1,11,1 to 50 Employees,2012,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 million (USD),3.4,4.2,4.1,3.5,4.0,2023-05-24 01:29:12.601028,yr
25,"$67,500 /yr (est.)",67500.0,QA Engineer (Remote Eligible),2,1,1,Inspiration Mobility,United States,5.0,0,2,1 to 50 Employees,2021,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,4.9,4.5,5.0,4.9,4.3,2023-05-24 01:29:15.137052,yr
27,$57.50 /hr (est.),119600.0,QA Engineer –Remote,0,2,-1,Aries Solutions,Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.3,4.3,4.3,2023-05-24 01:29:21.275858,hr
28,"$71,377 /yr (est.)",71377.0,Associate QA Engineer,0,1,0,Fusion Health, NJ,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.7,4.4,4.1,4.6,2023-05-24 01:29:24.735833,yr
29,"$107,500 /yr (est.)",107500.0,Software Quality Assurance (QA) Engineer,0,1,1,Rubris,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:29:28.454398,yr
30,$51.50 /hr (est.),107120.0,Software QA Engineer,8,1,-1,ASA,Remote,3.6,1,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.4,3.5,3.6,3.5,2023-05-24 01:29:41.255201,hr
31,"$104,308 /yr (est.)",104308.0,QA Engineer III,0,1,-1,Shift4 Payments, MD,3.6,0,24,1001 to 5000 Employees,1999,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,3.5,3.5,3.1,3.7,2023-05-24 01:29:45.081763,yr
32,$40.44 /hr (est.),84115.2,Software QA Engineer,1,2,-1,Boston Technology, MA,4.3,0,19,51 to 200 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.2,4.3,4.3,4.0,2023-05-24 01:29:48.954850,hr
36,"$92,180 /yr (est.)",92180.0,QA Engineer - Remote,2,1,1,Genome, NY,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.2,3.9,3.4,3.2,2023-05-24 01:30:09.293589,yr
40,"$96,493 /yr (est.)",96493.0,QA Engineer,1,2,1,Trood, NY,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.4,5.0,4.4,5.0,2023-05-24 01:30:28.070598,yr
41,$40.83 /hr (est.),84926.4,SDET/QA Engineer,0,2,-1,One IT Corp,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:30:31.455830,hr
42,$62.50 /hr (est.),130000.0,QA Test Automation Engineer,9,2,-1,Tuwa SOLUTIONS, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:30:37.016107,hr
43,"$70,834 /yr (est.)",70834.0,QA Engineer,10,2,-1,CEDENT, CO,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:30:42.747561,yr
45,$50.16 /hr (est.),104332.8,SDET Engineer,8,1,-1,Jeevan Technologies,Remote,4.4,1,23,201 to 500 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.5,4.5,4.5,4.6,4.7,2023-05-24 01:30:50.977412,hr
49,"$101,349 /yr (est.)",101349.0,Senior Data QA Automation Engineer,5,1,0,T. Rowe Price, MD,3.8,0,86,5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),3.7,3.8,3.8,3.4,3.8,2023-05-24 01:31:06.100497,yr
