,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$52.50 /hr (est.),109200.0,QA Automation Tester,10,2,1,Ehub global solution,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:53:09.630711,hr
1,$48.50 /hr (est.),100880.0,Sr. QA Tester,10,2,-1,"MARVEL TECHNOLOGIES INC
3.7", MI,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,3.9,3.8,3.6,2023-05-24 02:53:15.037769,hr
3,"$83,279 /yr (est.)",83279.0,QA Automation Tester,0,1,1,"The Evolvers Group
3.8", NC,3.8,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.2,3.2,3.2,2023-05-24 02:53:24.613936,yr
4,$60.00 /hr (est.),124800.0,QA Analyst,5,2,-1,"On Demand Agility Software Pvt Ltd
3.9", NJ,3.9,0,17,501 to 1000 Employees,2006,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.9,3.9,3.9,3.9,4.0,2023-05-24 02:53:27.914877,hr
5,"$80,434 /yr (est.)",80434.0,Automation QA Tester,0,1,-1,"Zenith Services
4.3", NJ,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.2,4.1,4.2,4.2,2023-05-24 02:53:30.307444,yr
6,$36.50 /hr (est.),75920.0,IT -Manual and Automation Tester (IA75),5,2,-1,Resource Management Associates LLC.,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:53:33.396298,hr
7,$42.50 /hr (est.),88400.0,QA Tester(Remote),3,1,-1,"Lakarya LLC
5.0",Remote,5.0,1,8,1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,5.0,5.0,5.0,4.7,2023-05-24 02:53:38.768825,hr
8,$70.00 /hr (est.),145600.0,UI Automation Cypress in JavaScript,9,1,-1,"Khayainfotech LLC
5.0", MO,5.0,0,2,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-24 02:53:41.219729,hr
10,$37.50 /hr (est.),78000.0,JUNIOR AUTOMATION TESTER,6,2,0,Ehub Global, CO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:53:47.041590,hr
12,$31.25 /hr (est.),65000.0,Manual Tester,10,2,1,"Purple Drive Technologies
4.2", CA,4.2,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.7,4.0,4.0,4.2,2023-05-24 02:53:58.479311,hr
14,"$85,498 /yr (est.)",85498.0,Selenium Automation Tester,0,2,-1,CapB InfoteK, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:54:06.903015,yr
15,"$65,000 /yr (est.)",65000.0,QA Manual Tester,4,2,-1,"Element5
3.6", TX,3.6,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.5,2.5,2.5,3.6,2023-05-24 02:54:12.296092,yr
17,"$51,958 /yr (est.)",51958.0,QA Tester,1,1,1,"Dollar Tree
3.0", VA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.9,2.4,2.8,2.7,2.8,2023-05-24 02:54:19.754084,yr
18,$62.50 /hr (est.),130000.0,Scrum Tester - Telecom,3,1,-1,NLB Technology Services, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:54:22.889571,hr
19,"$92,773 /yr (est.)",92773.0,ETL tester,0,2,-1,"Intone Networks
4.3", VA,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.2,4.2,3.6,4.2,2023-05-24 02:54:28.279213,yr
20,"$74,100 /yr (est.)",74100.0,Automation Tester,3,1,1,"COMPETENT SYSTEMS, INC
3.7", GA,3.7,0,20,201 to 500 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.7,3.4,3.7,3.6,3.6,2023-05-24 02:54:31.383190,yr
21,$57.50 /hr (est.),119600.0,ETL Tester,8,2,-1,Sana Pivot Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:54:33.608413,hr
23,"$110,000 /yr (est.)",110000.0,.Net Automation tester,5,2,-1,"Purple Drive Technologies
4.2", WA,4.2,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.7,4.0,4.0,4.2,2023-05-24 02:54:42.463934,yr
24,"$95,280 /yr (est.)",95280.0,QA Automation Tester,0,3,-1,"CJC Technologies
2.7", NY,2.7,0,19,1 to 50 Employees,2004,Company - Private,Banking & Lending,Financial Services,$1 to $5 million (USD),2.1,2.6,2.7,2.7,4.0,2023-05-24 02:54:45.719035,yr
26,"$74,402 /yr (est.)",74402.0,QA Tester,4,1,1,"Alpha Omega Integration
4.1", VA,4.1,0,7,201 to 500 Employees,2016,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),3.9,3.7,4.1,4.2,3.9,2023-05-24 02:54:54.761567,yr
28,$55.00 /hr (est.),114400.0,UAT Tester,8,1,-1,"Cloud and Things Inc
4.6",Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.8,4.8,4.5,2023-05-24 02:55:01.063282,hr
29,"$103,115 /yr (est.)",103115.0,IT Quality Assurance Load & Performance Tester,6,1,-1,"DHL eCommerce
3.9",Remote,3.9,1,54,10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),3.7,3.6,3.8,3.4,3.6,2023-05-24 02:55:04.913587,yr
30,"$65,000 /yr (est.)",65000.0,QA Analyst,0,1,-1,"Mobot
4.4", NY,4.4,0,16,1 to 50 Employees,2007,Company - Private,Sporting Goods Stores,Retail & Wholesale,Unknown / Non-Applicable,3.2,2.7,3.3,3.7,3.0,2023-05-24 02:55:14.556088,yr
31,"$75,681 /yr (est.)",75681.0,Manual / Automation QA Tester,0,2,-1,Vadam Group, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 02:55:17.249963,yr
32,"$82,402 /yr (est.)",82402.0,Automation Tester/SDET,0,1,1,"Cognizant Technology Solutions
3.8", NJ,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.4,3.5,2023-05-24 02:55:22.527337,yr
33,"$110,000 /yr (est.)",110000.0,Performance Tester,11,1,-1,"Kani Solutions INC
4.7", CO,4.7,0,14,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.3,4.6,4.4,4.5,2023-05-24 02:55:24.781006,yr
35,$42.50 /hr (est.),88400.0,QA Tester,5,2,-1,"Maven Workforce Pvt. Ltd.
4.1", MI,4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.3,3.9,4.2,4.3,4.2,2023-05-24 02:55:32.536208,hr
36,"$84,738 /yr (est.)",84738.0,Automation Tester,3,1,-1,"IntelliBridge LLC
3.8", VA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.2,3.8,4.0,2023-05-24 02:55:35.022287,yr
37,"$51,161 /yr (est.)",51161.0,QA Tester (Journeyman),5,1,-1,"ATTAINX INC
4.6", GA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.4,4.5,4.4,4.3,2023-05-24 02:55:38.400651,yr
38,"$70,446 /yr (est.)",70446.0,Quality Assurance Tester,0,1,-1,"IntelliBridge LLC
3.8", DC,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.2,3.8,4.0,2023-05-24 02:55:41.738029,yr
