,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,"$85,639 /yr (est.)",85639.0,QA/Tester,10,1,1,"VTG
3.6", MD,3.6,0,57,1001 to 5000 Employees,1966,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),3.3,3.5,3.5,3.4,3.6,2023-05-24 08:36:32.852022,yr
2,"$93,948 /yr (est.)",93948.0,Automation Tester,5,1,-1,"Cognosante, LLC
4.2",Remote,4.2,1,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.2,4.0,4.3,2023-05-24 08:36:37.511331,yr
3,"$60,356 /yr (est.)",60356.0,QA TESTER,0,1,-1,Buildable, OR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 08:36:41.227345,yr
4,"$51,161 /yr (est.)",51161.0,QA Tester (Journeyman),5,1,-1,"ATTAINX INC
4.6", GA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.4,4.5,4.4,4.3,2023-05-24 08:36:47.013595,yr
5,"$55,637 /yr (est.)",55637.0,Security Tester,7,1,-1,"Foxhole Technology, Inc.
4.1", MD,4.1,0,16,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.9,4.2,4.3,4.3,2023-05-24 08:36:51.268349,yr
6,"$81,173 /yr (est.)",81173.0,Application Tester - Junior,3,1,0,"Systems Development and Analysis
5.0", VA,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-24 08:36:53.600893,yr
7,"$64,845 /yr (est.)",64845.0,IT- Quality Assurance Tester,3,1,-1,"ABC Stores
4.0", HI,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.1,4.1,3.9,3.9,3.7,2023-05-24 08:36:57.179096,yr
8,"$125,000 /yr (est.)",125000.0,Java Developer,5,1,1,Ai Vantage, DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 08:37:00.309765,yr
11,"$103,573 /yr (est.)",103573.0,Information Security Analyst – Penetration Tester,0,1,1,"IFC Systems Corporation
4.1", DC,4.1,0,67,1001 to 5000 Employees,1956,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 million (USD),3.3,4.0,4.2,3.4,4.0,2023-05-24 08:37:14.038199,yr
12,"$71,906 /yr (est.)",71906.0,Informatica Tester,9,1,-1,"AshCourt
5.0", MD,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.6,5.0,5.0,5.0,2023-05-24 08:37:16.796266,yr
13,$39.43 /hr (est.),82014.4,IT Quality Analyst/Tester - ITS3,3,1,0,"State of Minnesota
3.9", MN,3.9,0,56,10000+ Employees,1967,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.4,4.0,3.5,3.2,3.9,2023-05-24 08:37:20.128917,hr
14,"$62,807 /yr (est.)",62807.0,Software Tester,3,1,1,"Grant Leading Technology
4.0", MD,4.0,0,10,51 to 200 Employees,2013,Government,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,4.1,3.7,3.6,3.7,2023-05-24 08:37:22.911890,yr
15,"$133,900 /yr (est.)",133900.0,Applications Tester,8,1,-1,"Booz Allen Hamilton
4.2", DC,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-24 08:37:25.357815,yr
16,$41.00 /hr (est.),85280.0,Systems Engineer,5,2,1,JoulestoWatts Business Solutions Pvt Ltd, CT,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 08:37:29.159639,hr
18,"$130,000 /yr (est.)",130000.0,Senior Automation Tester,8,1,1,"Leidos
3.9",Virginia,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-24 08:37:37.580786,yr
19,"$74,298 /yr (est.)",74298.0,Software Tester,5,1,-1,"Sev1Tech
4.1", VA,4.1,0,13,501 to 1000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,4.0,4.3,4.0,4.0,2023-05-24 08:37:40.697839,yr
20,"$75,207 /yr (est.)",75207.0,Junior Penetration Tester,4,1,0,"TMC TECHNOLOGIES
4.5", VA,4.5,0,13,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.5,4.7,4.9,4.8,4.5,2023-05-24 08:37:43.704467,yr
21,$62.50 /hr (est.),130000.0,Appian Quality Assurance Tester,6,1,-1,"IT Engagements,Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 08:37:46.028667,hr
22,"$55,653 /yr (est.)",55653.0,Automated Tester,4,1,-1,"Quadrint, Inc.
4.4", DC,4.4,0,23,51 to 200 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,4.0,4.5,4.4,4.4,2023-05-24 08:37:51.941193,yr
23,"$101,633 /yr (est.)",101633.0,Synack Red Team Member,0,2,-1,"Synack SRT
4.1", DC,4.1,0,10,201 to 500 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,4.1,4.0,3.8,4.2,2023-05-24 08:37:54.859053,yr
24,"$84,738 /yr (est.)",84738.0,Automation Tester,3,1,-1,"IntelliBridge LLC
3.8", VA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.2,3.8,4.0,2023-05-24 08:37:57.231627,yr
26,"$95,700 /yr (est.)",95700.0,"Automation Tester, Mid",2,1,-1,"Booz Allen Hamilton
4.2", DC,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-24 08:38:06.894462,yr
27,"$57,952 /yr (est.)",57952.0,Software Tester (Junior),5,1,0,"ISPA Technology
4.6", FL,4.6,0,20,51 to 200 Employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.4,4.4,4.5,4.5,4.6,2023-05-24 08:38:09.658139,yr
29,"$87,045 /yr (est.)",87045.0,Software Application Tester,-1,-1,-1,"BOEING
3.9", MD,3.9,0,107,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.9,3.5,3.1,3.9,2023-05-24 08:38:15.769689,yr
31,"$150,000 /yr (est.)",150000.0,Red Team Penetration Tester,7,1,1,"Leidos
3.9", DC,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-24 08:38:31.917403,yr
33,"$150,000 /yr (est.)",150000.0,Systems Analyst,4,1,1,"Leidos
3.9",Remote,3.9,1,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-24 08:38:38.804638,yr
35,"$90,124 /yr (est.)",90124.0,Junior/Mid-Level Penetration Tester,1,1,0,"Centripetal Networks
4.7", VA,4.7,0,14,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,3.8,4.3,4.2,4.2,2023-05-24 08:38:45.287855,yr
36,"$63,355 /yr (est.)",63355.0,Software Tester,0,1,0,"ASRC Federal Holding Company
3.7", VA,3.7,0,20,5001 to 10000 Employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.3,3.5,3.7,3.4,3.8,2023-05-24 08:38:47.946013,yr
38,"$67,500 /yr (est.)",67500.0,Penetration Tester,1,2,1,"Fusion Technology-LLC
3.7", DC,3.7,0,16,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.7,3.8,3.9,3.7,3.7,2023-05-24 08:38:55.555948,yr
39,"$84,956 /yr (est.)",84956.0,Penetration Tester,0,1,0,"AGCO
3.9", KS,3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-24 08:38:58.267988,yr
40,"$94,929 /yr (est.)",94929.0,Information Security Analyst – Penetration Tester,0,1,1,"World Bank Group
4.1", DC,4.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 08:39:00.786786,yr
