,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$52.50 /hr (est.),109200.0,QA Test Engineer,0,1,-1,Kanini,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:17:29.643246,hr
1,$55.00 /hr (est.),114400.0,UAT Tester,8,1,-1,"Cloud and Things Inc
4.6",Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.8,4.8,4.5,2023-05-20 14:17:35.364105,hr
3,$75.00 /hr (est.),156000.0,Senior Manual QA Tester,-1,-1,-1,Match Made Tech,"Irvine, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:17:43.992779,hr
4,"$112,168 /yr (est.)",112168.0,Specialist QA (Remote),10,1,0,"Amgen
4.2","Thousand Oaks, CA",4.2,0,43,10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,4.0,4.0,3.6,3.9,2023-05-20 14:17:50.483042,yr
6,"$98,320 /yr (est.)",98320.0,Software QA Test & Release Engineer,4,1,-1,"Synaty Tech
5.0","Colorado Springs, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-20 14:17:56.984818,yr
7,$60.00 /hr (est.),124800.0,QA-SDET,1,2,-1,INA solution,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:18:00.555847,hr
11,$60.00 /hr (est.),124800.0,ETL QA Tester,5,2,-1,"Info Origin, Inc.
3.0",Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.0,2.9,2.8,2.8,2023-05-20 14:18:20.889394,hr
12,$41.63 /hr (est.),86590.4,QA Manual Tester,3,1,-1,"SCIGON Solution
5.0","Ann Arbor, MI",5.0,0,15,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.8,4.7,5.0,4.7,2023-05-20 14:18:24.443489,hr
13,$35.00 /hr (est.),72800.0,Android QA Tester,2,2,-1,"ReachMobi
4.4","Bonita Springs, FL",4.4,0,7,51 to 200 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.3,4.7,4.3,3.9,4.1,2023-05-20 14:18:27.379212,hr
14,"$97,500 /yr (est.)",97500.0,QA Automation Engineer,1,1,-1,"Vetro Tech Inc
3.9","Seattle, WA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-20 14:18:30.518329,yr
15,$40.00 /hr (est.),83200.0,QA Engineer,3,2,1,Hire IT People Inc,"El Segundo, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:18:35.078902,hr
16,$40.00 /hr (est.),83200.0,QA Analyst,3,1,-1,"ASB Infotech
4.0","Whippany, NJ",4.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:18:40.620731,hr
18,"$66,206 /yr (est.)",66206.0,QA Manual Tester,0,1,1,"Medtelligent
4.9","Chicago, IL",4.9,0,18,1 to 50 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.5,4.9,4.9,4.8,2023-05-20 14:18:50.160563,yr
19,"$65,000 /yr (est.)",65000.0,QA Engineer,2,2,1,Invictech Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:18:53.173743,yr
20,$29.00 /hr (est.),60320.0,Tosca QA Automation Engineer,5,2,1,"Infologitech
4.3","Raleigh, NC",4.3,0,-1,-1,-1,-1,-1,-1,-1,4.1,4.1,4.3,4.3,4.1,2023-05-20 14:18:58.748345,hr
21,$31.00 /hr (est.),64480.0,QA Tester,1,2,1,Nanda Technologies,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:19:02.613288,hr
22,$25.18 /hr (est.),52374.4,QA with Capital,1,2,-1,1st-Recruit,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:19:08.115356,hr
24,"$79,406 /yr (est.)",79406.0,QA Engineer,0,2,-1,"Convene Technologies
3.6","San Antonio, TX",3.6,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,2.9,3.1,2.9,3.1,2023-05-20 14:19:18.154125,yr
25,$48.00 /hr (est.),99840.0,Automation QA Engineer,5,2,1,"IT Engagements,Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:19:20.948026,hr
27,$52.50 /hr (est.),109200.0,SDET/QA,4,1,1,"Fuge Technologies Inc
4.7",Remote,4.7,1,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-20 14:19:32.090181,hr
31,"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,3,1,1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-05-20 14:20:00.329749,yr
33,"$105,000 /yr (est.)",105000.0,Software Tester,0,1,1,"Nationwide IT Services, Inc
3.8",Remote,3.8,1,17,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.4,3.6,3.7,3.7,3.8,2023-05-20 14:20:08.134265,yr
34,$15.00 /hr (est.),31200.0,Software Tester,0,2,0,"ApplicantPro
4.7",Remote,4.7,1,17,51 to 200 Employees,2006,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.5,4.2,4.7,4.5,4.6,2023-05-20 14:20:10.962558,hr
38,$45.00 /hr (est.),93600.0,Tosca Automation developer,1,2,-1,"Devcare Solutions
3.7",Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-20 14:20:27.737789,hr
39,$21.82 /hr (est.),45385.6,Junior Test Engineer,1,1,1,Entech,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:20:30.848558,hr
40,"$116,350 /yr (est.)",116350.0,QA Engineer,3,1,1,"Peloton
3.5","New York, NY",3.5,0,11,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.1,4.0,3.6,2.9,3.6,2023-05-20 14:20:36.592333,yr
41,"$60,988 /yr (est.)",60988.0,Trainee - QA,1,2,0,"LeewayHertz
3.7","San Francisco, CA",3.7,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.6,3.7,3.6,3.6,2023-05-20 14:20:40.513457,yr
42,$27.39 /hr (est.),56971.2,UAT Tester,6,1,-1,Sthavirsoft Inc,"Nashville, TN",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:20:44.088863,hr
43,"$101,748 /yr (est.)",101748.0,Quality Assurance Engineer,2,1,-1,Wevision LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:20:49.944752,yr
45,"$93,948 /yr (est.)",93948.0,Automation Tester - Remote,3,1,-1,"Cognosante, LLC
4.2",Remote,4.2,1,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.2,4.0,4.3,2023-05-20 14:20:59.645221,yr
46,"$94,836 /yr (est.)",94836.0,Quality Assurance Engineer,0,1,-1,"Doctor Evidence
3.0","Santa Monica, CA",3.0,0,19,1 to 50 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),2.9,3.0,3.2,2.7,3.3,2023-05-20 14:21:03.027448,yr
47,$50.00 /hr (est.),104000.0,Manual Tester,1,1,0,"Devcare Solutions
3.7","Columbus, OH",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-20 14:21:06.089259,hr
48,"$75,000 /yr (est.)",75000.0,Manual QA Tester,0,2,-1,"Xactus
2.5","Broomall, PA",2.5,0,-1,-1,-1,-1,-1,-1,-1,2.7,2.1,2.2,2.4,3.0,2023-05-20 14:21:09.774846,yr
49,"$77,244 /yr (est.)",77244.0,Software Quality Assurance Engineer,0,1,-1,"ColdTrack
4.6",Remote,4.6,1,8,501 to 1000 Employees,2015,Company - Private,Shipping & Trucking,Transportation & Logistics,$25 to $100 million (USD),4.4,4.4,3.8,4.1,3.5,2023-05-20 14:21:13.466744,yr
51,"$131,890 /yr (est.)",131890.0,QA Analyst,5,1,0,"Citi
3.9","Jersey City, NJ",3.9,0,211,10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.8,3.8,3.5,3.5,2023-05-20 14:21:20.660551,yr
53,"$97,000 /yr (est.)",97000.0,QA Engineer,0,1,1,"Financial Times
4.2","New York, NY",4.2,0,135,1001 to 5000 Employees,1888,Subsidiary or Business Segment,Publishing,Media & Communication,Unknown / Non-Applicable,3.7,3.8,4.4,3.9,4.3,2023-05-20 14:21:28.414136,yr
54,$45.47 /hr (est.),94577.6,QA Automation Engineer,6,2,-1,"N9 it solutions
4.6",Remote,4.6,1,7,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.6,4.5,4.3,4.4,4.4,2023-05-20 14:21:31.284710,hr
55,"$57,500 /yr (est.)",57500.0,Web Quality Assurance Engineer - Remote,3,1,-1,Provision IAM,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:21:34.530409,yr
57,$52.50 /hr (est.),109200.0,Quality Test Engineer,1,1,-1,MPower Staffing & Consulting,"Chicago, IL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:21:45.514766,hr
59,$45.00 /hr (est.),93600.0,Tosca Automation developer,-1,-1,-1,"Devcare Solutions
3.7",Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-20 14:22:05.950735,hr
61,$64.00 /hr (est.),133120.0,Locals Only : SDET/QA Automation Engineer : Missouri,0,2,1,"FiSec Global Inc
3.5","Aurora, MO",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.8,3.5,3.3,3.5,2023-05-20 14:22:13.110386,hr
62,$62.50 /hr (est.),130000.0,QA Automation Test Engineer,10,2,-1,Sripen,"Aurora, MO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:22:17.201363,hr
63,"$95,000 /yr (est.)",95000.0,QA Engineer,5,2,-1,Pharmacy Quality Solutions,"Raleigh, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:22:22.949202,yr
64,"$75,209 /yr (est.)",75209.0,QA Tester,0,-1,-1,"ActiveViam
4.0","New York, NY",4.0,0,18,51 to 200 Employees,2005,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.9,4.0,4.1,3.8,4.3,2023-05-20 14:22:28.732964,yr
65,"$73,500 /yr (est.)",73500.0,Full Stack QA Analyst/Engineer,-1,-1,-1,"eDist - A Division Of A.I. Smarter World, Inc.
2.1",Remote,2.1,1,50,51 to 200 Employees,1973,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable,2.2,2.8,2.0,2.0,2.8,2023-05-20 14:22:31.588115,yr
67,"$60,988 /yr (est.)",60988.0,Trainee - QA,1,2,0,"LeewayHertz
3.7","San Francisco, CA",3.7,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.6,3.7,3.6,3.6,2023-05-20 14:22:38.762211,yr
68,"$57,985 /yr (est.)",57985.0,QA Manual Tester,3,1,1,"Wovenware US
3.7","San Juan, PR",3.7,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.3,4.0,3.5,3.5,2023-05-20 14:22:42.499679,yr
69,"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,3,1,1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-05-20 14:22:46.899083,yr
70,"$93,948 /yr (est.)",93948.0,Automation Tester - Remote,3,1,-1,"Cognosante, LLC
4.2",Remote,4.2,1,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.2,4.0,4.3,2023-05-20 14:22:50.266912,yr
71,"$105,000 /yr (est.)",105000.0,Software Tester,0,1,1,"Nationwide IT Services, Inc
3.8",Remote,3.8,1,17,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.4,3.6,3.7,3.7,3.8,2023-05-20 14:22:53.754393,yr
72,"$54,382 /yr (est.)",54382.0,QA Tester,0,1,-1,"National Real Estate Insurance Group
2.7","Kansas City, MO",2.7,0,-1,-1,-1,-1,-1,-1,-1,2.7,3.5,2.8,2.6,3.5,2023-05-20 14:22:56.742724,yr
73,"$62,500 /yr (est.)",62500.0,QA Engineer,5,1,1,"XOJET Aviation
3.5","Fort Lauderdale, FL",3.5,0,17,201 to 500 Employees,2006,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,$100 to $500 million (USD),3.6,3.5,3.6,3.3,3.4,2023-05-20 14:23:00.750692,yr
74,"$71,833 /yr (est.)",71833.0,QA Tester ETL/Database,5,2,-1,"Mitchell Martin
4.4","Charlotte, NC",4.4,0,39,501 to 1000 Employees,1984,Private Practice / Firm,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),4.3,4.3,4.4,4.4,4.5,2023-05-20 14:23:03.977328,yr
75,$16.00 /hr (est.),33280.0,Quality Assurance Representative,2,2,-1,"Alleviate Financial Solutions
3.6",Remote,3.6,1,5,1 to 50 Employees,2018,Company - Private,Debt Relief,Financial Services,Unknown / Non-Applicable,3.4,3.7,3.4,3.3,3.8,2023-05-20 14:23:07.310532,hr
76,$52.50 /hr (est.),109200.0,Quality Test Engineer,1,1,-1,MPower Staffing & Consulting,"Chicago, IL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:23:11.120442,hr
77,$50.00 /hr (est.),104000.0,Manual Tester,1,1,0,"Devcare Solutions
3.7","Columbus, OH",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-20 14:23:17.179388,hr
78,"$72,000 /yr (est.)",72000.0,Software Quality Assurance Analyst,3,1,-1,"Suncoast Credit Union
4.0","Tampa, FL",4.0,0,89,1001 to 5000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),4.0,3.9,4.0,3.6,3.7,2023-05-20 14:23:20.557900,yr
79,"$70,834 /yr (est.)",70834.0,QA Engineer,10,2,-1,"CEDENT
5.0","Colorado Springs, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:23:24.680914,yr
80,"$77,244 /yr (est.)",77244.0,Software Quality Assurance Engineer,0,1,-1,"ColdTrack
4.6",Remote,4.6,1,8,501 to 1000 Employees,2015,Company - Private,Shipping & Trucking,Transportation & Logistics,$25 to $100 million (USD),4.4,4.4,3.8,4.1,3.5,2023-05-20 14:23:29.837089,yr
81,"$57,500 /yr (est.)",57500.0,Web Quality Assurance Engineer - Remote,3,1,-1,Provision IAM,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:23:32.930405,yr
85,"$75,000 /yr (est.)",75000.0,Jr. QA Engineer,1,1,0,Repisodic,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:23:53.904789,yr
86,"$62,500 /yr (est.)",62500.0,QA Engineer,5,1,1,"XO
4.2","Fort Lauderdale, FL",4.2,0,-1,-1,-1,-1,-1,-1,-1,3.6,4.2,4.3,4.0,3.3,2023-05-20 14:23:59.698813,yr
87,"$75,000 /yr (est.)",75000.0,Intermediate QA Engineer,3,1,-1,"NuBinary Inc
3.4",Remote,3.4,1,6,1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,3.7,3.0,3.7,2.7,2023-05-20 14:24:13.228490,yr
88,$52.50 /hr (est.),109200.0,Quality Test Engineer,1,1,-1,MPower Staffing & Consulting,"Chicago, IL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:24:16.893471,hr
90,"$47,795 /yr (est.)",47795.0,QA Automated Tester,0,1,0,"INVID
4.8","San Juan, PR",4.8,0,20,1 to 50 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.4,4.7,4.2,4.6,2023-05-20 14:24:29.870094,yr
91,"$95,000 /yr (est.)",95000.0,QA Engineer,5,2,-1,Pharmacy Quality Solutions,"Raleigh, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:24:34.693946,yr
93,"$55,002 /yr (est.)",55002.0,Quality Assurance Analyst,5,1,-1,"Andor Health
4.5","Orlando, FL",4.5,0,5,51 to 200 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.9,4.4,4.4,4.4,4.0,2023-05-20 14:24:48.178225,yr
94,"$75,000 /yr (est.)",75000.0,Software QA Analyst,5,2,-1,EPIC Engineering,"Winter Springs, FL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:24:51.565936,yr
95,"$58,421 /yr (est.)",58421.0,Quality Consultant,1,1,-1,"Quality Consulting Group, LLC
5.0","Carolina, PR",5.0,0,12,51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),5.0,4.8,5.0,5.0,5.0,2023-05-20 14:24:57.416419,yr
96,"$105,000 /yr (est.)",105000.0,Software Tester,0,1,1,"Nationwide IT Services, Inc
3.8",Remote,3.8,1,17,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.4,3.6,3.7,3.7,3.8,2023-05-20 14:25:00.733232,yr
97,$56.00 /hr (est.),116480.0,Senior Software Test Engineer,4,1,1,Kanini,"Decatur, GA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:25:04.003601,hr
98,$64.00 /hr (est.),133120.0,Locals Only : SDET/QA Automation Engineer : Missouri,0,2,1,"FiSec Global Inc
3.5","Aurora, MO",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.8,3.5,3.3,3.5,2023-05-20 14:25:09.932593,hr
99,$47.50 /hr (est.),98800.0,QA Automation Tester,5,1,-1,BUZZCLAN LLC,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:25:14.733875,hr
100,"$60,356 /yr (est.)",60356.0,QA TESTER,0,1,-1,Buildable,"McMinnville, OR",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 14:25:20.832002,yr
102,"$70,941 /yr (est.)",70941.0,QA Manual Tester (Banking),3,1,-1,"RD Solutions
4.4","Las Vegas, NV",4.4,0,-1,-1,-1,-1,-1,-1,-1,4.2,3.2,4.2,3.2,4.6,2023-05-20 14:25:31.982578,yr
104,"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,3,1,1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-05-20 14:25:42.353990,yr
105,"$72,000 /yr (est.)",72000.0,Software Quality Assurance Analyst,3,1,-1,"Suncoast Credit Union
4.0","Tampa, FL",4.0,0,89,1001 to 5000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),4.0,3.9,4.0,3.6,3.7,2023-05-20 14:25:45.689937,yr
