,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$55.00 /hr (est.),114400.0,UAT Tester,8,1,-1,Cloud and Things Inc,Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.8,4.8,4.5,2023-05-20 13:13:48.675052,hr
1,$52.50 /hr (est.),109200.0,QA Test Engineer,0,1,-1,Kanini,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:13:55.328459,hr
2,$31.00 /hr (est.),64480.0,QA Tester,1,2,1,Nanda Technologies,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:14:03.617237,hr
4,$40.00 /hr (est.),83200.0,QA Engineer,3,2,1,Hire IT People Inc,"El Segundo, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:14:17.892164,hr
5,$48.00 /hr (est.),99840.0,Automation QA Engineer,5,2,1,"IT Engagements,Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:14:26.726710,hr
6,$75.00 /hr (est.),156000.0,Senior Manual QA Tester,-1,-1,-1,Match Made Tech,"Irvine, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:14:36.223587,hr
7,$41.63 /hr (est.),86590.4,QA Manual Tester,3,1,-1,SCIGON Solution,"Ann Arbor, MI",5.0,0,15,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.8,4.7,5.0,4.7,2023-05-20 13:14:45.232031,hr
8,$60.00 /hr (est.),124800.0,ETL QA Tester,5,2,-1,"Info Origin, Inc.",Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.0,2.9,2.8,2.8,2023-05-20 13:14:49.807247,hr
9,$60.00 /hr (est.),124800.0,QA-SDET,1,2,-1,INA solution,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:14:55.648947,hr
11,"$98,320 /yr (est.)",98320.0,Software QA Test & Release Engineer,4,1,-1,Synaty Tech,"Colorado Springs, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-20 13:15:11.445333,yr
12,$47.50 /hr (est.),98800.0,QA Test Lead,11,2,1,ERPMark Inc,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.0,4.0,3.0,2023-05-20 13:15:17.311282,hr
16,"$112,168 /yr (est.)",112168.0,Specialist QA (Remote),10,1,0,Amgen,"Thousand Oaks, CA",4.2,0,43,10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,4.0,4.0,3.6,3.9,2023-05-20 13:15:46.256565,yr
17,$40.00 /hr (est.),83200.0,QA Analyst,3,1,-1,ASB Infotech,"Whippany, NJ",4.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:15:51.465208,hr
