,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Junior Software Developer (Remote),68078.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SnapRISK,2023-05-16 14:40:15.315366
1,Software Test Engineer,114400.0,10,2,Remote,1,501 to 1000 Employees,4,1996,27,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.6,4.6,4.3,4.4,4.6,4.6,"Comtec IT Services
4.6",2023-05-16 14:40:19.986652
2,Full Stack Software Engineer,125000.0,1,1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-16 14:40:21.852734
3,Software Engineer,124800.0,10,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,slesha inc,2023-05-16 14:40:24.279229
4,Frontend engineer,50000.0,1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Arvist,2023-05-16 14:40:29.277560
5,Frontend Engineer,125000.0,1,1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-16 14:40:33.628142
6,Software Engineer - GIS,88847.0,2,1,"Katy, TX",0,1001 to 5000 Employees,5,1997,26,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),6,Private Practice / Firm,4.1,4.2,4.1,4.3,4.2,3.9,"LJA Engineering
4.1",2023-05-16 14:40:35.402085
8,Backend engineer,109200.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-16 14:40:39.755641
9,Software Developer,130000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rulesiq,2023-05-16 14:40:42.417831
10,Java Software Engineer,104000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Intelon Optics,2023-05-16 14:40:46.953663
