,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$50,000 /yr (est.)",50000.0,Frontend engineer,1,2,1,Arvist,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:55:16.665323,yr
1,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,4,1,1,Zillow,Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 22:55:23.108196,yr
3,"$207,000 /yr (est.)",207000.0,"Software Engineer, Front End",6,1,-1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-17 22:55:28.196630,yr
4,"$141,000 /yr (est.)",141000.0,API Engineer,-1,1,-1,Zillow,Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 22:55:30.160309,yr
5,"$68,078 /yr (est.)",68078.0,Junior Software Developer (Remote),1,1,0,SnapRISK,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:55:32.257594,yr
7,"$118,000 /yr (est.)",118000.0,Jr Software Engineer,-1,1,0,Legion Consulting Solutions,"Annapolis Junction, MD",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:55:43.164842,yr
8,"$198,000 /yr (est.)",198000.0,Senior Software Engineer,-1,1,-1,Zillow,Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 22:55:49.413786,yr
9,"$68,530 /yr (est.)",68530.0,Software Engineer I,2,1,1,Black Knight,"Mequon, WI",3.6,0,10,5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.5,3.3,3.6,3.4,3.7,2023-05-17 22:55:51.132100,yr
10,"$80,000 /yr (est.)",80000.0,Software Engineer 1,-1,1,-1,Service Core,"Denver, CO",4.5,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.9,4.4,4.6,4.3,2023-05-17 22:55:52.928557,yr
11,$55.00 /hr (est.),114400.0,Frontend Engineer (100% Remote),8,1,-1,Clandicainc,Manhattan,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.6,2.6,3.1,2.6,2023-05-17 22:55:55.920153,hr
13,$37.50 /hr (est.),78000.0,Software Engineer,5,2,0,"Lynx Technology Partners, LLC",Remote,2.9,1,14,Unknown,2009,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,2.9,3.3,2.9,2.9,3.3,2023-05-17 22:56:04.308804,hr
14,$55.00 /hr (est.),114400.0,Innovation Software Test Engineer,5,1,1,PVD,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:56:06.183364,hr
16,"$77,412 /yr (est.)",77412.0,Junior Software Engineer,3,1,-1,FTL Finance,"Saint Charles, MO",5.0,0,21,1 to 50 Employees,2002,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.7,4.7,5.0,5.0,5.0,2023-05-17 22:56:15.960945,yr
19,"$115,750 /yr (est.)",115750.0,Software Quality Assurance Engineer,5,1,-1,Shell Recharge Solutions,Remote,4.0,1,15,201 to 500 Employees,2008,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.6,3.8,3.9,3.5,4.0,2023-05-17 22:56:25.927501,yr
20,"$63,487 /yr (est.)",63487.0,Associate Web App Engineer,-1,1,0,Hyperspace Ventures,"Durham, NC",4.2,0,6,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.5,4.5,2023-05-17 22:56:27.864545,yr
22,"$77,142 /yr (est.)",77142.0,Software Engineer I,2,1,-1,Red Canyon Engineering & Software,"Greenbelt, MD",3.9,0,23,51 to 200 Employees,2000,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3.5,4.0,3.5,3.7,4.5,2023-05-17 22:56:32.707367,yr
23,"$87,322 /yr (est.)",87322.0,Software Engineer,4,1,1,University of Maryland,"College Park, MD",4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,4.0,2023-05-17 22:56:34.519411,yr
25,"$80,000 /yr (est.)",80000.0,Associate Software Engineer (Java),1,1,0,"GetWellNetwork, Inc.",Remote,3.7,1,23,201 to 500 Employees,2000,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.3,3.7,4.1,3.6,4.1,2023-05-17 22:56:39.815074,yr
26,"$152,950 /yr (est.)",152950.0,Software Engineer,50,1,0,MSCI Inc,"Seattle, WA",4.1,0,54,1001 to 5000 Employees,1969,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),4.0,4.1,4.1,3.8,3.8,2023-05-17 22:56:41.642740,yr
28,"$105,000 /yr (est.)",105000.0,Gameplay Engineer - Unity (Remote),3,2,-1,Myr,Remote,-1,1,12,1 to 50 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-17 22:56:47.140065,yr
29,"$85,000 /yr (est.)",85000.0,Junior Software Engineer,1,1,-1,DataBP,"New York, NY",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:56:52.062935,yr
30,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,-1,-1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:56:58.366012,yr
31,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:05.426828,yr
32,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:10.578817,yr
33,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:15.718586,yr
34,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:20.889239,yr
35,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:26.075522,yr
36,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:31.199328,yr
37,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:36.293103,yr
38,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:41.604368,yr
39,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:46.743786,yr
40,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:51.789477,yr
41,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:57:56.850822,yr
42,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:01.912139,yr
43,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:07.020297,yr
44,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:12.086352,yr
45,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:17.241455,yr
46,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:22.380815,yr
47,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:27.504647,yr
48,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,2,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 22:58:32.644062,yr
