,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$52.50 /hr (est.),109200.0,QA Test Engineer,0,1,-1,Kanini,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:50:07.275838,hr
1,$55.00 /hr (est.),114400.0,UAT Tester,8,1,-1,Cloud and Things Inc,Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.8,4.8,4.5,2023-05-20 13:50:14.379772,hr
2,$48.00 /hr (est.),99840.0,Automation QA Engineer,5,2,1,"IT Engagements,Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:50:19.072512,hr
3,$31.00 /hr (est.),64480.0,QA Tester,1,2,1,Nanda Technologies,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:50:27.070277,hr
4,$75.00 /hr (est.),156000.0,Senior Manual QA Tester,-1,-1,-1,Match Made Tech,"Irvine, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:50:34.301213,hr
6,$40.00 /hr (est.),83200.0,QA Engineer,3,2,1,Hire IT People Inc,"El Segundo, CA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:50:46.325022,hr
7,$60.00 /hr (est.),124800.0,ETL QA Tester,5,2,-1,"Info Origin, Inc.",Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.0,2.9,2.8,2.8,2023-05-20 13:50:53.438245,hr
8,$47.50 /hr (est.),98800.0,QA Test Lead,11,2,1,ERPMark Inc,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.0,4.0,3.0,2023-05-20 13:50:57.765408,hr
10,"$65,000 /yr (est.)",65000.0,QA Engineer,2,2,1,Invictech Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:51:06.807330,yr
11,"$98,320 /yr (est.)",98320.0,Software QA Test & Release Engineer,4,1,-1,Synaty Tech,"Colorado Springs, CO",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-20 13:51:14.185734,yr
12,$60.00 /hr (est.),124800.0,QA-SDET,1,2,-1,INA solution,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:51:18.410253,hr
13,$27.39 /hr (est.),56971.2,UAT Tester,6,1,-1,Sthavirsoft Inc,"Nashville, TN",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:51:25.285453,hr
14,$40.00 /hr (est.),83200.0,QA Analyst,3,1,-1,ASB Infotech,"Whippany, NJ",4.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:51:32.829341,hr
15,$52.50 /hr (est.),109200.0,SDET/QA,4,1,1,Fuge Technologies Inc,Remote,4.7,1,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-20 13:51:38.884880,hr
17,$45.50 /hr (est.),94640.0,QA with Tosca,0,2,1,Cloud Shift Technologies LLC,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,5.0,5.0,5.0,2023-05-20 13:51:48.095339,hr
19,"$103,134 /yr (est.)",103134.0,Tosca QA Automation Engineer,5,1,-1,Pacific Consulting,"Durham, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:52:01.449362,yr
20,$25.18 /hr (est.),52374.4,QA with Capital,1,2,-1,1st-Recruit,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:52:08.712225,hr
21,$41.63 /hr (est.),86590.4,QA Manual Tester,3,1,-1,SCIGON Solution,"Ann Arbor, MI",5.0,0,15,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.8,4.7,5.0,4.7,2023-05-20 13:52:15.961913,hr
22,$45.00 /hr (est.),93600.0,Tosca Automation developer,1,2,-1,Devcare Solutions,Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-20 13:52:18.890657,hr
23,"$97,500 /yr (est.)",97500.0,QA Automation Engineer,1,1,-1,Vetro Tech Inc,"Seattle, WA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-20 13:52:21.693309,yr
25,$29.00 /hr (est.),60320.0,Tosca QA Automation Engineer,5,2,1,Infologitech,"Raleigh, NC",4.3,0,-1,-1,-1,-1,-1,-1,-1,4.1,4.1,4.3,4.3,4.1,2023-05-20 13:52:31.788236,hr
26,"$132,186 /yr (est.)",132186.0,Sr Software QA Contractor,5,1,1,PlayStation Global,"Aliso Viejo, CA",4.0,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.5,3.8,4.0,3.5,3.8,2023-05-20 13:52:35.919113,yr
27,"$66,206 /yr (est.)",66206.0,QA Manual Tester,0,1,1,Medtelligent,"Chicago, IL",4.9,0,18,1 to 50 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.5,4.9,4.9,4.8,2023-05-20 13:52:39.388728,yr
28,$52.50 /hr (est.),109200.0,QA Manual Tester,10,1,-1,ExpressTech,"Las Vegas, NV",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-20 13:52:42.521283,hr
