,Salary Estimate,Annual Salary,Job Title,Experience,Education,Company Name,Location,Rating,Is Remote,Company Size,Company Old,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit,Type of Ownership Scale,Sector Scale,Company Size Scale,Revenue Scale,Industry Sector
0,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,4,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:59:23.368312,yr,2.0,19.0,6.0,7.0,34.0
1,"$50,000 /yr (est.)",50000.0,Frontend engineer,1,2,Arvist,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:59:25.309350,yr,,,,,
3,"$77,412 /yr (est.)",77412.0,Junior Software Engineer,3,1,FTL Finance,"Saint Charles, MO",5.0,0,1 to 50 Employees,21,2002,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.7,4.7,5.0,5.0,5.0,2023-05-17 14:59:41.121480,yr,1.0,3.0,1.0,,14.0
4,"$62,000 /yr (est.)",62000.0,Entry Level Software Test Engineer,-1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:59:43.211136,yr,,,,,
5,"$141,000 /yr (est.)",141000.0,API Engineer,-1,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:59:54.912834,yr,2.0,19.0,6.0,7.0,34.0
6,"$118,000 /yr (est.)",118000.0,Jr Software Engineer,-1,1,Legion Consulting Solutions,"Annapolis Junction, MD",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:59:56.534638,yr,,,,,
7,$37.50 /hr (est.),78000.0,Software Engineer,5,2,"Lynx Technology Partners, LLC",Remote,2.9,1,Unknown,14,2009,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,2.9,3.3,2.9,2.9,3.3,2023-05-17 15:00:08.055595,hr,1.0,6.0,,,
8,"$198,000 /yr (est.)",198000.0,Senior Software Engineer,-1,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 15:00:10.873309,yr,2.0,19.0,6.0,7.0,34.0
9,"$68,078 /yr (est.)",68078.0,Junior Software Developer (Remote),1,1,SnapRISK,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 15:00:13.019580,yr,,,,,
10,"$80,000 /yr (est.)",80000.0,Software Engineer 1,-1,1,Service Core,"Denver, CO",4.5,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.9,4.4,4.6,4.3,2023-05-17 15:00:24.101481,yr,,,,,
11,$55.00 /hr (est.),114400.0,Frontend Engineer (100% Remote),8,1,Clandicainc,Manhattan,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.6,2.6,3.1,2.6,2023-05-17 15:00:29.039744,hr,,,,,
