,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,SDET/QA,109200.0,4,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5,Fuge Technologies Inc,2023-05-15 13:41:38.485198
1,QA Automation Engineer,120000.0,4,1,Remote,1,1 to 50 Employees,1,2012,11,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 million (USD),2,Company - Private,4.1,3.4,4.2,4.1,3.5,4.0,Utilidata,2023-05-15 13:41:43.274105
2,QA Analyst/Tester,124800.0,-1,2,"Atlanta, GA",0,1 to 50 Employees,1,2001,22,Information Technology Support Services,Information Technology,Less than $1 million (USD),1,Company - Private,3.8,3.9,3.0,3.7,3.6,3.6,nLeague services Inc.,2023-05-15 13:41:45.110787
3,Jr. QA Analyst,57200.0,1,2,"Manassas Park, VA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Apex Consultant,2023-05-15 13:41:47.416396
5,Junior Test Engineer,45385.6,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:42:06.281631
6,SDET,113360.0,8,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.3,3.5,3.4,3.7,Samson Software Solutions Inc.,2023-05-15 13:42:17.159646
7,Jr. QA Engineer,75000.0,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Repisodic,2023-05-15 13:42:21.777961
9,QA Automation Tester,114400.0,6,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,merican Inc,2023-05-15 13:42:40.180427
13,Software QA Engineer,105000.0,5,2,Remote,1,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,2.8,3.1,3.5,3.0,2.9,3.5,WireWheel,2023-05-15 13:43:10.940992
15,QA Engineer,65000.0,2,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Invictech Inc,2023-05-15 13:43:20.303471
