,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
1,Software Developer - JAVA (#0000101540),142480.0,5,0,0,"Denver, CO",0,1001 to 5000 Employees,5,1999,24,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Public,3.5,3.5,3.2,3.4,3.2,3.5,"Infinite Computing Systems
3.5",2023-05-11 23:25:00.297690
3,Web Developer - Contract,166400.0,4,0,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,The Uplift Agency,2023-05-11 23:25:03.916544
4,Terraform developer,156000.0,5,1,-1,"Plano, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yaggle IT,2023-05-11 23:25:05.388706
5,AWS Developer,166400.0,5,0,-1,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Next Gen It,2023-05-11 23:25:06.848918
6,Software Developer,135200.0,3,1,-1,"Omaha, NE",0,51 to 200 Employees,2,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Contract,4.3,3.9,4.0,4.4,4.3,4.1,"Global IT
4.3",2023-05-11 23:25:08.463274
7,Junior Software Developer,69420.0,2,0,0,"Lexington, MA",0,1 to 50 Employees,1,-1,-1,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),2,Company - Private,4.0,3.4,3.1,2.4,3.1,3.4,"PROMEDICAL, LLC
4.0",2023-05-11 23:25:10.195298
8,Software Developer,82500.0,4,0,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SunAlgo,2023-05-11 23:25:11.901098
9,Software Developer,90000.0,3,0,-1,Remote,1,201 to 500 Employees,3,1985,38,Investment & Asset Management,Financial Services,$100 to $500 million (USD),6,Company - Private,4.4,4.4,3.7,4.3,4.0,4.0,"Green Street
4.4",2023-05-11 23:25:13.318518
10,Core Java/J2EE developer,109200.0,10,1,-1,"Reston, VA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,5.0,5.0,5.0,5.0,5.0,"SAM NETWORK SYSTEMS
5.0",2023-05-11 23:25:15.108309
11,Software Developer,62400.0,1,0,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Cornucopia Living LLC,2023-05-11 23:25:16.773618
12,Junior Software Developer,67500.0,2,0,-1,"Fort Worth, TX",0,51 to 200 Employees,2,1993,30,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3,Company - Private,3.7,3.5,3.4,3.8,3.6,3.7,"InterConnect Wiring
3.7",2023-05-11 23:25:18.211811
13,Junior Software Developer,84897.0,5,0,0,"Port Washington, NY",0,501 to 1000 Employees,4,1989,34,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),7,Company - Private,2.8,3.2,2.8,2.9,2.6,2.7,"Kiss Products
2.8",2023-05-11 23:25:19.963607
15,AWS FULL STACK DEVELOPER,187200.0,9,0,1,"New York, NY",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Next Gen It,2023-05-11 23:25:23.626459
16,"Software Developer, Frontend",120000.0,-1,0,-1,Remote,1,201 to 500 Employees,3,2015,8,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.1,4.3,4.2,4.1,4.2,"DISQO
4.5",2023-05-11 23:25:25.211231
17,Software Developer,86285.0,-1,1,-1,"Dahlgren, VA",0,201 to 500 Employees,3,1999,24,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.7,4.4,4.3,4.8,4.6,4.6,"Rite-Solutions, Inc.
4.7",2023-05-11 23:25:26.921325
18,Software Developer,145000.0,5,0,1,Remote,1,51 to 200 Employees,2,2011,12,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,4.3,4.2,4.3,4.0,3.5,"OpenDrives
4.3",2023-05-11 23:25:28.886192
19,Frontend UI Developer,105000.0,7,1,-1,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,"Resolvetech Solutions
4.0",2023-05-11 23:25:30.630709
20,Java Full Stack Developer 021,150800.0,5,1,1,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Reuben Cooley Inc.,2023-05-11 23:25:32.385124
21,JUNIOR SOFTWARE DEVELOPER,76898.0,3,0,0,"Carthage, IL",0,501 to 1000 Employees,4,2000,23,Animal Production,Agriculture,Unknown / Non-Applicable,-1,Company - Private,3.1,3.5,3.3,3.0,3.2,2.0,"Carthage System
3.1",2023-05-11 23:25:34.020676
22,Junior Software Developer,61500.0,12,0,0,"Fort Worth, TX",0,51 to 200 Employees,2,1953,70,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),4,Company - Private,3.2,2.9,2.8,3.4,3.0,2.7,"Samsill Corporation
3.2",2023-05-11 23:25:35.797299
24,Jr Software Engineer,88750.0,3,0,0,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,"webfx.com
4.3",2023-05-11 23:25:39.317140
25,Apigee API Software Developer,114400.0,-1,1,1,Remote,1,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.7,4.9,4.7,5.0,"QUALTECH RPO PVT LTD
5.0",2023-05-11 23:25:41.418152
26,Jr. Web Developer,88750.0,3,0,0,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,"webfx.com
4.3",2023-05-11 23:25:43.281919
27,Python Developer,140000.0,-1,-1,-1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Okaya Corp,2023-05-11 23:25:45.019815
28,Java Developer,130000.0,-1,1,-1,"Plano, TX",0,501 to 1000 Employees,4,2006,17,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,Company - Private,3.9,3.9,3.9,3.9,3.9,4.0,"On Demand Agility Software Pvt Ltd
3.9",2023-05-11 23:25:46.440009
29,Junior Software Developer,91500.0,-1,0,0,"Chicago, IL",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,"Vetro Tech Inc
3.9",2023-05-11 23:25:48.192650
31,Hadoop Developer,130000.0,3,1,1,"Charlotte, NC",0,501 to 1000 Employees,4,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,avansait,2023-05-11 23:26:00.851470
34,Software Developer,75000.0,3,0,-1,"Birmingham, AL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sigao,2023-05-11 23:26:05.603103
35,Jr .Net Developer,72800.0,4,1,-1,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Rivago infotech Inc.,2023-05-11 23:26:07.116994
36,Software Engineer - Recent/Upcoming Graduates,59740.0,-1,0,-1,"Cedar Rapids, IA",0,201 to 500 Employees,3,1998,25,Software Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.5,4.1,4.2,4.6,4.4,4.5,"Performance
4.5",2023-05-11 23:26:08.690675
