,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Frontend Engineer,125000.0,1,1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-14 14:12:38.076013
1,Junior Level Cloud Engineer,88400.0,1,2,Remote,1,51 to 200 Employees,2,2000,23,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.9,3.5,3.4,3.6,3.7,3.5,"element technologies
3.9",2023-05-14 14:12:39.784089
2,"Sr Fullstack Engineer - Nodejs, AWS",118601.6,10,-1,Remote,1,201 to 500 Employees,3,1998,25,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.6,3.5,3.2,3.4,3.2,3.4,"chenoa inc
3.6",2023-05-14 14:12:41.499954
3,Full Stack Software Engineer,125000.0,1,1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-14 14:12:43.309490
4,AWS Cloud Engineer,140400.0,-1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-14 14:12:44.968711
5,Associate Software Engineer - Entry Level,90000.0,3,1,"Frederick, MD",0,1 to 50 Employees,1,-1,-1,-1,-1,$5 to $25 million (USD),3,Company - Public,3.4,2.6,2.7,3.3,2.8,3.0,"Network Innovations U.S. Government
3.4",2023-05-14 14:12:46.393683
6,Software Engineer,115000.0,2,1,Remote,1,51 to 200 Employees,2,-1,-1,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Company - Private,4.8,4.4,4.4,4.7,4.7,5.0,"Polco
4.8",2023-05-14 14:12:48.055434
8,Frontend Engineer,154960.0,5,2,"Foster City, CA",0,51 to 200 Employees,2,1999,24,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),4,Company - Private,4.2,4.3,4.0,4.2,4.0,4.0,"Ryzen Solutions
4.2",2023-05-14 14:12:50.951848
9,Software Engineer,105000.0,5,1,Remote,1,1001 to 5000 Employees,5,-1,-1,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),7,Company - Private,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-14 14:12:52.711306
10,Azure Cloud Engineer Contractor,72800.0,3,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Liberty Security & Technology,2023-05-14 14:12:54.549752
11,Java Software Engineer,104000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Intelon Optics,2023-05-14 14:12:55.998315
12,Software Engineer - GIS,88847.0,2,1,"Katy, TX",0,1001 to 5000 Employees,5,1997,26,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),6,Private Practice / Firm,4.1,4.2,4.1,4.3,4.2,3.9,"LJA Engineering
4.1",2023-05-14 14:12:57.393258
13,Software Engineer - CommerceTools,94099.2,1,2,Remote,1,10000+ Employees,7,1980,43,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.6,3.4,3.0,3.5,3.1,3.5,"Atos Syntel
3.6",2023-05-14 14:12:59.057802
14,Junior Software Developer (Remote),68078.0,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SnapRISK,2023-05-14 14:13:00.771843
16,Software Engineer,500000.0,-1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Emergeflow Technologies,2023-05-14 14:13:03.856813
17,Software Engineer,100000.0,2,1,Remote,1,1 to 50 Employees,1,2010,13,Real Estate,Real Estate,$1 to $5 million (USD),2,Company - Private,4.3,4.3,4.4,4.3,4.3,4.4,"THIRDHOME
4.3",2023-05-14 14:13:05.252064
18,Software Engineer 1,80000.0,-1,1,"Denver, CO",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.3,3.9,4.4,4.6,4.3,"Service Core
4.5",2023-05-14 14:13:06.994775
19,Software Engineer - Recent/Upcoming Graduates,59740.0,-1,1,"Cedar Rapids, IA",0,201 to 500 Employees,3,1998,25,Software Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.5,4.1,4.2,4.6,4.4,4.5,"Performance
4.5",2023-05-14 14:13:08.693145
20,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-14 14:13:10.385890
