,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,UTS - Remote Web Services Developer at UNC Chapel Hill,124800.0,-1,2,"Chapel Hill, NC",0,1001 to 5000 Employees,5,1887,136,Colleges & Universities,Education,$500 million to $1 billion (USD),7,College / University,4.3,4.0,3.5,4.2,4.0,4.0,"North Carolina State University
4.3",2023-05-14 08:14:55.625004
1,Java Developer (Contract),124800.0,20,1,"Foster City, CA",0,501 to 1000 Employees,4,1999,24,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),7,Company - Public,4.1,4.0,3.8,4.0,3.7,4.1,"QuinStreet
4.1",2023-05-14 08:14:57.363409
3,Freelance Web Designer/Developer,59280.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Coral House Productions,2023-05-14 08:15:00.818393
4,Web Developer,110531.2,7,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,symplore,2023-05-14 08:15:02.322838
5,Jr Frontend Developer,70000.0,20,1,"Austin, TX",0,501 to 1000 Employees,4,1999,24,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),7,Company - Public,4.1,4.0,3.8,4.0,3.7,4.1,"QuinStreet
4.1",2023-05-14 08:15:03.806670
6,Junior Software Developer (Remote),68078.0,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SnapRISK,2023-05-14 08:15:05.483944
7,Web Developer(Cloud native),135200.0,1,-1,"Atlanta, GA",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,5.0,4.7,5.0,5.0,"VITA TECH INC
5.0",2023-05-14 08:15:07.024203
8,Web Developer,135200.0,1,1,"Jackson, MS",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"DevCare Solutions Pvt., Ltd.
3.7",2023-05-14 08:15:08.740933
9,Web Developer,109200.0,-1,1,Remote,1,201 to 500 Employees,3,2008,15,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.2,4.2,4.0,4.4,4.1,4.2,"Precision Technologies Corp
4.2",2023-05-14 08:15:10.500903
10,Full Stack Developer,130000.0,10,1,Remote,1,51 to 200 Employees,2,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.3,4.4,4.3,4.7,"Gridiron IT
4.5",2023-05-14 08:15:12.259517
11,Frontend Engineer,125000.0,1,1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-14 08:15:14.058173
12,Frontend UI Developer,105000.0,7,2,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,"Resolvetech Solutions
4.0",2023-05-14 08:15:15.770618
13,Web Developer - Contract,166400.0,4,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,The Uplift Agency,2023-05-14 08:15:17.817864
14,.Net 5 Developer,145600.0,7,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Seity Health,2023-05-14 08:15:19.346909
15,Web Developer,56160.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sterner Stuff,2023-05-14 08:15:20.753496
