,Company Name,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,The Uplift Agency,Web Developer - Contract,166400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:22:51.277224
1,HiFi Design,Jr. Web Developer,45760.0,-1,-1,JUNIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:22:52.757473
3,"Resolvetech Solutions
4.0",Frontend UI Developer,105000.0,-1,-1,-1,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,2023-05-07 21:22:56.025563
4,"Denken Solutions Inc
4.2",Web Developer,135200.0,7,-1,-1,"Cleveland, OH",0,501 to 1000 Employees,4,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.2,4.2,4.2,4.2,4.1,4.4,2023-05-07 21:22:57.809959
5,symplore,Web Developer,110531.2,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:22:59.518386
6,"Devcare Solutions
3.7",Jr. Web Developer,55120.0,-1,BACHELOR,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,2023-05-07 21:23:01.195143
7,Crunchapps,Junior Web Developer,70238.0,-1,-1,-1,"New York, NY",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:02.971941
8,Sterner Stuff,Web Developer,56160.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:04.668661
9,"Modernize Home Services
4.1",Jr Frontend Developer,70000.0,-1,-1,SENIOR,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,2023-05-07 21:23:06.113004
10,SnapRISK,Junior Software Developer (Remote),68078.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:07.860818
