,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
2,"$95,509 /yr (est.)",95509.0,Data Scientist,0,1,-1,"RS Americas
4.0", TX,4.0,0,95,501 to 1000 Employees,1928,Company - Private,Wholesale,Retail & Wholesale,$500 million to $1 billion (USD),4.1,3.8,4.2,3.7,4.0,2023-05-23 15:23:25.027867,yr
3,"$132,194 /yr (est.)",132194.0,Data Science & Machine Learning-W2,1,2,-1,"Phasorsoft LLC
4.0",Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 15:23:27.866012,yr
4,"$100,000 /yr (est.)",100000.0,Junior Data Scientist (remote),-1,-1,-1,"MultiPlan Inc.
3.8",Remote,3.8,1,43,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.7,3.9,3.6,3.9,2023-05-23 15:23:32.468108,yr
5,"$89,965 /yr (est.)",89965.0,Data Scientist - MPD,2,1,1,"City of Minneapolis
3.5", MN,3.5,0,156,1001 to 5000 Employees,1867,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.3,3.9,3.3,3.1,4.0,2023-05-23 15:23:35.981892,yr
8,"$99,197 /yr (est.)",99197.0,Data Scientist,-1,-1,-1,"Excella
4.0", VA,4.0,0,21,201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.9,3.8,4.2,3.8,4.2,2023-05-23 15:23:52.745990,yr
9,$35.00 /hr (est.),72800.0,Data Scientist,-1,-1,-1,"Columbia University
4.1", NY,4.1,0,269,10000+ Employees,1754,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,3.8,3.6,3.9,3.5,3.8,2023-05-23 15:23:56.300143,hr
10,$80.00 /hr (est.),166400.0,Data Scientist,0,2,-1,"Surya Systems
3.9", CA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.0,3.3,3.7,2023-05-23 15:23:58.788480,hr
11,"$120,000 /yr (est.)",120000.0,"Data Jobs in Dublin: Data Scientist, Data Engineer, Data Analyst, + More",0,1,-1,"Cardinal Health, Quest, Wendy's + More", OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 15:24:02.671697,yr
12,"$100,030 /yr (est.)",100030.0,Data Scientist,5,2,1,"Drexel University
4.1", PA,4.1,0,132,1001 to 5000 Employees,1891,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.9,3.5,4.0,3.7,4.1,2023-05-23 15:24:07.871784,yr
13,"$100,000 /yr (est.)",100000.0,Data Scientist,0,2,-1,"Elite ProTek
5.0", CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-23 15:24:10.281073,yr
