,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$89,228 /yr (est.)",89228.0,Data Analyst I or II,0,1,-1,"Northrop Grumman Federal Credi
2.6", CA,2.6,0,77,51 to 200 Employees,1946,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),2.3,2.5,2.1,2.2,2.3,2023-05-23 16:03:38.008500,yr
1,"$59,193 /yr (est.)",59193.0,DATA ANALYST,3,1,1,"Nicolet National Bank
3.8", WI,3.8,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,4.4,3.6,4.0,2023-05-23 16:03:41.359590,yr
2,"$75,854 /yr (est.)",75854.0,IT Data Analyst,5,1,-1,"Ascendis Pharma
2.8", NJ,2.8,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.4,2.8,2.4,3.0,2023-05-23 16:03:47.389655,yr
3,"$70,000 /yr (est.)",70000.0,Data Analyst,3,1,0,"Advanced Stimulation Technologies, Inc
2.9", TX,2.9,0,-1,-1,-1,-1,-1,-1,-1,4.6,2.2,2.5,2.1,2.2,2023-05-23 16:03:51.585119,yr
4,"$57,608 /yr (est.)",57608.0,Data Analyst,0,1,0,"A-C Central CUSD
4.0", IL,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.5,2.0,5.0,4.5,4.5,2023-05-23 16:03:56.639259,yr
5,$62.50 /hr (est.),130000.0,Data Analyst c2c open,5,-1,-1,NLB Technology Services, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:04:00.697040,hr
6,"$90,525 /yr (est.)",90525.0,Data Analyst,0,1,1,"Blend
3.2",United States,3.2,0,11,1001 to 5000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.0,3.6,3.4,2.8,3.7,2023-05-23 16:04:06.838630,yr
7,$45.00 /hr (est.),93600.0,DATA ANALYST,5,2,-1,Sana Pivot Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:04:10.203446,hr
8,"$95,351 /yr (est.)",95351.0,Data Analyst,5,1,-1,"Northrop Grumman Federal Credit Union (NGFCU)
2.6",Remote,2.6,1,77,51 to 200 Employees,1946,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),2.3,2.5,2.1,2.2,2.3,2023-05-23 16:04:15.986477,yr
9,$56.00 /hr (est.),116480.0,Data Analyst,9,1,-1,"DATAMAXIS, Inc", IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:04:18.986895,hr
10,"$68,633 /yr (est.)",68633.0,Data Analyst,0,1,-1,"Miami HEAT
4.5", FL,4.5,0,36,1001 to 5000 Employees,1987,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,4.3,4.3,4.5,4.3,4.4,2023-05-23 16:04:24.460067,yr
