,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$57.50 /hr (est.),119600.0,AWS Data Engineer,5,1,1,Sthavirsoft Inc, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:54:03.553207,hr
1,$62.50 /hr (est.),130000.0,AWS Data Engineer II | Contract to Hire,3,1,-1,"Spartan Technologies
3.4", GA,3.4,0,16,1 to 50 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.0,3.0,2.5,3.7,4.7,2023-05-23 16:54:11.252876,hr
3,$72.50 /hr (est.),150800.0,Big Data Engineer,1,2,1,"Fuge Technologies Inc
4.7", NJ,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-23 16:54:20.653826,hr
4,"$95,000 /yr (est.)",95000.0,Data Engineer,8,3,-1,"LatentView Analytics
4.1", TX,4.1,0,17,1001 to 5000 Employees,2006,Company - Public,Business Consulting,Management & Consulting,$25 to $100 million (USD),4.1,3.6,4.1,3.8,3.8,2023-05-23 16:54:24.006665,yr
5,"$85,000 /yr (est.)",85000.0,Data Engineer (Junior),3,1,-1,Schober Consulting LLC, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:54:26.864993,yr
6,"$91,842 /yr (est.)",91842.0,Data Engineer,3,1,-1,"Sunwater Capital
4.0", MD,4.0,0,6,1 to 50 Employees,2017,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-23 16:54:32.366166,yr
7,"$95,870 /yr (est.)",95870.0,Data Engineer,3,1,1,"Trissential
4.0", MN,4.0,0,20,201 to 500 Employees,2003,Subsidiary or Business Segment,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.8,3.8,4.0,3.9,3.8,2023-05-23 16:54:36.311561,yr
8,"$94,507 /yr (est.)",94507.0,AWS Data Engineer,-1,-1,-1,"Experient Group
4.8", GA,4.8,0,22,51 to 200 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.3,4.5,4.8,4.6,4.8,2023-05-23 16:54:39.410126,yr
9,$42.50 /hr (est.),88400.0,Snowflake Data Engineer,5,1,-1,Futuretech Consultants LLC, MS,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:54:41.952388,hr
10,"$92,849 /yr (est.)",92849.0,Data Integration Engineer,3,1,0,"CrossFirst Bank
3.7", TX,3.7,0,16,201 to 500 Employees,2007,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.2,3.6,3.8,3.0,3.8,2023-05-23 16:54:47.298904,yr
11,"$99,653 /yr (est.)",99653.0,AWS Data Engineer,3,1,1,"Infinitive Inc
3.0", VA,3.0,0,20,51 to 200 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.1,3.5,3.6,2.9,3.5,2023-05-23 16:54:50.625319,yr
12,$105.00 /hr (est.),218400.0,Sr Data Engineer,5,2,1,Riley Consulting LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:54:53.840807,hr
13,$65.00 /hr (est.),135200.0,DATA ENGINEER,8,2,-1,"infinity quest
4.0", WA,4.0,0,17,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,3.7,3.9,3.8,3.7,2023-05-23 16:54:59.375312,hr
14,"$122,338 /yr (est.)",122338.0,Data Engineer,0,2,1,"Juniper Solutions, Inc.
1.0", NY,1.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:55:01.931097,yr
15,"$99,776 /yr (est.)",99776.0,BI Data Engineer I,3,1,-1,"The Boston Beer Company
3.9", MA,3.9,0,39,1001 to 5000 Employees,1984,Company - Public,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.6,4.0,3.5,3.5,2023-05-23 16:55:05.550990,yr
16,$51.90 /hr (est.),107952.0,Senior Data Engineer,5,2,-1,"Xiar tech inc
3.3", TX,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.3,3.3,3.3,3.3,2023-05-23 16:55:08.326119,hr
17,"$160,000 /yr (est.)",160000.0,Snowflake Data Engineer,8,2,-1,NLB Technology Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:55:11.913857,yr
19,"$83,235 /yr (est.)",83235.0,Data Engineer,3,1,-1,"INTELETECH GLOBAL INC
3.7", FL,3.7,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.8,4.2,4.0,3.9,2023-05-23 16:55:21.902193,yr
20,$72.50 /hr (est.),150800.0,Data Warehouse Engineer,-1,-1,-1,"Devcare Solutions
3.7", PA,3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-23 16:55:26.134745,hr
21,"$4,000 /mo (est.)",48000.0,Data Center Engineer,1,-1,-1,KNN IT, OR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:55:29.100207,mo
22,"$75,000 /yr (est.)",75000.0,Data Engineer,1,2,-1,Staff Bees Solutions, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:55:34.542630,yr
23,$50.00 /hr (est.),104000.0,Data Logging Engineer,2,1,-1,"GTA (Global Technology Associates)
4.6", TX,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.0,4.4,4.0,3.4,2023-05-23 16:55:39.940397,hr
24,"$122,500 /yr (est.)",122500.0,Data Engineer,2,1,-1,"Garner Health
3.5", TX,3.5,0,4,51 to 200 Employees,2019,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.5,3.4,3.3,3.2,3.3,2023-05-23 16:55:43.454599,yr
25,"$112,500 /yr (est.)",112500.0,SQL Data Engineer,3,1,-1,"HealthComp
3.2", TX,3.2,0,29,501 to 1000 Employees,1994,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),2.9,2.7,2.8,2.3,2.8,2023-05-23 16:55:47.156804,yr
26,$75.00 /hr (est.),156000.0,Data Engineer,8,2,-1,"RJT Compuquest
3.7", MO,3.7,0,27,501 to 1000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.6,3.6,3.6,3.7,2023-05-23 16:55:49.962500,hr
27,$45.16 /hr (est.),93932.8,Data Engineer,10,1,-1,"Binary Tech corp
3.7", NC,3.7,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.0,2.5,1.5,2.5,2023-05-23 16:55:53.447556,hr
28,$77.50 /hr (est.),161200.0,Snowflake Data Engineer,-1,-1,-1,"ASA
3.6",Remote,3.6,1,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.4,3.5,3.6,3.5,2023-05-23 16:55:56.997233,hr
29,$86.00 /hr (est.),178880.0,Senior Big Data Engineer,-1,-1,-1,"ASA
3.6", TX,3.6,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.4,3.5,3.6,3.5,2023-05-23 16:56:09.222919,hr
30,$50.00 /hr (est.),104000.0,ETL Data Engineer,8,1,1,narwal, MD,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:56:11.540443,hr
31,$55.00 /hr (est.),114400.0,Data Engineer - Onsite,2,1,-1,"CTI Consulting
4.6", FL,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.5,4.8,4.6,2023-05-23 16:56:17.197866,hr
32,$60.50 /hr (est.),125840.0,Data Center Engineer,0,2,-1,"TechMatrix Inc
3.4", NJ,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.5,2.5,3.1,2.4,2.9,2023-05-23 16:56:21.088540,hr
33,$72.50 /hr (est.),150800.0,Azure Data Engineer,10,1,-1,"Denken Solutions Inc
4.2", MO,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.2,4.1,4.1,4.1,4.3,2023-05-23 16:56:24.640830,hr
34,"$106,478 /yr (est.)",106478.0,Data Engineer,5,2,-1,"Azurity Pharmaceuticals, Inc.
3.1", OR,3.1,0,24,201 to 500 Employees,1999,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.2,3.1,3.0,3.0,3.3,2023-05-23 16:56:27.338013,yr
35,$43.50 /hr (est.),90480.0,Data Engineer,10,1,-1,"Appsintegration INC
4.5", KY,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,3.5,4.0,3.5,4.5,2023-05-23 16:56:30.726492,hr
36,$50.00 /hr (est.),104000.0,Data Engineer,5,-1,-1,"Kastech Software Solutions Group
4.0", TX,4.0,0,15,201 to 500 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.5,3.8,3.9,3.8,2023-05-23 16:56:34.284904,hr
37,"$70,000 /yr (est.)",70000.0,Data Engineer (PAID BOOTCAMP),1,1,-1,"PCS GLOBAL TECH
4.7", NY,4.7,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.5,4.6,4.6,4.2,2023-05-23 16:56:37.440803,yr
38,$75.00 /hr (est.),156000.0,Data Engineer,10,2,-1,"Compunnel Inc.
4.2",Remote,4.2,1,29,1001 to 5000 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.1,3.9,4.1,4.0,4.1,2023-05-23 16:56:41.550041,hr
39,"$105,000 /yr (est.)",105000.0,Data Engineer,3,2,1,NLB Technology Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 16:56:44.050823,yr
40,"$136,072 /yr (est.)",136072.0,Data Communications Engineer - III,0,1,1,"GTA (Global Technology Associates)
4.6", CA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.0,4.4,4.0,3.4,2023-05-23 16:56:49.872684,yr
41,"$130,500 /yr (est.)",130500.0,Big Data Engineer,0,1,-1,"Basis Technologies
4.3", IL,4.3,0,22,501 to 1000 Employees,2001,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.1,4.3,4.3,4.0,4.3,2023-05-23 16:56:54.336742,yr
42,$50.00 /hr (est.),104000.0,Data Visualization Engineer,3,2,1,"Vertex Group
3.7", OH,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.8,3.7,3.5,3.9,2023-05-23 16:56:58.135229,hr
43,$75.00 /hr (est.),156000.0,Senior Data Engineer,9,2,-1,"Stellar Inc.
2.0", TX,2.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,2.0,3.0,2.0,1.0,2023-05-23 16:57:02.344200,hr
44,"$75,804 /yr (est.)",75804.0,Data Engineer with Snowflake,0,2,1,"Kaizen Technologies
4.0", NC,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.0,4.1,3.9,3.9,2023-05-23 16:57:06.350188,yr
45,"$100,789 /yr (est.)",100789.0,Data Engineer,2,1,1,"Repstor
4.3", NC,4.3,0,23,501 to 1000 Employees,2000,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.2,4.1,4.3,4.0,4.0,2023-05-23 16:57:09.825522,yr
46,$75.00 /hr (est.),156000.0,Sr. Data Engineer (Hybrid),5,1,-1,"RelMap Consulting
4.8", TX,4.8,0,13,1 to 50 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.6,4.8,4.9,5.0,4.8,2023-05-23 16:57:13.633214,hr
