,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
0,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
1,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Web Developer,110531.2,7,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
4,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Web Developer,135200.0,1,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
6,Full Stack Developer,130000.0,10,1,1,2,6,-1,4.5,4.5,4.3,4.4,4.3,4.7
7,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
8,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
9,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,.Net 5 Developer,145600.0,7,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Web Developer,56160.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Full Stack Developer,97942.0,6,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,Web Developer,57200.0,2,1,0,2,-1,-1,4.0,1.0,3.0,2.0,1.0,5.0
15,.NET Web Developer,104000.0,6,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Temporary Web Developer (Frontend),78000.0,20,1,0,3,24,-1,4.3,3.8,4.1,4.6,4.3,4.2
18,Full Stack Software Developer,107500.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,Java Developer,98800.0,10,1,0,2,18,-1,4.4,4.2,4.3,4.4,4.3,4.5
20,Email Developer,67600.0,1,1,1,1,-1,3,3.7,3.6,3.7,3.8,3.9,3.6
21,Junior Web Developer,70326.0,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,Freelance Web Designer (Contract),93600.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
24,AngularJS Developer,111905.0,10,1,0,1,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,C# Developer,145600.0,5,2,0,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
26,UI Developer,130000.0,1,2,1,2,8,2,4.9,4.9,4.7,4.9,4.9,4.9
28,Web/Senior Frontend Developer,145600.0,8,2,1,1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,PHP Developer,93600.0,4,1,1,1,2,2,5.0,5.0,5.0,5.0,5.0,5.0
31,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
34,Mid level Java developer,135200.0,8,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
36,Angular Developer,124800.0,7,2,0,1,-1,-1,4.6,4.6,4.2,4.4,4.3,4.6
37,python aws developer,119600.0,8,1,0,5,20,-1,4.6,4.5,4.2,4.4,4.4,4.5
39,Web Developer - Remote,75116.0,2,1,0,7,147,7,3.9,3.3,3.5,3.7,3.3,3.7
40,Senior Frontend JavaScript Developer (Remote),187200.0,4,1,0,2,27,-1,4.1,4.1,4.0,4.4,4.0,4.4
41,Sr. Developer,120640.0,2,1,0,2,-1,3,3.9,3.8,3.9,3.8,3.8,3.8
43,React JS Developer,119600.0,9,2,0,2,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
44,Full Stack Web Developer - (Contract),64674.0,125,1,0,7,137,9,4.3,4.1,4.0,4.3,3.9,4.1
45,Web Developer,86000.0,4,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,PHP Developer,109200.0,8,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,Sr. Web Developer,107205.0,7,1,1,2,-1,-1,3.6,3.6,3.2,3.6,3.4,3.6
54,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
56,Web Developer,126214.4,3,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
58,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
59,Web developer,88400.0,5,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
65,React Developer,130000.0,7,2,1,2,12,2,4.9,4.7,4.7,4.5,4.6,4.4
67,UX Designer/Developer,150800.0,1,2,1,3,23,-1,3.8,3.8,3.0,3.7,3.7,3.7
71,UI Developer - Angular (Remote),130000.0,10,1,1,2,16,-1,4.8,4.5,4.1,4.8,4.7,4.4
72,Frontend Developer,115000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,VueJs Frontend Developer (Remote),79413.0,2,2,0,1,27,2,4.3,3.8,3.9,4.3,4.1,4.0
78,Junior Web Developer (React JS),67500.0,1,2,0,1,-1,-1,3.5,2.0,2.0,1.0,2.0,1.0
81,Junior Web UI Developer,84487.0,1,1,0,-1,-1,-1,4.7,4.9,4.7,4.9,4.9,4.9
82,Contract React Developer - Remote,98800.0,2,1,1,-1,-1,-1,4.1,4.0,3.5,3.8,3.9,3.7
83,Junior Front End Web Developer,69245.0,2,1,0,1,-1,-1,3.3,3.0,3.4,3.9,3.4,4.2
