Unnamed: 0,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
0,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
2,Java Software Engineer,104000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
4,DevOps Engineer,142500.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
12,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
13,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
14,DevOps/Release Engineer,120099.2,5,1,0,1,-1,2,3.7,2.5,2.0,2.5,1.5,2.5
15,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
16,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
17,Frontend engineer,50000.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,Cloud Engineer,122650.0,10,1,1,2,-1,-1,3.6,3.6,3.2,3.6,3.4,3.6
20,Software Engineer - GIS,88847.0,2,1,0,5,26,6,4.1,4.2,4.1,4.3,4.2,3.9
21,Full Stack Java,119600.0,1,3,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
22,Associate Software Engineer - Entry Level,90000.0,3,1,0,1,-1,3,3.4,2.6,2.7,3.3,2.8,3.0
23,DevOps Engineer,107500.0,2,2,1,4,15,-1,4.0,4.0,3.6,4.2,3.8,3.6
25,Software Engineer,140400.0,7,1,0,3,-1,3,4.5,4.4,4.2,4.4,3.8,4.4
26,Innovation Software Test Engineer,114400.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,Software Development Engineer,145600.0,7,2,1,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
29,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
33,Frontend engineer,50000.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,DevOps Engineer,142500.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,Full Stack Java,119600.0,1,3,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
41,Cloud Engineer,122650.0,10,1,1,2,-1,-1,3.6,3.6,3.2,3.6,3.4,3.6
42,Software Development Engineer,145600.0,7,2,1,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
43,Software Engineer,140400.0,7,1,0,3,-1,3,4.5,4.4,4.2,4.4,3.8,4.4
44,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
