,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
1,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
3,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
6,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Web Developer,135200.0,1,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
10,Full Stack Developer,130000.0,10,1,1,2,6,-1,4.5,4.5,4.3,4.4,4.3,4.7
11,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
12,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
13,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,.Net 5 Developer,145600.0,7,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,Web Developer,56160.0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,Full Stack Developer,97942.0,6,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,Web Developer,57200.0,2,1,0,2,-1,-1,4.0,1.0,3.0,2.0,1.0,5.0
19,.NET Web Developer,104000.0,6,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,Temporary Web Developer (Frontend),78000.0,20,1,0,3,24,-1,4.3,3.8,4.1,4.6,4.3,4.2
23,Full Stack Software Developer,107500.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,Java Developer,98800.0,10,1,0,2,18,-1,4.4,4.2,4.3,4.4,4.3,4.5
25,Email Developer,67600.0,1,1,1,1,-1,3,3.7,3.6,3.7,3.8,3.9,3.6
27,Junior Web Developer,70326.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,Freelance Web Designer (Contract),93600.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
31,AngularJS Developer,111905.0,10,1,0,1,1,-1,-1,-1,-1,-1,-1,-1
32,C# Developer,145600.0,5,2,0,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
34,UI Developer,130000.0,1,2,1,2,8,2,4.9,4.9,4.7,4.9,4.9,4.9
35,Java Developer,98800.0,10,1,0,2,18,-1,4.4,4.2,4.3,4.4,4.3,4.5
36,Web/Senior Frontend Developer,145600.0,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1
37,PHP Developer,93600.0,4,1,1,1,2,2,5.0,5.0,5.0,5.0,5.0,5.0
39,Full Stack Developer,130000.0,10,1,1,2,6,-1,4.5,4.5,4.3,4.4,4.3,4.7
41,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,Temporary Web Developer (Frontend),78000.0,20,1,0,3,24,-1,4.3,3.8,4.1,4.6,4.3,4.2
43,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
44,Mid level Java developer,135200.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
47,Angular Developer,124800.0,7,2,0,1,-1,-1,4.6,4.6,4.2,4.4,4.3,4.6
48,python aws developer,119600.0,8,1,0,5,20,-1,4.6,4.5,4.2,4.4,4.4,4.5
50,.NET Web Developer,104000.0,6,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,Web Developer - Remote,75116.0,2,1,0,7,147,7,3.9,3.3,3.5,3.7,3.3,3.7
52,Senior Frontend JavaScript Developer (Remote),187200.0,4,1,0,2,27,-1,4.1,4.1,4.0,4.4,4.0,4.4
53,Sr. Developer,120640.0,2,1,0,2,-1,3,3.9,3.8,3.9,3.8,3.8,3.8
