,Job Title,Experience,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,Frontend Software Engineer,4,1,"Zillow
3.9","$167,000 /yr (est.)",Remote,3.9,True,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:30.334586
1,Frontend engineer,1,2,Arvist,"$50,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:41:32.227606
2,Software Engineer,5,2,"Lynx Technology Partners, LLC
2.9",$37.50 /hr (est.),Remote,2.9,True,Unknown,2009,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,2.9,3.3,2.9,2.9,3.3,2023-05-17 14:41:37.127818
3,Software Engineer I,2,1,"SKYGEN USA
3.8",-1,Remote,3.8,True,501 to 1000 Employees,1993,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.8,3.5,3.9,3.7,4.0,2023-05-17 14:41:38.822048
4,Junior Software Engineer,3,1,"FTL Finance
5.0","$77,412 /yr (est.)","Saint Charles, MO",5.0,False,1 to 50 Employees,2002,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.7,4.7,5.0,5.0,5.0,2023-05-17 14:41:41.557439
5,Entry Level Software Test Engineer,-1,1,"Radiological Imaging Technology, Inc.","$62,000 /yr (est.)","Colorado Springs, CO",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:41:43.605733
6,API Engineer,-1,1,"Zillow
3.9","$141,000 /yr (est.)",Remote,3.9,True,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:48.265445
7,Jr Software Engineer,-1,1,Legion Consulting Solutions,"$118,000 /yr (est.)","Annapolis Junction, MD",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:41:50.190144
8,Senior Software Engineer,-1,1,"Zillow
3.9","$198,000 /yr (est.)",Remote,3.9,True,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:54.905608
9,Junior Software Developer (Remote),-1,-1,SnapRISK,"$68,078 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:41:56.472564
10,Software Engineer 1,-1,1,"Service Core
4.5","$80,000 /yr (est.)","Denver, CO",4.5,False,-1,-1,-1,-1,-1,-1,4.3,3.9,4.4,4.6,4.3,2023-05-17 14:42:01.014335
11,Frontend Engineer (100% Remote),8,1,"Clandicainc
2.6",$55.00 /hr (est.),Manhattan,2.6,False,-1,-1,-1,-1,-1,-1,2.6,2.6,2.6,3.1,2.6,2023-05-17 14:42:03.621345
12,Software Engineer I,2,1,"Black Knight
3.6","$68,530 /yr (est.)","Mequon, WI",3.6,False,5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.5,3.3,3.6,3.4,3.7,2023-05-17 14:42:06.270565
13,Innovation Software Test Engineer,5,1,PVD,$55.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-17 14:42:07.855151
14,Software Engineer,4,1,"University of Maryland
4.2","$87,322 /yr (est.)","College Park, MD",4.2,False,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,4.0,2023-05-17 14:42:12.510604
15,Software Engineer,10,1,"HP
4.2","$110,608 /yr (est.)","Spring, TX",4.2,False,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.7,4.3,3.8,4.2,2023-05-17 14:42:14.202002
16,Software Support Engineer I,2,1,"Actabl
4.0","$62,500 /yr (est.)",Remote,4.0,True,-1,-1,-1,-1,-1,-1,5.0,4.0,4.0,3.0,4.0,2023-05-17 14:42:16.499832
17,Junior React Developer,2,1,"NCube
4.3",-1,Remote,4.3,True,-1,-1,-1,-1,-1,-1,4.2,4.2,4.2,4.2,4.0,2023-05-17 14:42:19.030158
18,Software Engineer - Frontend,-1,1,"QuesTek Innovations LLC
3.5",-1,Remote,3.5,True,-1,-1,-1,-1,-1,-1,3.4,3.7,3.3,3.3,4.3,2023-05-17 14:42:22.712797
19,Software Engineer,-1,-1,"RevaComm
3.9",-1,Remote,3.9,True,51 to 200 Employees,1990,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.2,3.5,4.5,3.9,4.4,2023-05-17 14:42:26.314567
