,Job Title,Experience,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,SDET/QA,4,1,"Fuge Technologies Inc
4.7",$52.50 /hr (est.),Remote,4.7,True,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-15 13:41:38.485198
1,QA Automation Engineer,4,1,"Utilidata
4.1","$120,000 /yr (est.)",Remote,4.1,True,1 to 50 Employees,2012,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 million (USD),3.4,4.2,4.1,3.5,4.0,2023-05-15 13:41:43.274105
2,QA Analyst/Tester,-1,2,"nLeague services Inc.
3.8",$60.00 /hr (est.),"Atlanta, GA",3.8,False,1 to 50 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.9,3.0,3.7,3.6,3.6,2023-05-15 13:41:45.110787
3,Jr. QA Analyst,1,2,Apex Consultant,$27.50 /hr (est.),"Manassas Park, VA",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:41:47.416396
4,Website QA Analyst,4,1,"First+Third
2.3",-1,Remote,2.3,True,-1,-1,-1,-1,-1,-1,2.0,2.0,3.0,1.5,2.0,2023-05-15 13:41:58.397178
5,Junior Test Engineer,1,1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:42:06.281631
6,SDET,8,1,"Samson Software Solutions Inc.
3.6",$54.50 /hr (est.),Remote,3.6,True,-1,-1,-1,-1,-1,-1,3.5,3.3,3.5,3.4,3.7,2023-05-15 13:42:17.159646
7,Jr. QA Engineer,1,1,Repisodic,"$75,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:42:21.777961
8,QA Engineer,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,-1,-1,-1,-1,-1,-1,4.7,3.3,5.0,4.7,4.7,2023-05-15 13:42:32.380278
9,QA Automation Tester,6,2,merican Inc,$55.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:42:40.180427
10,QA Engineers,-1,2,"oktara
4.4",-1,Remote,4.4,True,-1,-1,-1,-1,-1,-1,3.3,3.3,4.8,3.8,5.0,2023-05-15 13:42:50.771719
11,QA Engineer,3,1,"Prompt.io
5.0",-1,Remote,5.0,True,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-15 13:42:58.404092
12,"QA Manual Tester - Remote, Full-Time",3,2,"Bluelight Consulting
4.9",-1,United States,4.9,False,1 to 50 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.8,4.5,4.8,4.8,5.0,2023-05-15 13:43:06.226979
13,Software QA Engineer,5,2,"WireWheel
2.8","$105,000 /yr (est.)",Remote,2.8,True,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.1,3.5,3.0,2.9,3.5,2023-05-15 13:43:10.940992
14,QA Manual Engineer,-1,1,"EX2 Outcoding
4.1",-1,Remote,4.1,True,-1,-1,-1,-1,-1,-1,3.6,3.3,4.0,3.7,4.0,2023-05-15 13:43:12.487789
15,QA Engineer,2,2,Invictech Inc,"$65,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:43:20.303471
16,QA Engineer (US - 100% Remote),3,2,"Gynger
5.0","$90,000 /yr (est.)","New York, NY",5.0,False,1 to 50 Employees,2021,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.9,4.8,4.9,5.0,4.8,2023-05-15 13:43:31.121592
17,QA Engineer - Entry level,2,1,Tresume,$27.50 /hr (est.),"Detroit, MI",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:43:32.743265
18,QA/QC NACE Offshore Inspector,-1,2,"PK Technology
4.0",$62.50 /hr (est.),"Houston, TX",4.0,False,201 to 500 Employees,1997,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.6,3.9,3.6,4.4,4.2,2023-05-15 13:43:43.587252
19,QA Analyst,2,1,"IXL Learning
3.2","$108,410 /yr (est.)","San Mateo, CA",3.2,False,1001 to 5000 Employees,1998,Company - Private,Education & Training Services,Education,$100 to $500 million (USD),2.9,3.1,3.1,2.8,3.6,2023-05-15 13:43:45.051749
20,Automation API Tester,10,2,Sansutek,$52.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:43:46.520687
21,Software QA Engineer (Manual Tester),-1,2,"Sun-Net Inc.
4.1",-1,"San Jose, CA",4.1,False,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.6,3.4,4.1,3.7,4.0,2023-05-15 13:43:57.118634
22,QA Analyst,8,2,"BuzzClan Private Limited
4.3",$47.50 /hr (est.),"Atlanta, GA",4.3,False,201 to 500 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.4,4.4,4.5,4.3,2023-05-15 13:44:01.840584
23,QA Analyst,4,2,Redzara.us,$47.00 /hr (est.),"Atlanta, GA",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:44:03.390050
24,QA Manual Tester,3,1,ExpressTech,$52.50 /hr (est.),"Las Vegas, NV",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:44:13.926747
25,QA Analyst,1,1,"Filament Games
4.9",-1,United States,4.9,False,51 to 200 Employees,2005,Company - Private,Primary & Secondary Schools,Education,$1 to $5 million (USD),3.9,3.9,4.5,4.6,4.9,2023-05-15 13:44:24.887349
26,Software Quality Assurance (QA) Engineer,3,1,Rubris,"$107,500 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:44:29.848415
27,QA Engineer - Remote,2,1,"Genome
3.8","$92,091 /yr (est.)","New York, NY",3.8,False,-1,-1,-1,-1,-1,-1,3.9,3.2,3.9,3.4,3.2,2023-05-15 13:44:40.442970
28,Quality Assurance Engineer,-1,1,"Planstin
4.1","$100,000 /yr (est.)",Remote,4.1,True,1 to 50 Employees,2016,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.9,3.8,4.1,4.3,4.0,2023-05-15 13:44:45.031868
29,QA Engineer,3,1,"Baldwin Risk Partners
3.9",-1,Remote,3.9,True,-1,-1,-1,-1,-1,-1,3.8,3.9,3.9,3.5,4.2,2023-05-15 13:44:46.644880
30,Junior Test Engineer,1,1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:44:54.538225
31,Junior Test Engineer,-1,-1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:45:06.782817
32,Junior Test Engineer,-1,-1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:45:17.776038
33,Junior Test Engineer,-1,-1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:45:28.675925
34,Junior Test Engineer,-1,-1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:45:39.487324
35,Junior Test Engineer,-1,-1,Entech,$21.82 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 13:45:50.512616
