,Job Title,Experience,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,UTS - Remote Web Services Developer at UNC Chapel Hill,-1,2,"North Carolina State University
4.3",$60.00 /hr (est.),"Chapel Hill, NC",4.3,False,1001 to 5000 Employees,1887,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),4.0,3.5,4.2,4.0,4.0,2023-05-14 08:14:55.625004
1,Java Developer (Contract),20,1,"QuinStreet
4.1",$60.00 /hr (est.),"Foster City, CA",4.1,False,501 to 1000 Employees,1999,Company - Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),4.0,3.8,4.0,3.7,4.1,2023-05-14 08:14:57.363409
2,"Web Developer (HTML, CSS, JS)",3,1,"RebelMouse
4.2",-1,Remote,4.2,True,1 to 50 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),3.9,3.9,4.3,3.7,4.0,2023-05-14 08:14:59.140062
3,Freelance Web Designer/Developer,2,1,Coral House Productions,$28.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:00.818393
4,Web Developer,7,2,symplore,$53.14 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:02.322838
5,Jr Frontend Developer,20,1,"QuinStreet
4.1","$70,000 /yr (est.)","Austin, TX",4.1,False,501 to 1000 Employees,1999,Company - Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),4.0,3.8,4.0,3.7,4.1,2023-05-14 08:15:03.806670
6,Junior Software Developer (Remote),1,1,SnapRISK,"$68,078 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:05.483944
7,Web Developer(Cloud native),1,-1,"VITA TECH INC
5.0",$65.00 /hr (est.),"Atlanta, GA",5.0,False,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,5.0,4.7,5.0,5.0,2023-05-14 08:15:07.024203
8,Web Developer,1,1,"DevCare Solutions Pvt., Ltd.
3.7",$65.00 /hr (est.),"Jackson, MS",3.7,False,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-14 08:15:08.740933
9,Web Developer,-1,1,"Precision Technologies Corp
4.2",$52.50 /hr (est.),Remote,4.2,True,201 to 500 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.2,4.0,4.4,4.1,4.2,2023-05-14 08:15:10.500903
10,Full Stack Developer,10,1,"Gridiron IT
4.5","$130,000 /yr (est.)",Remote,4.5,True,51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.3,4.4,4.3,4.7,2023-05-14 08:15:12.259517
11,Frontend Engineer,1,1,"SportsRecruits
4.3","$125,000 /yr (est.)",Remote,4.3,True,1 to 50 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.5,4.4,4.0,4.0,2023-05-14 08:15:14.058173
12,Frontend UI Developer,7,2,"Resolvetech Solutions
4.0","$105,000 /yr (est.)","Irving, TX",4.0,False,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.7,3.8,3.7,3.5,3.9,2023-05-14 08:15:15.770618
13,Web Developer - Contract,4,1,The Uplift Agency,$80.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:17.817864
14,.Net 5 Developer,7,1,Seity Health,$70.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:19.346909
15,Web Developer,3,1,Sterner Stuff,$27.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 08:15:20.753496
