,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,$43.50 /hr (est.),90480.0,"Windows Desktop Software Engineer (C#, Winforms) - 1148",2,1,-1,infosoft,"Johnson City, TN",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:24:12.623983,hr
2,"$97,827 /yr (est.)",97827.0,Software Engineer,1,1,1,Product Genius,"Boston, MA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:24:18.121947,yr
4,"$131,754 /yr (est.)",131754.0,Software Development Engineer,0,1,-1,"DaleWorthGroup.com
4.0","Santa Clara, CA",4.0,0,34,1 to 50 Employees,1989,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),2.0,5.0,5.0,5.0,1.0,2023-05-22 02:24:30.986421,yr
6,"$152,500 /yr (est.)",152500.0,Sr. Software Engineer (Full Stack),8,1,-1,"UpKeep
3.0",Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.0,3.0,3.0,2.0,2.0,2023-05-22 02:24:37.909379,yr
7,"$95,000 /yr (est.)",95000.0,Desktop Support/Systems Administrator,0,1,0,ls3staffing.com,"Houston, TX",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 02:24:42.029032,yr
9,"$48,827 /yr (est.)",48827.0,IT Desktop Support,3,1,-1,"Orion Innovation
3.9","Edison, NJ",3.9,0,30,5001 to 10000 Employees,1993,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.2,3.0,3.2,3.4,4.0,2023-05-22 02:24:51.919106,yr
11,$16.00 /hr (est.),33280.0,Arabic Interpreter,0,1,1,-1,Remote,-1,1,41,10000+ Employees,1982,Company - Public,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD),2.9,2.6,3.1,3.0,3.2,2023-05-22 02:24:58.918034,hr
12,$29.00 /hr (est.),60320.0,Desktop Support Technician,4,2,-1,"Intratek Computer, Inc.
4.5","Orange, CA",4.5,0,34,201 to 500 Employees,1989,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.5,4.5,4.5,4.5,4.5,2023-05-22 02:25:04.495464,hr
13,"$82,500 /yr (est.)",82500.0,Manager of HR & Administration (Fully Remote CDH Client),0,1,1,"CDH, PC
4.0",Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.2,4.3,4.4,3.7,4.1,2023-05-22 02:25:07.881791,yr
14,$31.50 /hr (est.),65520.0,Software Engineer / C# Developer,4,1,-1,"ComTec
2.4","Johnson City, TN",2.4,0,-1,-1,-1,-1,-1,-1,-1,1.4,1.8,1.8,1.8,1.5,2023-05-22 02:25:12.153279,hr
15,"$70,000 /yr (est.)",70000.0,Desktop Support Technician,-1,-1,-1,"Union Supply Group Inc
2.8","Groveport, OH",2.8,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.4,1.8,2.2,2.3,2023-05-22 02:25:15.827383,yr
16,"$73,957 /yr (est.)",73957.0,Desktop Software Application Developer,0,1,1,"Breault Research Organization
4.1","Tucson, AZ",4.1,0,44,1 to 50 Employees,1979,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.1,3.3,3.2,3.7,4.4,2023-05-22 02:25:19.693328,yr
17,"$50,709 /yr (est.)",50709.0,Associate QA Analyst (Remote),0,1,0,"Patterson Companies, Inc.
3.7","Effingham, IL",3.7,0,146,5001 to 10000 Employees,1877,Company - Public,Wholesale,Retail & Wholesale,$5 to $10 billion (USD),3.4,3.5,3.8,3.4,3.6,2023-05-22 02:25:23.136262,yr
18,"$49,201 /yr (est.)",49201.0,Desktop Support Technician,0,2,0,"NTT DATA Services
3.5","Brick, NJ",3.5,0,56,10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.1,3.1,3.2,3.1,3.5,2023-05-22 02:25:26.748447,yr
19,"$97,703 /yr (est.)",97703.0,Software Engineer,0,1,1,"City of Duncanville
4.1","Duncanville, TX",4.1,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,2.8,2.5,3.0,2023-05-22 02:25:29.344646,yr
20,"$92,180 /yr (est.)",92180.0,QA Engineer - Remote,2,1,1,"Genome
3.8","New York, NY",3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.2,3.9,3.4,3.2,2023-05-22 02:25:33.755301,yr
21,$17.50 /hr (est.),36400.0,"SERVICE DESK ANALYST, TECHNICAL – REMOTE WORK!",0,2,1,"UNITY BPO
2.9",Remote,2.9,1,7,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,2.8,3.1,2.9,2.3,3.0,2023-05-22 02:25:37.267596,hr
22,"$54,332 /yr (est.)",54332.0,Software Support Specialists - SaaS - 100% Remote,3,2,1,"Transfinder
3.4","Houston, TX",3.4,0,35,51 to 200 Employees,1988,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.2,2.9,3.3,2.9,3.1,2023-05-22 02:25:40.707686,yr
23,"$49,211 /yr (est.)",49211.0,IT Assistant: Level 1,0,1,0,"The City University of New York (CUNY)
3.8","New York, NY",3.8,0,176,10000+ Employees,1847,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.3,3.5,3.8,3.3,3.7,2023-05-22 02:25:43.507472,yr
24,"$142,500 /yr (est.)",142500.0,Manager Desktop Support - 23010358,5,1,0,"MoneyGram
3.7","Minneapolis, MN",3.7,0,83,1001 to 5000 Employees,1940,Company - Public,Financial Transaction Processing,Financial Services,$500 million to $1 billion (USD),3.2,3.6,3.5,3.3,3.8,2023-05-22 02:25:46.993191,yr
