,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,$21.24 /hr (est.),44179.2,Relationship Coach,-1,-1,-1,Pinnacle of Man,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:53:28.551156,hr
2,$25.00 /hr (est.),52000.0,Development Tester - Rocksmith+ - Contract,10,2,1,Ubisoft,"San Francisco, CA",3.8,0,37,10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.6,3.1,3.9,3.3,4.1,2023-05-22 03:53:33.530936,hr
3,"$129,135 /yr (est.)",129135.0,"Game Artist, R&D Tech Lab",5,2,1,Netflix,"Los Gatos, CA",4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-22 03:53:36.967719,yr
4,$35.00 /hr (est.),72800.0,Unity Video Game Developer,1,2,-1,PowerHouse Video Games,"Cedar Hills, UT",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:53:42.294521,hr
5,"$71,466 /yr (est.)",71466.0,QA Tester,0,2,-1,MindSeekers,"Bellevue, WA",3.1,0,-1,-1,-1,-1,-1,-1,-1,3.1,2.8,3.0,2.9,3.7,2023-05-22 03:53:47.591984,yr
7,"$52,500 /yr (est.)",52500.0,Intake Coordinator,-1,-1,-1,Team IMPACT,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:53:57.464961,yr
11,"$140,000 /yr (est.)",140000.0,"Director, Global Events Deals and Development (Hybrid)",0,1,1,the NBA,"New York, NY",4.1,0,77,1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $10 billion (USD),3.6,3.5,4.0,3.5,3.5,2023-05-22 03:54:16.311166,yr
13,"$62,661 /yr (est.)",62661.0,Scrum Master (REMOTE OPPORTUNITY),4,1,0,Regions,"Birmingham, AL",3.5,0,52,10000+ Employees,1971,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.4,3.6,3.7,3.2,3.6,2023-05-22 03:54:23.856661,yr
14,"$66,500 /yr (est.)",66500.0,Marketing Development Representative,1,2,1,Buzops,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:54:26.584447,yr
15,"$85,000 /yr (est.)",85000.0,Media Partnerships Coordinator,0,1,-1,the NBA,"New York, NY",4.1,0,77,1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $10 billion (USD),3.6,3.5,4.0,3.5,3.5,2023-05-22 03:54:32.520409,yr
18,"$107,500 /yr (est.)",107500.0,Game Director - Remote,3,1,1,Playground Labs,Remote,-1,1,2,Unknown,2021,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-22 03:54:43.774559,yr
20,"$55,781 /yr (est.)",55781.0,Game Designer - Full Time,0,1,1,Filament Games,"Madison, WI",4.9,0,18,51 to 200 Employees,2005,Company - Private,Primary & Secondary Schools,Education,$1 to $5 million (USD),3.9,3.9,4.5,4.6,4.9,2023-05-22 03:54:52.179977,yr
22,"$38,892 /yr (est.)",38892.0,Game Support,2,1,-1,MindSeekers,"Bellevue, WA",3.1,0,-1,-1,-1,-1,-1,-1,-1,3.1,2.8,3.0,2.9,3.7,2023-05-22 03:54:59.266904,yr
25,"$65,520 /yr (est.)",65520.0,Graduate Game Designer,0,1,1,"Big Fish Games, Inc.","Las Vegas, NV",3.8,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.7,3.7,4.1,3.6,4.5,2023-05-22 03:55:13.325791,yr
26,"$102,500 /yr (est.)",102500.0,Customer Success Manager,3,1,1,Interos Inc.,Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.7,4.0,4.0,3.7,4.0,2023-05-22 03:55:15.796327,yr
27,"$109,591 /yr (est.)",109591.0,Head of Game Development,0,2,1,iTalent PLUS,"Myrtle Point, OR",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,5.0,5.0,5.0,2023-05-22 03:55:19.338911,yr
28,"$140,145 /yr (est.)",140145.0,"QA Test Lead - Compatibility, CCQA, Games - Operations",5,2,1,Netflix,"Los Gatos, CA",4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-22 03:55:23.440745,yr
31,"$65,520 /yr (est.)",65520.0,Graduate Game Designer,0,1,1,Aristocrat,"Las Vegas, NV",4.0,0,70,5001 to 10000 Employees,1953,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.8,4.0,4.1,3.8,4.1,2023-05-22 03:55:46.430425,yr
32,"$43,448 /yr (est.)",43448.0,QA Test Lead,2,2,1,White Hat Gaming,Remote,3.9,1,11,501 to 1000 Employees,2012,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.7,4.0,3.8,3.7,4.6,2023-05-22 03:55:49.463080,yr
33,"$65,000 /yr (est.)",65000.0,Quality Assurance Tester,2,2,1,Valyant AI,"Denver, CO",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:55:52.841718,yr
34,"$97,500 /yr (est.)",97500.0,Customer Success Team Lead,0,1,0,FORM.com,Remote,4.2,1,-1,-1,-1,-1,-1,-1,-1,3.9,3.5,4.1,3.8,4.2,2023-05-22 03:55:58.196858,yr
35,"$65,076 /yr (est.)",65076.0,Game Producer,0,1,1,GAMEVISION,"Naperville, IL",3.9,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.3,4.7,4.0,2023-05-22 03:56:01.882688,yr
36,$28.00 /hr (est.),58240.0,CONTRACT - Technical Tester (Manual/Web QA),0,1,-1,Nintendo,"Redmond, WA",4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.1,4.3,4.0,3.9,2023-05-22 03:56:05.136182,hr
38,"$190,450 /yr (est.)",190450.0,Senior Gameplay Programmer,0,2,-1,Epic Games,"Bellevue, WA",4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.5,3.8,2023-05-22 03:56:13.283258,yr
40,"$67,000 /yr (est.)",67000.0,Team Operations Lead,0,1,0,Equitable Hiring Group,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 03:56:20.548972,yr
41,"$123,500 /yr (est.)",123500.0,Game Producer,5,1,1,IGT,"Reno, NV",3.8,0,42,10000+ Employees,1981,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.5,3.4,3.7,3.4,3.7,2023-05-22 03:56:26.608114,yr
42,"$227,185 /yr (est.)",227185.0,"QA Lead Coordinator, Console",5,1,1,Roblox,"San Mateo, CA",4.1,0,19,1001 to 5000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.5,4.0,3.9,4.0,2023-05-22 03:56:29.125198,yr
45,"$83,468 /yr (est.)",83468.0,Game Designer,-1,-1,-1,Las Vegas Sands Corp.,"Las Vegas, NV",4.0,0,19,10000+ Employees,2004,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$10+ billion (USD),3.3,4.2,3.7,3.7,3.4,2023-05-22 03:56:41.406468,yr
47,"$77,545 /yr (est.)",77545.0,"Associate Producer, External Games",2,2,0,Netflix,"Los Gatos, CA",4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-22 03:56:49.051749,yr
