,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
4,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,"Denver, CO",0,1001 to 5000 Employees,5,1999,24,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Public,3.5,3.5,3.2,3.4,3.2,3.5,"Infinite Computing Systems
3.5",2023-05-11 14:20:50.783422
5,Software Developer,156000.0,1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,3.0,4.0,5.0,5.0,5.0,"Insigma Health Corp
5.0",2023-05-11 14:20:52.602439
7,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,"Lexington, MA",0,1 to 50 Employees,1,-1,-1,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),2,Company - Private,4.0,3.4,3.1,2.4,3.1,3.4,"PROMEDICAL, LLC
4.0",2023-05-11 14:20:55.467428
8,Software Developer,124800.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,-1,-1,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),4,Company - Private,3.8,3.3,2.6,3.1,3.3,3.8,"Global HIT
3.8",2023-05-11 14:20:57.485227
9,Junior Software Developer,84897.0,5,BACHELOR,JUNIOR,"Port Washington, NY",0,501 to 1000 Employees,4,1989,34,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),7,Company - Private,2.8,3.2,2.8,2.9,2.6,2.7,"Kiss Products
2.8",2023-05-11 14:20:59.991695
10,"Software Developer, Frontend",120000.0,-1,BACHELOR,-1,Remote,1,201 to 500 Employees,3,2015,8,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.1,4.3,4.2,4.1,4.2,"DISQO
4.5",2023-05-11 14:21:01.630224
11,Software Developer,102500.0,-1,MASTER,SENIOR,Remote,1,Unknown,-1,-1,-1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,5.0,5.0,5.0,5.0,4.0,"AgWorks
3.6",2023-05-11 14:21:03.176134
12,Web Developer - Contract,166400.0,4,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,The Uplift Agency,2023-05-11 14:21:04.693685
13,Software Developer,62400.0,1,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Cornucopia Living LLC,2023-05-11 14:21:06.045084
14,Frontend UI Developer,105000.0,7,MASTER,-1,"Irving, TX",0,51 to 200 Employees,2,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.8,3.7,3.5,3.9,"Resolvetech Solutions
4.0",2023-05-11 14:21:07.398079
15,Jr Software Engineer,88750.0,3,BACHELOR,JUNIOR,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,"webfx.com
4.3",2023-05-11 14:21:08.912203
17,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Reuben Cooley Inc.,2023-05-11 14:21:12.060529
18,Software Developer,145000.0,5,BACHELOR,SENIOR,Remote,1,51 to 200 Employees,2,2011,12,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,4.3,4.2,4.3,4.0,3.5,"OpenDrives
4.3",2023-05-11 14:21:13.714867
19,Jr. Web Developer,88750.0,3,BACHELOR,JUNIOR,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,"webfx.com
4.3",2023-05-11 14:21:15.558486
20,Sr. Hadoop Developer,166400.0,12,MASTER,SENIOR,"Charlotte, NC",0,51 to 200 Employees,2,1999,24,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.0,3.7,3.6,3.8,3.8,4.0,"New York Technology Partners
4.0",2023-05-11 14:21:17.102377
21,Junior Software Developer,67500.0,2,BACHELOR,-1,"Fort Worth, TX",0,51 to 200 Employees,2,1993,30,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3,Company - Private,3.7,3.5,3.4,3.8,3.6,3.7,"InterConnect Wiring
3.7",2023-05-11 14:21:18.652430
22,Jr. Software Developer,54080.0,1,BACHELOR,SENIOR,"Visalia, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.3,4.0,3.5,4.5,3.5,4.0,"4Creeks Inc.
4.3",2023-05-11 14:21:20.159484
23,Junior Software Developer,61500.0,70,BACHELOR,JUNIOR,"Fort Worth, TX",0,51 to 200 Employees,2,1953,70,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),4,Company - Private,3.2,2.9,2.8,3.4,3.0,2.7,"Samsill Corporation
3.2",2023-05-11 14:21:21.709899
25,Software Developer II,85000.0,5,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fivestar,2023-05-11 14:21:25.006120
27,Software Engineer,115000.0,2,BACHELOR,-1,Remote,1,51 to 200 Employees,2,-1,-1,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Company - Private,4.8,4.4,4.4,4.7,4.7,5.0,"Polco
4.8",2023-05-11 14:21:28.114019
