,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
0,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Senior Data Analyst,145600.0,8,MASTER,SENIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
5,Data Engineer/ Data Science on W2,98800.0,8,MASTER,SENIOR,0,5,-1,-1,4.5,4.4,4.2,4.2,3.9,4.1
6,DATA ARCHITECT ( Chat GPT ),187200.0,1,MASTER,SENIOR,0,1,-1,3,3.3,2.7,2.4,3.0,3.0,3.5
7,"AI Architect | REMOTE | Data Science, AI/ML, R",161200.0,8,MASTER,SENIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,Data Scientist,150000.0,12,BACHELOR,SENIOR,1,2,-1,-1,5.0,5.0,4.6,4.8,4.8,4.8
29,Data Scientist,109177.0,2,BACHELOR,SENIOR,0,7,195,8,3.7,3.6,3.6,3.8,3.4,3.7
30,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
31,Data Scientist,221500.0,3,BACHELOR,SENIOR,1,7,12,7,3.2,2.5,3.1,3.1,2.6,3.6
32,Associate Data Engineer,108900.0,0,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
34,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
38,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
39,Data Engineer,124000.0,2,MASTER,SENIOR,1,3,45,-1,4.0,3.5,3.8,4.1,3.6,4.3
41,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
45,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,0,5,13,7,4.2,3.8,4.1,4.2,4.1,4.1
47,Data Scientist,105547.0,10,BACHELOR,SENIOR,0,7,66,9,3.9,3.7,4.0,3.8,3.5,3.3
54,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,0,5,84,-1,4.2,3.9,4.0,4.3,4.0,4.0
61,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,0,5,13,7,4.2,3.8,4.1,4.2,4.1,4.1
63,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
64,Associate Data Engineer,108900.0,0,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
65,Sr. Data Visualization Engineer (Remote),144867.0,12,BACHELOR,SENIOR,0,5,62,7,3.5,3.5,3.4,3.7,3.4,3.4
66,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,0,5,84,-1,4.2,3.9,4.0,4.3,4.0,4.0
72,Senior Data Analyst,145600.0,8,MASTER,SENIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
77,Senior Data Engineer,155000.0,5,MASTER,SENIOR,0,5,122,7,4.1,3.8,3.9,4.2,3.8,4.1
81,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,0,7,26,7,3.8,3.9,3.9,3.7,3.4,3.7
82,MLOps/Machine Learning Engineer,150800.0,10,BACHELOR,SENIOR,1,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
86,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,1,2,10,4,4.5,4.3,4.2,4.5,4.2,4.5
89,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
90,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
94,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,0,5,27,6,4.5,4.1,4.0,4.5,4.2,4.5
95,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
96,Associate Data Engineer,108900.0,12,BACHELOR,JUNIOR,0,7,170,9,4.0,4.1,4.1,4.1,3.8,3.9
99,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
100,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,0,7,26,7,3.8,3.9,3.9,3.7,3.4,3.7
101,Senior Data Engineer,155000.0,5,MASTER,SENIOR,0,5,122,7,4.1,3.8,3.9,4.2,3.8,4.1
