,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
0,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
1,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
3,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
5,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Python Developer,109275.0,2,BACHELOR,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
10,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
11,Software Developer,90000.0,3,BACHELOR,-1,1,3,38,6,4.4,4.4,3.7,4.3,4.0,4.0
12,Web Developer - Contract,166400.0,4,BACHELOR,SENIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
14,"Software Developer, Frontend",120000.0,-1,BACHELOR,-1,1,3,8,-1,4.5,4.1,4.3,4.2,4.1,4.2
15,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
16,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
17,Core Java/J2EE developer,109200.0,10,MASTER,-1,0,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
18,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,Junior Software Developer,84897.0,5,BACHELOR,JUNIOR,0,4,34,7,2.8,3.2,2.8,2.9,2.6,2.7
21,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
22,Software Developer,62400.0,1,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
24,SENIOR Java backend Developer,156000.0,10,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,Software Developer,145000.0,5,BACHELOR,SENIOR,1,2,12,-1,4.3,4.3,4.2,4.3,4.0,3.5
26,Junior Software Developer,67500.0,2,BACHELOR,-1,0,2,30,3,3.7,3.5,3.4,3.8,3.6,3.7
28,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
32,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
35,US Citizen: Full Stack Java Developer,150800.0,7,BACHELOR,-1,1,1,-1,-1,5.0,4.5,5.0,5.0,5.0,5.0
36,Junior Software Developer,91500.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,3.9,3.9,3.9,3.4,3.4,3.9
37,Backend Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
38,Senior Java Developer,130000.0,8,BACHELOR,SENIOR,0,3,17,-1,4.0,4.0,3.7,3.9,3.8,3.7
39,Sr. Backend Java Developer,140400.0,10,MASTER,-1,0,5,16,7,3.6,3.6,3.8,3.8,3.2,3.9
40,"Jr. Software Developer (Java, Python)",88400.0,1,BACHELOR,JUNIOR,0,1,-1,2,5.0,-1,-1,-1,-1,-1
42,Software Developer,135200.0,3,MASTER,-1,0,2,-1,-1,4.3,3.9,4.0,4.4,4.3,4.1
43,Java API Developer,124800.0,10,MASTER,-1,0,3,17,-1,4.0,4.0,3.7,3.9,3.8,3.7
44,Java React Developer,130000.0,8,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,Software Prototype Developer,124800.0,-1,BACHELOR,-1,0,2,5,3,4.6,4.4,4.5,4.5,4.4,4.3
49,Java Developer,135200.0,6,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,Python Developer,130000.0,8,MASTER,-1,0,3,20,4,4.3,3.9,3.7,4.2,4.2,4.0
51,AWS with Java Developer,121264.0,10,DOCTOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,Jr. ReactJS/NodeJS Developer,68600.0,2,BACHELOR,JUNIOR,1,7,79,9,3.9,3.7,3.8,4.1,3.7,4.0
53,Delphi developer,156000.0,-1,MASTER,JUNIOR,1,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
54,Software Developer,82500.0,3,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,Full Stack Developer,84645.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,Jr. Software Developer,54080.0,1,BACHELOR,SENIOR,0,1,-1,-1,4.3,4.0,3.5,4.5,3.5,4.0
59,AWS Developer,124800.0,8,MASTER,-1,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
60,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
61,Jr Frontend Developer,70000.0,10,BACHELOR,SENIOR,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
62,"Software Developer, Junior",75950.0,-1,BACHELOR,JUNIOR,0,7,109,8,4.2,4.1,3.9,4.3,4.0,4.3
