,Unnamed: 0,Salary Estimate,Annual Salary,Experience,Education,Company Name,Location,Rating,Is Remote,Company Size,Company Old,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit,Type of Ownership Scale,Company Size Scale,Sector Scale_1.0,Sector Scale_3.0,Sector Scale_6.0,Sector Scale_11.0,Sector Scale_19.0,Industry Sector_3.0,Industry Sector_12.0,Industry Sector_14.0,Industry Sector_34.0,Industry Sector_39.0,Job Title_API Engineer,Job Title_Entry Level Software Test Engineer,Job Title_Frontend Engineer (100% Remote),Job Title_Frontend Software Engineer,Job Title_Frontend engineer,Job Title_Innovation Software Test Engineer,Job Title_Jr Software Engineer,Job Title_Junior Software Developer (Remote),Job Title_Junior Software Engineer,Job Title_Senior Software Engineer,Job Title_Software Engineer,Job Title_Software Engineer 1,Job Title_Software Engineer I,Job Title_Software Support Engineer I,Revenue Scale_1.0,Revenue Scale_7.0
0,0,"$167,000 /yr (est.)",167000.0,4,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:30.334586,yr,2.0,6.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,"$50,000 /yr (est.)",50000.0,1,2,Arvist,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,2023-05-17 14:41:32.227606,yr,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,$37.50 /hr (est.),78000.0,5,2,"Lynx Technology Partners, LLC",Remote,2.9,1,Unknown,14,2009,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,2.9,3.3,2.9,2.9,3.3,2023-05-17 14:41:37.127818,hr,1.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,4,"$77,412 /yr (est.)",77412.0,3,1,FTL Finance,"Saint Charles, MO",5.0,0,1 to 50 Employees,21,2002,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.7,4.7,5.0,5.0,5.0,2023-05-17 14:41:41.557439,yr,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,5,"$62,000 /yr (est.)",62000.0,-1,1,"Radiological Imaging Technology, Inc.","Colorado Springs, CO",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,2023-05-17 14:41:43.605733,yr,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,"$141,000 /yr (est.)",141000.0,-1,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:48.265445,yr,2.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,"$118,000 /yr (est.)",118000.0,-1,1,Legion Consulting Solutions,"Annapolis Junction, MD",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,2023-05-17 14:41:50.190144,yr,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,8,"$198,000 /yr (est.)",198000.0,-1,1,Zillow,Remote,3.9,1,5001 to 10000 Employees,18,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,2023-05-17 14:41:54.905608,yr,2.0,6.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,9,"$68,078 /yr (est.)",68078.0,-1,-1,SnapRISK,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,2023-05-17 14:41:56.472564,yr,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,10,"$80,000 /yr (est.)",80000.0,-1,1,Service Core,"Denver, CO",4.5,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.9,4.4,4.6,4.3,2023-05-17 14:42:01.014335,yr,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
