,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,Junior React Developer,2,0,0,"NCube
4.3",-1,Remote,4.3,True,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.2,4.2,4.2,4.2,4.0,2023-05-11 23:24:58.600050
1,Software Developer - JAVA (#0000101540),5,0,0,"Infinite Computing Systems
3.5",$68.50 /hr (est.),"Denver, CO",3.5,False,1001 to 5000 Employees,1999,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.5,3.2,3.4,3.2,3.5,2023-05-11 23:25:00.297690
2,React.JS Developer (Remote),2,-1,1,"Azdan
3.8",-1,Remote,3.8,True,51 to 200 Employees,2010,Company - Private,-1,-1,$5 to $25 million (USD),4.2,3.5,3.9,4.0,3.4,2023-05-11 23:25:02.096183
3,Web Developer - Contract,4,1,0,The Uplift Agency,$80.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:25:03.916544
4,Terraform developer,5,-1,1,Yaggle IT,$75.00 /hr (est.),"Plano, TX",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:25:05.388706
5,AWS Developer,5,-1,0,Next Gen It,$80.00 /hr (est.),"Charlotte, NC",-1,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:25:06.848918
6,Software Developer,3,-1,1,"Global IT
4.3",$65.00 /hr (est.),"Omaha, NE",4.3,False,51 to 200 Employees,-1,Contract,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.0,4.4,4.3,4.1,2023-05-11 23:25:08.463274
7,Junior Software Developer,2,0,0,"PROMEDICAL, LLC
4.0","$69,420 /yr (est.)","Lexington, MA",4.0,False,1 to 50 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),3.4,3.1,2.4,3.1,3.4,2023-05-11 23:25:10.195298
8,Software Developer,4,-1,0,SunAlgo,"$82,500 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:25:11.901098
9,Software Developer,3,-1,0,"Green Street
4.4","$90,000 /yr (est.)",Remote,4.4,True,201 to 500 Employees,1985,Company - Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD),4.4,3.7,4.3,4.0,4.0,2023-05-11 23:25:13.318518
