,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
1,"$92,000 /yr (est.)",92000.0,Software Engineer,5,1,1,Oasys International Corporation, UT,3.7,0,12,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,4.0,3.9,3.8,4.3,yr
2,"$88,154 /yr (est.)",88154.0,Systems Engineer/ Medical Devices,0,1,-1,Analog Devices, MA,4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,yr
4,"$126,897 /yr (est.)",126897.0,"Motion Planning Engineer, Autopilot",0,1,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,yr
5,"$99,823 /yr (est.)",99823.0,Flight Software Engineer,2,1,-1,Vast, CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.7,4.4,4.3,4.0,yr
6,"$132,500 /yr (est.)",132500.0,Software Infrastructure Engineer (Starshield),2,1,-1,Swarm Technologies, CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,yr
7,"$95,650 /yr (est.)",95650.0,"Autonomous System Test Engineer, Mid",2,1,-1,Booz Allen Hamilton, CA,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,yr
8,"$145,000 /yr (est.)",145000.0,Software Engineer,10,1,-1,Koffie Financial,United States,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,2.0,2.0,3.0,yr
9,"$89,712 /yr (est.)",89712.0,Robotics Software Engineer,2,1,1,University of Maryland, MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,4.0,yr
10,$34.00 /hr (est.),70720.0,Co-Op Computer Vision - Deep Learning (Fall 2023),2,1,-1,Torc Robotics, TX,4.3,0,16,501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),4.0,4.5,4.5,3.9,4.1,hr
12,"$132,500 /yr (est.)",132500.0,"Software Engineer, Full Stack (Starshield)",2,1,-1,Swarm Technologies, CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,yr
13,"$200,000 /yr (est.)",200000.0,"Research Scientist Model Engineer, Autonomous Startup",0,2,-1,Recruiting From Scratch, AZ,3.9,0,4,1 to 50 Employees,2019,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$1 to $5 million (USD),4.0,3.9,3.6,3.5,3.9,yr
14,"$131,118 /yr (est.)",131118.0,Machine Learning Engineer - Simulation,0,1,-1,DiDi Labs, CA,3.9,0,6,201 to 500 Employees,2017,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.9,3.5,3.7,3.4,3.8,yr
15,"$106,254 /yr (est.)",106254.0,Full Stack Javascript Engineer,4,1,-1,Ford Motor Company, MI,4.1,0,120,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.5,3.9,yr
16,"$101,500 /yr (est.)",101500.0,Software Engineer,5,1,1,Autonodyne LLC, MA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.2,3.6,3.3,3.6,yr
17,"$140,000 /yr (est.)",140000.0,Vision Systems Software Engineer,4,1,-1,Groe Advisors, MA,4.4,0,16,1 to 50 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.1,4.1,4.3,4.2,yr
18,"$101,663 /yr (est.)",101663.0,Software Engineer C++,3,1,-1,Seegrid, PA,3.5,0,20,201 to 500 Employees,2003,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,3.3,3.5,3.8,3.2,3.8,yr
19,"$81,479 /yr (est.)",81479.0,Robotics Software Engineer 1,4,1,-1,"Applied Research Associates, Inc", VT,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,yr
20,"$78,954 /yr (est.)",78954.0,System Engineer,2,1,-1,Symbotic, MS,3.3,0,16,501 to 1000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.2,3.2,2.8,2.6,2.9,yr
21,"$126,970 /yr (est.)",126970.0,Data Engineer,4,1,-1,Luminar, CA,3.7,0,11,201 to 500 Employees,2012,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.9,4.1,3.4,3.1,3.4,yr
22,"$85,270 /yr (est.)",85270.0,"Development Engineer, Telematics Testing and Validation",0,1,0,Mercedes-Benz R&D North America, CA,4.2,0,137,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,4.0,3.9,3.7,4.0,yr
23,"$98,900 /yr (est.)",98900.0,"Software Engineer, Hybrid",0,1,-1,"MKS Instruments, Inc.", OR,3.9,0,62,5001 to 10000 Employees,1961,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.7,3.8,3.6,3.8,yr
24,"$95,362 /yr (est.)",95362.0,Data Engineer,5,1,1,Ford Motor Company, MI,4.1,0,120,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.5,3.9,yr
25,"$132,500 /yr (est.)",132500.0,"Software Engineer, Data (Starshield)",4,1,-1,Swarm Technologies, CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,yr
26,"$81,640 /yr (est.)",81640.0,Diagnostic Software Engineer 1,1,1,1,PACCAR, TX,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.3,3.2,3.0,3.6,yr
27,"$109,307 /yr (est.)",109307.0,Software Engineering Co-op,0,1,-1,QinetiQ, MA,3.9,0,22,1001 to 5000 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.8,3.4,3.9,3.5,4.0,yr
28,"$84,633 /yr (est.)",84633.0,Software Test Engineer I - Robotics,0,1,-1,Hyster-Yale Group, OR,3.5,0,38,5001 to 10000 Employees,1985,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.3,3.4,3.3,2.9,3.7,yr
29,"$130,000 /yr (est.)",130000.0,Computer Vision and Machine Learning Engineer,3,1,1,"Stratom, Inc.", CO,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.3,5.0,5.0,5.0,yr
30,"$132,500 /yr (est.)",132500.0,Software Engineer (Starshield),2,1,-1,Swarm Technologies, CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,yr
31,"$116,579 /yr (est.)",116579.0,Computer Vision Research Engineer,2,1,-1,DreamVu, PA,3.8,0,6,Unknown,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.5,3.6,3.4,yr
32,"$103,172 /yr (est.)",103172.0,Artificial Intelligence & Machine Learning Research Engineer- Autonomous Systems,0,1,-1,Aurora Flight Sciences, MA,4.1,0,34,501 to 1000 Employees,1989,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.9,4.0,3.8,4.3,yr
33,"$254,750 /yr (est.)",254750.0,Senior Systems Test Engineer - Autonomous Vehicles,6,1,1,NVIDIA, CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.5,4.5,4.6,4.4,4.2,yr
