,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Application Engineer Modeling & Simulation,Job Title_Artificial Intelligence & Machine Learning Research Engineer- Autonomous Systems,Job Title_Artificial Intelligence & Machine Learning Research Scientist- Autonomous Systems,"Job Title_Associate Engineer, Equipment Engineering",Job Title_Autonomous Driving Simulation Engineer - Managed AI,"Job Title_Autonomous System Test Engineer, Mid",Job Title_Autonomous Systems,Job Title_Autonomous Systems Embedded Engineer,Job Title_Autonomous Systems Embedded Software Engineer,Job Title_Autonomous Vehicle Operations Specialist,Job Title_Autonomous Vehicle Software Engineer,Job Title_Autonomous Vehicle System Behavior Engineer,Job Title_Autonomous Vehicle Test Engineer,Job Title_Autonomous and Embedded Systems Engineer,Job Title_Brake Systems Engineer,Job Title_Co-Op Computer Vision - Deep Learning (Fall 2023),Job Title_Computer Engineer I,Job Title_Computer Vision Research Engineer,Job Title_Computer Vision and Machine Learning Engineer,Job Title_Data Engineer,"Job Title_Development Engineer, Telematics Testing and Validation",Job Title_Diagnostic Software Engineer 1,Job Title_EE Vehicle Update Engineer,Job Title_Embedded Flight Software Engineer,Job Title_Embedded Software Engineer,Job Title_Engineer I-Firmware,"Job Title_Engineer, Software Development Engineering (NCG)",Job Title_Engineering Software Engineer,Job Title_Entry Level Design and Analysis Engineer,Job Title_Equipment Engineer I (Summer 2023 Start),Job Title_FPGA Engineer (Starshield),Job Title_Flight Software Engineer,Job Title_Full Stack Javascript Engineer,Job Title_Machine Learning Engineer - Simulation,"Job Title_Machine Learning Engineer – 3D computer vision, Autopilot AI",Job Title_Mechanical Engineer,Job Title_Mechanical Engineer I,"Job Title_Mechanical Engineer, Vehicle Engineering",Job Title_Mission Operations Engineer,"Job Title_Motion Planning Engineer, Autopilot",Job Title_Powertrain Controls Validation Engineer - Autonomous Vehicle (GR 25),Job Title_Powertrain Engineer,Job Title_Principal Software Engineer (Starshield),Job Title_Research Engineer/Scientist I,"Job Title_Research Scientist Model Engineer, Autonomous Startup","Job Title_Robotics Engineer, Fleet Learning – Autopilot",Job Title_Robotics Software Engineer,Job Title_Robotics Software Engineer 1,"Job Title_SLAM Software Engineer, Autopilot",Job Title_Senior Framework Software Engineer - Autonomous Vehicles,Job Title_Senior Robotics Software Engineer,Job Title_Senior Systems Test Engineer - Autonomous Vehicles,Job Title_Software Engineer,Job Title_Software Engineer (Starshield),Job Title_Software Engineer (Vehicle Automation and Autonomous Systems),Job Title_Software Engineer - Full-Stack,Job Title_Software Engineer C++,"Job Title_Software Engineer, Autonomous Vehicles","Job Title_Software Engineer, C++ (Starshield)","Job Title_Software Engineer, Data (Starshield)","Job Title_Software Engineer, Full Stack (Starshield)","Job Title_Software Engineer, Hybrid","Job Title_Software Engineer, Simulation Realism",Job Title_Software Engineering Co-op,Job Title_Software Infrastructure Engineer (Starshield),Job Title_Software Quality Assurance (Manual/Automation),Job Title_Software Test Engineer,Job Title_Software Test Engineer I - Robotics,Job Title_Student Programs Engineer - Robotics and Autonomous Systems,Job Title_System Engineer,Job Title_Systems Engineer,Job Title_Systems Engineer – Autonomous Vehicle Applications,Job Title_Systems Engineer/ Medical Devices,"Job Title_Tech Lead, Software Engineer, Autonomous Car Startup",Job Title_Test & Validation Engineer,Job Title_Test Equipment Specialist/Engineer,Job Title_Trajectory Analysis Engineer,Job Title_Vehicle Dynamics Modeling Engineer,Job Title_Vision Systems Software Engineer,Type of Ownership_-1,Type of Ownership_College / University,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Government,Type of Ownership_Nonprofit Organization,Type of Ownership_Subsidiary or Business Segment,Type of Ownership_Unknown,Time Unit_hr,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$1 to $5 million (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$25 to $100 million (USD),Revenue_$5 to $10 billion (USD),Revenue_$5 to $25 million (USD),Revenue_$500 million to $1 billion (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Company Size_51 to 200 Employees,Company Size_Unknown,Location_,Location_ AZ,Location_ CA,Location_ CO,Location_ IL,Location_ LA,Location_ MA,Location_ MD,Location_ MI,Location_ MO,Location_ MS,Location_ NJ,Location_ NY,Location_ OR,Location_ PA,Location_ TN,Location_ TX,Location_ UT,Location_ VT,Location_ WA,Location_Remote,Location_United States
0,98519.0,0,1,1,4.3,0,72,3.8,4.0,4.1,3.6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,92000.0,5,1,1,3.7,0,12,3.8,4.0,3.9,3.8,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,88154.0,0,1,-1,4.1,0,58,3.9,3.7,4.0,3.6,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,74500.0,0,1,1,3.5,0,52,3.1,3.4,3.2,3.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,126897.0,0,1,-1,3.6,0,20,3.7,3.7,3.4,3.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,99823.0,2,1,-1,4.5,0,-1,3.9,3.7,4.4,4.3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,132500.0,2,1,-1,4.2,0,7,4.0,4.2,4.3,4.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,95650.0,2,1,-1,4.2,0,109,4.1,3.9,4.3,3.9,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,145000.0,10,1,-1,5.0,0,-1,4.0,3.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,89712.0,2,1,1,4.2,0,167,3.9,3.6,4.1,3.8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
