,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Accounts Payable Coordinator,Job Title_Agronomy Technology Specialist,Job Title_Asset Management Specialist I,"Job Title_Associate Director, Customer Experience Design",Job Title_COF DATA SPECIALIST– ID# 223269,Job Title_Change Management Specialist,Job Title_Commodity Marketing Specialist,Job Title_Communications Associate,"Job Title_Consultant, Climate Change and Geospatial Solutions (Associate Level)",Job Title_Data Analyst (ITS4),Job Title_Data Quality Analyst,Job Title_Forecasting and Planning Specialist,Job Title_Grants Specialist,Job Title_IT Procurement Senior Manager,Job Title_Imaging Data Scientist,Job Title_International Communications Officer,Job Title_Marketing Manager,Job Title_OD & Talent Development Specialist,Job Title_Orbia - Treasury Director,Job Title_PROJECT MANAGEMENT SPECIALIST – FINANCE,"Job Title_Physician: Medical Oncologist, Twin Falls",Job Title_Product Development Senior Specialist,Job Title_Product Manager - Financial Services,Job Title_Product Training Manager,Job Title_Product Training Specialist,Job Title_Reporting Specialist,Job Title_SEO manager (full-time),Job Title_Senior Ag Marketing Specialist - Wine & Grape Board,Job Title_Senior Benefits Analyst,"Job Title_Senior Manager, Global Logistics and Compliance",Job Title_Senior Product Training Instructor,"Job Title_Sr. Engineer, NROC Water Treatment & Utilities",Job Title_Strategic Sourcing Specialist - Metals,Type of Ownership_-1,Type of Ownership_College / University,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Government,Type of Ownership_Hospital,Type of Ownership_Nonprofit Organization,Type of Ownership_Self-employed,Type of Ownership_Subsidiary or Business Segment,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$25 to $100 million (USD),Revenue_$5 to $10 billion (USD),Revenue_$500 million to $1 billion (USD),Revenue_Less than $1 million (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_1 to 50 Employees,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Company Size_Unknown,Location_ AZ,Location_ CA,Location_ CO,Location_ CT,Location_ DC,Location_ GA,Location_ IA,Location_ ID,Location_ IL,Location_ IN,Location_ KS,Location_ KY,Location_ MA,Location_ MI,Location_ MN,Location_ MO,Location_ ND,Location_ NE,Location_ NY,Location_ OH,Location_ SC,Location_ TX,Location_ WI,Location_Oahu Island
0,65000.0,-1,-1,-1,4.4,0,10,3.8,3.2,4.2,4.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,71263.0,3,1,1,3.9,0,33,3.4,3.6,3.6,3.3,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,52138.0,5,1,1,4.3,0,25,4.2,4.1,4.3,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,80839.0,1,1,1,3.7,0,131,3.2,4.0,3.3,3.2,3.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,59877.0,0,1,0,3.7,0,53,3.5,3.5,3.4,3.1,3.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48268.0,5,1,-1,3.0,0,38,3.1,2.9,3.3,2.5,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,136755.0,8,1,1,4.5,0,107,4.3,4.6,4.3,4.0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,79338.0,5,1,0,3.9,0,33,3.4,3.6,3.6,3.3,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,79365.0,0,1,1,3.0,0,97,2.7,2.8,2.7,2.4,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69787.0,7,1,1,4.3,0,107,4.1,4.5,4.2,4.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
