,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$89,965 /yr (est.)",89965.0,Data Scientist - MPD,2,1,1,"City of Minneapolis
3.5", MN,3.5,0,156,1001 to 5000 Employees,1867,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.3,3.9,3.3,3.1,4.0,2023-05-23 19:00:59.774808,yr
1,"$115,000 /yr (est.)",115000.0,Data Scientist,-1,-1,-1,Zest AI,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:01:02.074631,yr
4,"$103,659 /yr (est.)",103659.0,Data Scientist,10,1,-1,"LufCo
4.9", MD,4.9,0,19,1 to 50 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.8,4.8,4.9,4.9,4.9,2023-05-23 19:01:16.274852,yr
5,"$164,000 /yr (est.)",164000.0,"Data Scientist, Product Analytics",4,1,-1,"Facebook App
3.9",Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-23 19:01:20.001722,yr
7,"$117,500 /yr (est.)",117500.0,Data Scientist - Bioinformatics,1,1,1,Excision BioTherapeutics, MA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:01:30.247557,yr
8,"$101,376 /yr (est.)",101376.0,Data Scientist,0,2,-1,"Cyber Infotech
4.2", TX,4.2,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-23 19:01:35.707401,yr
9,$70.00 /hr (est.),145600.0,Data Scientist,5,2,1,"Devcare Solutions
3.7", OH,3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-23 19:01:38.758201,hr
10,"$93,523 /yr (est.)",93523.0,Data Scientist,3,1,1,"BRADY WORLDWIDE INC
3.6", WI,3.6,0,109,5001 to 10000 Employees,1914,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.3,3.5,3.5,3.2,3.8,2023-05-23 19:01:40.747814,yr
11,"$121,500 /yr (est.)",121500.0,"Data Scientist, USCAN MR",0,1,1,"GE Healthcare
4.2",Remote,4.2,1,131,10000+ Employees,1892,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),4.1,4.1,4.2,3.9,4.0,2023-05-23 19:01:43.023896,yr
12,"$97,733 /yr (est.)",97733.0,Data Scientist,0,-1,-1,"TGS
3.8", TX,3.8,0,42,501 to 1000 Employees,1981,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD),3.2,3.7,3.2,3.1,3.6,2023-05-23 19:01:44.910414,yr
13,"$100,925 /yr (est.)",100925.0,Data Scientist,5,1,-1,"GTA (Global Technology Associates)
4.6", VA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.0,4.4,4.0,3.4,2023-05-23 19:01:46.640255,yr
14,"$120,100 /yr (est.)",120100.0,Data Scientist - HCI,2,1,1,"SCAN Group
3.9", CA,3.9,0,46,1001 to 5000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.7,4.1,4.0,3.6,3.9,2023-05-23 19:01:49.614951,yr
15,$80.00 /hr (est.),166400.0,Data Scientist,7,2,-1,"Surya Systems
3.9", CA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.0,3.3,3.7,2023-05-23 19:01:51.953156,hr
16,"$72,500 /yr (est.)",72500.0,Data Scientist,0,1,-1,"Numero Data
3.9",Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,4.0,3.4,4.0,4.0,3.8,2023-05-23 19:01:54.896022,yr
17,"$130,000 /yr (est.)",130000.0,Data Scientist,3,2,1,"Excelacom
3.4", CO,3.4,0,23,51 to 200 Employees,2000,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,3.6,3.4,3.0,3.1,3.4,2023-05-23 19:01:57.972081,yr
18,"$112,500 /yr (est.)",112500.0,Genomics Data Scientist,0,1,-1,"Avellino Lab USA Inc
3.0",Remote,3.0,1,11,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,2.8,3.4,3.1,2.6,3.3,2023-05-23 19:01:59.987393,yr
19,$65.00 /hr (est.),135200.0,Sr. Business Analyst/Data Analyst,8,2,-1,Apex Consultant, VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:02:01.871456,hr
20,"$107,449 /yr (est.)",107449.0,Data Scientist,10,1,1,"Elder Research Inc
4.4", NC,4.4,0,28,51 to 200 Employees,1995,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.9,3.7,4.5,4.1,4.8,2023-05-23 19:02:06.703776,yr
21,$73.38 /hr (est.),152630.4,Senior Data Analyst,0,2,-1,Rackera Inc, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:02:09.320348,hr
23,"$95,509 /yr (est.)",95509.0,Data Scientist,0,1,-1,"RS Americas
4.0", TX,4.0,0,95,501 to 1000 Employees,1928,Company - Private,Wholesale,Retail & Wholesale,$500 million to $1 billion (USD),4.1,3.8,4.2,3.7,4.0,2023-05-23 19:02:17.361820,yr
24,$35.00 /hr (est.),72800.0,Data Scientist,4,1,1,"Columbia University
4.1", NY,4.1,0,269,10000+ Employees,1754,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,3.8,3.6,3.9,3.5,3.8,2023-05-23 19:02:19.529718,hr
25,"$114,209 /yr (est.)",114209.0,Data Scientist,0,1,-1,"Datasync Techonlogies Inc
4.9", VA,4.9,0,20,1 to 50 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,4.9,2023-05-23 19:02:21.786353,yr
26,"$98,676 /yr (est.)",98676.0,Data Scientist I,0,1,-1,"Hy-Vee, Inc.
3.4", IA,3.4,0,93,10000+ Employees,1930,Company - Private,Grocery Stores,Retail & Wholesale,$5 to $10 billion (USD),3.2,3.0,3.1,2.9,3.2,2023-05-23 19:02:23.954540,yr
27,$57.50 /hr (est.),119600.0,Data Scientist,0,1,-1,Techsara solutions, DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:02:26.004916,hr
28,"$99,486 /yr (est.)",99486.0,Data Scientist,0,2,-1,"WinWire
4.0", NJ,4.0,0,17,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.8,4.0,3.8,3.8,2023-05-23 19:02:30.861426,yr
29,$60.00 /hr (est.),124800.0,Data Scientist,0,1,-1,"INTELETECH GLOBAL INC
3.7", FL,3.7,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.8,4.2,4.0,3.9,2023-05-23 19:02:42.095437,hr
30,"$83,893 /yr (est.)",83893.0,Research Data Scientist I,2,1,1,"Cleveland Clinic
3.7", OH,3.7,0,102,10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.6,3.5,3.6,3.2,3.3,2023-05-23 19:02:45.257313,yr
32,"$69,240 /yr (est.)",69240.0,Data Science (AI/ML),0,-1,-1,"Anblicks
4.1", TX,4.1,0,19,501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.0,3.9,4.1,3.8,4.1,2023-05-23 19:02:50.961318,yr
33,"$104,500 /yr (est.)",104500.0,Data Scientist,4,2,-1,"S&P Global
4.1", MA,4.1,0,135,10000+ Employees,1888,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),3.8,3.8,4.2,3.8,4.3,2023-05-23 19:02:52.858117,yr
34,"$82,359 /yr (est.)",82359.0,Data Scientist,-1,-1,-1,"AmeriTEK Global
5.0", NJ,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,5.0,2023-05-23 19:02:55.151367,yr
35,"$93,374 /yr (est.)",93374.0,Jr Data Scientist,2,1,-1,"Veracity Software
3.9", NJ,3.9,0,13,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.5,4.0,3.8,3.9,2023-05-23 19:02:58.113406,yr
36,"$100,030 /yr (est.)",100030.0,Data Scientist,5,2,1,"Drexel University
4.1", PA,4.1,0,132,1001 to 5000 Employees,1891,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.9,3.5,4.0,3.7,4.1,2023-05-23 19:03:00.434760,yr
37,"$97,000 /yr (est.)",97000.0,Data Scientist,0,1,-1,KesarWeb, AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:03:02.646051,yr
38,$36.00 /hr (est.),74880.0,Data Scientist,3,1,1,"DONIA LLC
4.0", MD,4.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,3.0,2.0,1.0,5.0,2023-05-23 19:03:07.792360,hr
40,"$108,750 /yr (est.)",108750.0,Data Scientist (Remote),3,1,-1,"Parsons
3.9",Remote,3.9,1,79,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.7,3.6,3.8,3.5,3.8,2023-05-23 19:03:17.410731,yr
41,"$80,000 /yr (est.)",80000.0,Data Scientist,2,2,-1,"Procal Technologies
3.8",Remote,3.8,1,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,5.0,5.0,2023-05-23 19:03:19.798309,yr
42,"$77,500 /yr (est.)",77500.0,Data Scientist,2,1,-1,Jobba Trade Tech, IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-23 19:03:22.783950,yr
44,"$99,197 /yr (est.)",99197.0,Data Scientist,-1,-1,-1,"Excella
4.0", VA,4.0,0,21,201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.9,3.8,4.2,3.8,4.2,2023-05-23 19:03:31.337403,yr
45,"$97,570 /yr (est.)",97570.0,Data Scientist,0,2,-1,"Wise Equation Solutions
4.9", TX,4.9,0,17,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.9,4.3,5.0,4.9,4.8,2023-05-23 19:03:34.035562,yr
46,"$235,000 /yr (est.)",235000.0,Senior Data Scientist,7,1,1,"Movable Ink
4.0", NY,4.0,0,13,501 to 1000 Employees,2010,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),3.8,3.9,4.3,3.8,4.0,2023-05-23 19:03:36.056197,yr
47,$70.00 /hr (est.),145600.0,AI/ ML Engineer,5,2,-1,"Devcare Solutions
3.7",Remote,3.7,1,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,2023-05-23 19:03:38.745480,hr
48,"$94,538 /yr (est.)",94538.0,Data Scientist,0,2,-1,"Dataline
5.0", NJ,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,5.0,5.0,5.0,2023-05-23 19:03:41.198914,yr
50,"$119,875 /yr (est.)",119875.0,Data Scientist (Remote),1,1,1,"Transfix
4.2", NY,4.2,0,10,201 to 500 Employees,2013,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,3.9,3.7,4.3,4.0,3.7,2023-05-23 19:03:48.373493,yr
51,"$176,675 /yr (est.)",176675.0,Senior Data Analyst,-1,-1,-1,"Coinbase
3.7",Remote,3.7,1,11,501 to 1000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.6,3.2,3.5,2023-05-23 19:03:51.111590,yr
52,"$96,017 /yr (est.)",96017.0,"Scientist 2, Data Science",5,1,-1,"Katalyst Healthcares & Life Sciences
3.6", NC,3.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.8,3.6,3.6,3.7,2023-05-23 19:03:53.732396,yr
