,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$103,018 /yr (est.)",103018.0,Java Software Engineer III - Backend Engineer,-1,-1,-1,"JPMorgan Chase Bank, N.A.
3.8", DE,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-25 09:02:17.861321,yr
2,"$78,197 /yr (est.)",78197.0,Application Engineer,-1,-1,-1,"HCA Healthcare
3.3", TN,3.3,0,55,10000+ Employees,1968,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.5,3.2,3.3,3.0,3.2,2023-05-25 09:02:22.753554,yr
3,"$135,000 /yr (est.)",135000.0,Java Engineer,-1,-1,-1,"Avenue Code
4.4", CA,4.4,0,15,1001 to 5000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.2,4.2,4.5,4.1,4.3,2023-05-25 09:02:25.102939,yr
4,"$56,069 /yr (est.)",56069.0,Unified Communication Engineer,-1,-1,-1,"Memorial Health University Medical Center
3.0", GA,3.0,0,39,1001 to 5000 Employees,1984,Hospital,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.7,3.3,3.0,2.6,3.0,2023-05-25 09:02:26.830875,yr
5,"$102,500 /yr (est.)",102500.0,Database Reliability Engineer,-1,-1,-1,"FORM.com
4.2",Remote,4.2,1,-1,-1,-1,-1,-1,-1,-1,3.9,3.5,4.1,3.8,4.2,2023-05-25 09:02:29.154565,yr
6,"$155,000 /yr (est.)",155000.0,"Streaming Media Engineer, Media Technology",-1,-1,-1,"Major League Baseball
3.9", NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.4,3.6,3.8,3.4,3.5,2023-05-25 09:02:31.962835,yr
7,"$87,356 /yr (est.)",87356.0,Senior UI Engineer I (0970),-1,-1,-1,"FLEETCOR
3.3", GA,3.3,0,23,10000+ Employees,2000,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD),3.4,3.4,3.2,3.0,3.4,2023-05-25 09:02:34.057023,yr
8,"$103,363 /yr (est.)",103363.0,Data and Machine Learning Engineer,-1,-1,-1,"AEEC, LLC.
2.8", UT,2.8,0,28,1 to 50 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.5,3.3,3.0,3.0,2.8,2023-05-25 09:02:36.158093,yr
12,"$120,700 /yr (est.)",120700.0,"Software Engineer I, Application Performance Management",-1,-1,-1,"The Travelers Companies, Inc.
4.0", CT,4.0,0,170,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),4.1,4.1,4.1,3.8,3.9,2023-05-25 09:02:47.315131,yr
14,"$133,250 /yr (est.)",133250.0,Sr Full Stack Engineer,-1,-1,-1,"Pennymac
3.1", CA,3.1,0,15,1001 to 5000 Employees,2008,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),2.9,3.1,3.2,2.9,2.9,2023-05-25 09:02:52.524757,yr
