,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,"$85,568 /yr (est.)",85568.0,Predictive Analytics Expert,-1,-1,-1,Huntington Bank, OH,3.6,0,157,10000+ Employees,1866,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.5,3.5,3.9,3.4,3.5,2023-05-25 09:34:53.650478,yr
2,"$64,458 /yr (est.)",64458.0,Cyber Incident Management Specialist,-1,-1,-1,Global Systems Engineering, VA,3.9,0,9,1 to 50 Employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.3,3.3,3.4,3.6,3.9,2023-05-25 09:34:55.805539,yr
3,"$174,100 /yr (est.)",174100.0,"Cybersecurity Tools Sustainment Specialist, Lead",-1,-1,-1,Booz Allen Hamilton, DC,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-25 09:34:57.779867,yr
4,"$63,334 /yr (est.)",63334.0,Cyber Defense Support Specialist,-1,-1,-1,General Dynamics Electric Boat, CT,3.4,0,124,10000+ Employees,1899,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.8,3.3,3.0,2.8,3.5,2023-05-25 09:34:59.703017,yr
6,"$102,000 /yr (est.)",102000.0,Insider Threat Engineering Specialist - Network Engineer,-1,-1,-1,Leidos, VA,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-25 09:35:04.342204,yr
7,"$57,654 /yr (est.)",57654.0,Cyber Incident Management Specialist,-1,-1,-1,inventium.io LLC, VA,5.0,0,7,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:35:06.023800,yr
8,"$48,875 /yr (est.)",48875.0,Cyber Incident Management Specialist,-1,-1,-1,AXSEUM Inc, NM,3.1,0,33,51 to 200 Employees,1990,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),2.9,3.1,3.3,3.0,3.9,2023-05-25 09:35:08.037749,yr
9,$60.43 /hr (est.),125694.4,Senior Fraud Specialist,-1,-1,-1,TAA Solutions LLC, DC,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:35:12.166281,hr
10,"$86,165 /yr (est.)",86165.0,"IA Network Specialist, Infrastructure Operations",-1,-1,-1,Feditc Llc, VA,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,3.9,3.7,4.5,2023-05-25 09:35:15.178828,yr
12,"$85,568 /yr (est.)",85568.0,Predictive Analytics Expert,-1,-1,-1,Huntington Bank, OH,3.6,0,157,10000+ Employees,1866,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.5,3.5,3.9,3.4,3.5,2023-05-25 09:35:27.953980,yr
13,"$64,458 /yr (est.)",64458.0,Cyber Incident Management Specialist,-1,-1,-1,Global Systems Engineering, VA,3.9,0,9,1 to 50 Employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.3,3.3,3.4,3.6,3.9,2023-05-25 09:35:29.859882,yr
14,"$174,100 /yr (est.)",174100.0,"Cybersecurity Tools Sustainment Specialist, Lead",-1,-1,-1,Booz Allen Hamilton, DC,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-25 09:35:31.829170,yr
15,"$63,334 /yr (est.)",63334.0,Cyber Defense Support Specialist,-1,-1,-1,General Dynamics Electric Boat, CT,3.4,0,124,10000+ Employees,1899,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.8,3.3,3.0,2.8,3.5,2023-05-25 09:35:33.786111,yr
17,"$102,000 /yr (est.)",102000.0,Insider Threat Engineering Specialist - Network Engineer,-1,-1,-1,Leidos, VA,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-25 09:35:38.273490,yr
18,"$57,654 /yr (est.)",57654.0,Cyber Incident Management Specialist,-1,-1,-1,inventium.io LLC, VA,5.0,0,7,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:35:40.032645,yr
19,"$48,875 /yr (est.)",48875.0,Cyber Incident Management Specialist,-1,-1,-1,AXSEUM Inc, NM,3.1,0,33,51 to 200 Employees,1990,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),2.9,3.1,3.3,3.0,3.9,2023-05-25 09:35:42.223677,yr
20,$60.43 /hr (est.),125694.4,Senior Fraud Specialist,-1,-1,-1,TAA Solutions LLC, DC,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-25 09:35:44.359507,hr
21,"$86,165 /yr (est.)",86165.0,"IA Network Specialist, Infrastructure Operations",-1,-1,-1,Feditc Llc, VA,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,3.9,3.7,4.5,2023-05-25 09:35:47.284410,yr
23,"$85,568 /yr (est.)",85568.0,Predictive Analytics Expert,-1,-1,-1,Huntington Bank, OH,3.6,0,157,10000+ Employees,1866,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.5,3.5,3.9,3.4,3.5,2023-05-25 09:36:00.183240,yr
24,"$64,458 /yr (est.)",64458.0,Cyber Incident Management Specialist,-1,-1,-1,Global Systems Engineering, VA,3.9,0,9,1 to 50 Employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.3,3.3,3.4,3.6,3.9,2023-05-25 09:36:02.212550,yr
25,"$174,100 /yr (est.)",174100.0,"Cybersecurity Tools Sustainment Specialist, Lead",-1,-1,-1,Booz Allen Hamilton, DC,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-25 09:36:04.294430,yr
26,"$63,334 /yr (est.)",63334.0,Cyber Defense Support Specialist,-1,-1,-1,General Dynamics Electric Boat, CT,3.4,0,124,10000+ Employees,1899,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.8,3.3,3.0,2.8,3.5,2023-05-25 09:36:06.281109,yr
28,"$102,000 /yr (est.)",102000.0,Insider Threat Engineering Specialist - Network Engineer,-1,-1,-1,Leidos, VA,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-25 09:36:10.977434,yr
