,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$52,454 /yr (est.)",52454.0,TASI HEALTHCARE DATA SCIENTIST ASSOCIATE – ID# 223227,4,1,0,Research Corporation of the University of Hawaii, HI,4.0,0,116,10000+ Employees,1907,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.7,3.6,4.2,3.5,4.0,2023-05-24 23:50:21.733908,yr
1,"$64,920 /yr (est.)",64920.0,Postdoctoral Associate - Machine Learning and Veterinary Medicine,-1,-1,-1,Cornell University, NY,4.4,0,158,10000+ Employees,1865,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,4.0,4.2,4.0,4.0,2023-05-24 23:50:24.369371,yr
5,"$62,735 /yr (est.)",62735.0,Sr. Healthcare Policy and Data Analyst,0,1,1,Council for Affordable Quality Healthcare, DC,3.9,0,23,51 to 200 Employees,2000,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.8,4.5,4.4,4.0,4.1,2023-05-24 23:50:38.400966,yr
6,"$59,615 /yr (est.)",59615.0,"Postdoctoral Research Fellow, Observational Health Data Science and Informatics",0,1,0,Northeastern University, ME,4.3,0,125,1001 to 5000 Employees,1898,College / University,Colleges & Universities,Education,$100 to $500 million (USD),4.0,3.8,4.1,3.9,4.1,2023-05-24 23:50:40.401824,yr
7,"$67,086 /yr (est.)",67086.0,Postdoctoral Fellow – Natural Language Processing / Machine Learning in Healthcare,0,1,1,H. Lee Moffitt Cancer Center, FL,3.9,0,37,5001 to 10000 Employees,1986,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.5,4.1,3.5,3.8,2023-05-24 23:50:42.223517,yr
8,"$200,000 /yr (est.)",200000.0,"Associate Director, Global Development Data Science & Digital Health (JRD DS)",8,1,0,Johnson & Johnson, NJ,4.2,0,136,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.9,4.1,4.2,3.8,4.0,2023-05-24 23:50:44.491435,yr
9,"$85,000 /yr (est.)",85000.0,Senior Data Analyst,3,2,-1,Alivi,Remote,4.3,1,11,51 to 200 Employees,2012,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.3,4.2,4.3,4.2,4.1,2023-05-24 23:50:46.518151,yr
10,"$104,500 /yr (est.)",104500.0,Clinical Data Analyst - AI - Remote,4,1,1,Tunnell Consulting,Remote,2.9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 23:50:48.389125,yr
11,"$55,000 /yr (est.)",55000.0,Post Doctoral Scholar in Artificial Intelligence / Machine Learning (AI / ML) for Applications in Ophthalmology,0,1,-1,The Ohio State University, OH,4.1,0,153,10000+ Employees,1870,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),3.9,3.6,4.0,3.7,4.0,2023-05-24 23:50:52.208080,yr
12,"$156,750 /yr (est.)",156750.0,"Data Scientist, Continuous Tomography Algorithms",5,1,1,Chan Zuckerberg Initiative, CA,3.8,0,8,201 to 500 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.3,4.1,3.6,3.2,4.3,2023-05-24 23:50:54.201598,yr
15,"$84,239 /yr (est.)",84239.0,Data Science Analyst - Revenue Cycle - Avondale,2,1,1,UAB Medicine - UA Health Services Foundation (UAHSF), AL,3.9,0,78,10000+ Employees,1945,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.9,3.8,3.8,3.4,3.5,2023-05-24 23:51:02.855345,yr
16,"$83,190 /yr (est.)",83190.0,Population Health Data Analyst Senior - Remote Online,5,1,1,Advocate Aurora Health, IL,3.8,0,5,10000+ Employees,2018,Hospital,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.6,3.7,3.3,3.4,2023-05-24 23:51:04.638971,yr
17,"$92,388 /yr (est.)",92388.0,Senior Healthcare Data Analyst,10,1,1,CareJourney, VA,4.0,0,8,51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.5,3.8,3.5,3.4,2023-05-24 23:51:06.489130,yr
18,"$115,565 /yr (est.)",115565.0,Data Science Analyst - Radiology,0,1,1,Mayo Clinic, MN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.3,3.5,2023-05-24 23:51:08.279965,yr
19,"$101,000 /yr (est.)",101000.0,"Sr. Data Analyst, Health Informatics",4,1,1,Zimmer Biomet,Remote,3.6,1,96,10000+ Employees,1927,Company - Public,Health Care Products Manufacturing,Manufacturing,$5 to $10 billion (USD),3.4,3.7,3.5,3.3,3.3,2023-05-24 23:51:10.968633,yr
20,"$61,619 /yr (est.)",61619.0,Billing- Sr. Technical Data Analyst- Healthcare # 2743,5,1,-1,GRAIL, NC,4.0,0,7,1001 to 5000 Employees,2016,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.6,3.9,3.7,3.5,3.9,2023-05-24 23:51:12.875746,yr
21,"$48,705 /yr (est.)",48705.0,"Clinical Quality Data Science/Analytics Specialist (FT) Johnson City, TN",0,1,1,Ballad Health, TN,2.8,0,5,Unknown,2018,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.9,2.6,2.8,2.5,2.8,2023-05-24 23:51:15.090189,yr
23,"$200,000 /yr (est.)",200000.0,"Practice Group Manager – Privacy, Cybersecurity, and Data Innovation + Artificial Intelligence",0,1,1,Gibson Dunn, TX,4.6,0,153,1001 to 5000 Employees,1870,Company - Private,Legal,Legal,$100 to $500 million (USD),4.5,4.7,4.7,4.4,3.8,2023-05-24 23:51:19.946576,yr
24,"$72,627 /yr (est.)",72627.0,Data Analyst / Senior Data Analyst/ Intermediate,5,1,1,University of Michigan, MI,4.3,0,206,10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),4.0,3.9,4.1,3.8,4.0,2023-05-24 23:51:22.045746,yr
25,"$44,531 /yr (est.)",44531.0,Data and Statistical Analyst – health and human services (full-time),0,1,-1,Liberty Healthcare Corporation, IN,4.1,0,37,1001 to 5000 Employees,1986,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,4.0,3.9,3.8,3.7,2023-05-24 23:51:23.901625,yr
27,"$93,979 /yr (est.)",93979.0,Data Analyst (Epidemiologist / Statistician / Health Science Specialist),0,1,1,"SMITREC, Department of Veterans Affairs", MI,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 23:51:28.811740,yr
28,"$70,451 /yr (est.)",70451.0,Sr Health Information Data Analyst,0,1,1,Fairview Health Services, MN,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.4,3.3,2.8,3.1,2023-05-24 23:51:33.536983,yr
29,"$104,500 /yr (est.)",104500.0,"Assistant Director, Cancer Data Science",3,1,0,Stanford University, CA,4.3,0,132,10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),4.1,3.6,4.1,3.8,3.8,2023-05-24 23:51:36.337854,yr
30,"$109,309 /yr (est.)",109309.0,Senior Healthcare Data Analyst Remote,3,1,0,Sentara Healthcare, VA,3.8,0,135,10000+ Employees,1888,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.8,3.8,3.8,3.3,3.6,2023-05-24 23:51:45.448327,yr
