,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$254,750 /yr (est.)",254750.0,Senior Systems Test Engineer - Autonomous Vehicles,6,1,1,"Oski Technology
4.6", CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.5,4.5,4.6,4.4,4.2,2023-05-24 21:44:09.034945,yr
1,"$99,823 /yr (est.)",99823.0,Flight Software Engineer,2,1,-1,"Vast
4.5", CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.7,4.4,4.3,4.0,2023-05-24 21:44:13.302841,yr
2,"$74,500 /yr (est.)",74500.0,Software Engineer (Vehicle Automation and Autonomous Systems),0,1,1,"Kubota Tractor Corp
3.5", AZ,3.5,0,52,1001 to 5000 Employees,1971,Company - Private,Wholesale,Retail & Wholesale,$5 to $25 million (USD),3.1,3.4,3.2,3.1,3.4,2023-05-24 21:44:15.988243,yr
3,"$126,897 /yr (est.)",126897.0,"Motion Planning Engineer, Autopilot",0,1,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 21:44:18.179974,yr
4,"$98,900 /yr (est.)",98900.0,"Software Engineer, Hybrid",0,1,-1,"MKS Instruments, Inc.
3.9", OR,3.9,0,62,5001 to 10000 Employees,1961,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.7,3.8,3.6,3.8,2023-05-24 21:44:19.873041,yr
5,"$88,154 /yr (est.)",88154.0,Systems Engineer/ Medical Devices,0,1,-1,"Analog Devices
4.1", MA,4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,2023-05-24 21:44:21.628727,yr
6,"$132,500 /yr (est.)",132500.0,Software Infrastructure Engineer (Starshield),2,1,-1,"Swarm Technologies
4.2", CA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-24 21:44:23.415386,yr
8,"$101,500 /yr (est.)",101500.0,Software Engineer,5,1,1,"Autonodyne LLC
3.9", MA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.2,3.6,3.3,3.6,2023-05-24 21:44:28.219857,yr
9,"$98,589 /yr (est.)",98589.0,Autonomous and Embedded Systems Engineer,0,1,1,"MIT Lincoln Laboratory
4.3", MA,4.3,0,72,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.8,4.0,4.1,3.6,4.4,2023-05-24 21:44:31.097617,yr
10,"$95,650 /yr (est.)",95650.0,"Autonomous System Test Engineer, Mid",2,1,-1,"Booz Allen Hamilton
4.2", CA,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-05-24 21:44:32.874028,yr
12,"$140,000 /yr (est.)",140000.0,Vision Systems Software Engineer,4,1,-1,"Groe Advisors
4.4", MA,4.4,0,16,1 to 50 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.1,4.1,4.3,4.2,2023-05-24 21:44:38.031763,yr
13,"$117,155 /yr (est.)",117155.0,"Mechanical Engineer, Vehicle Engineering",-1,-1,-1,Glydways, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 21:44:40.048082,yr
14,"$89,712 /yr (est.)",89712.0,Robotics Software Engineer,2,1,1,"University of Maryland
4.2", MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,4.0,2023-05-24 21:44:44.783260,yr
15,"$85,270 /yr (est.)",85270.0,"Development Engineer, Telematics Testing and Validation",0,1,0,"Mercedes-Benz R&D North America
4.2", CA,4.2,0,137,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,4.0,3.9,3.7,4.0,2023-05-24 21:44:46.753191,yr
16,"$78,954 /yr (est.)",78954.0,System Engineer,2,1,-1,"Symbotic
3.3", MS,3.3,0,16,501 to 1000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.2,3.2,2.8,2.6,2.9,2023-05-24 21:44:48.821314,yr
17,"$131,118 /yr (est.)",131118.0,Machine Learning Engineer - Simulation,0,1,-1,"DiDi Labs
3.9", CA,3.9,0,6,201 to 500 Employees,2017,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.9,3.5,3.7,3.4,3.8,2023-05-24 21:44:50.838992,yr
19,"$145,000 /yr (est.)",145000.0,Software Engineer,10,1,-1,"Koffie Financial
5.0",United States,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,2.0,2.0,3.0,2023-05-24 21:44:56.079359,yr
20,$34.00 /hr (est.),70720.0,Co-Op Computer Vision - Deep Learning (Fall 2023),2,1,-1,"Torc Robotics
4.3", TX,4.3,0,16,501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),4.0,4.5,4.5,3.9,4.1,2023-05-24 21:44:58.832032,hr
21,"$130,544 /yr (est.)",130544.0,Vehicle Robotics Controls Engineer,-1,-1,-1,"Udelv
3.0", CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.7,2.5,2.6,2.0,2.8,2023-05-24 21:45:00.788135,yr
