,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
1,"$72,500 /yr (est.)",72500.0,"Legal Assistant, Business Affairs",-1,-1,-1,"Take-Two Interactive Software, Inc.", NY,3.9,0,30,1001 to 5000 Employees,1993,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.7,3.8,3.7,3.5,3.7,2023-05-25 09:37:07.555931,yr
2,"$78,932 /yr (est.)",78932.0,NetSuite Senior Assistant,-1,-1,-1,Deloitte, CA,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-05-25 09:37:09.264835,yr
4,"$70,945 /yr (est.)",70945.0,Data Analyst,-1,-1,-1,Doximity, NC,4.8,0,13,201 to 500 Employees,2010,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.8,4.6,4.7,2023-05-25 09:37:13.934734,yr
5,"$87,783 /yr (est.)",87783.0,Java Developer,-1,-1,-1,Rite Pros, ME,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.5,4.0,3.4,3.0,4.3,2023-05-25 09:37:15.668061,yr
6,"$59,700 /yr (est.)",59700.0,TRAINING OFFICER 2-45806,-1,-1,-1,State of TN, TN,3.4,0,227,10000+ Employees,1796,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.3,3.1,3.2,3.0,3.7,2023-05-25 09:37:18.325693,yr
8,"$41,326 /yr (est.)",41326.0,ASSISTANT PLANNER (PLANNER I),-1,-1,-1,City Of Fairmont, WV,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:37:25.537509,yr
9,"$185,816 /yr (est.)",185816.0,Dean of Workforce Development & Continuing Education,-1,-1,-1,The City University of New York (CUNY), NY,3.8,0,176,10000+ Employees,1847,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.3,3.5,3.7,3.2,3.7,2023-05-25 09:37:30.282163,yr
10,"$101,067 /yr (est.)",101067.0,Assistant or Deputy City Solicitor – Regulatory Law Unit – Water Division,-1,-1,-1,City of Philadelphia, PA,3.6,0,341,10000+ Employees,1682,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.4,3.6,3.2,3.0,3.6,2023-05-25 09:37:31.994876,yr
11,"$72,417 /yr (est.)",72417.0,Talent Attraction Business Partner (TABP),-1,-1,-1,The LDM Group, MD,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,3.9,4.1,4.4,2023-05-25 09:37:33.755168,yr
12,"$45,452 /yr (est.)",45452.0,Administrative Assistant (Real Estate/General Office),-1,-1,-1,United States Solar Corporation, MN,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.1,4.5,4.5,5.0,2023-05-25 09:37:36.457217,yr
13,"$60,000 /yr (est.)",60000.0,Business Developer,-1,-1,-1,Mavenoid, NY,4.2,0,6,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.5,4.0,4.3,3.9,3.9,2023-05-25 09:37:39.188737,yr
14,"$128,427 /yr (est.)",128427.0,ITD Systems Archtect,-1,-1,-1,University of Maryland, MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,4.0,2023-05-25 09:37:40.973610,yr
16,"$37,833 /yr (est.)",37833.0,Public Relations & Marketing Assistant,-1,-1,-1,Breakthrough Corporation, TN,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.1,2.7,3.3,2.6,2.9,2023-05-25 09:37:46.768767,yr
17,"$70,000 /yr (est.)",70000.0,Human Resources Generalist - Training,-1,-1,-1,Community Housing Innovations Inc, NY,2.8,0,32,201 to 500 Employees,1991,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,2.3,2.4,2.3,2.5,2.5,2023-05-25 09:37:49.470143,yr
18,"$76,883 /yr (est.)",76883.0,Associate Engineer,-1,-1,-1,ConverseNow Technologies, TX,4.6,0,5,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.4,4.5,4.7,4.4,2023-05-25 09:37:51.151168,yr
19,$11.00 /hr (est.),22880.0,"2022-2023 Office of Social Justice and Inclusion BBC, Student Program Assistant",-1,-1,-1,Florida International University, FL,4.2,0,58,1001 to 5000 Employees,1965,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.9,3.6,4.1,3.7,4.1,2023-05-25 09:37:52.981376,hr
20,"$140,000 /yr (est.)",140000.0,UX Designer - Assistant Vice President,-1,-1,-1,iCapital, CT,3.8,0,22,201 to 500 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.3,3.4,3.7,3.3,3.7,2023-05-25 09:37:54.781386,yr
21,"$78,313 /yr (est.)",78313.0,Teacher - English Language Development - Itinerant / Teacher - CLDE - Future Education Pathway - DCSD Legacy Campus,-1,-1,-1,Douglas County School District - Colorado,United States,3.8,0,65,5001 to 10000 Employees,1958,School / School District,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),3.6,3.1,3.5,3.4,3.5,2023-05-25 09:37:56.676171,yr
22,"$38,743 /yr (est.)",38743.0,Marketing Assistant,-1,-1,-1,Blue Marble Geographics, ME,4.2,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.7,4.6,4.0,4.0,2023-05-25 09:37:58.749727,yr
24,"$45,045 /yr (est.)",45045.0,Adult Day Program Supervisor,-1,-1,-1,Benedictine, MD,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:38:04.412156,yr
25,"$45,277 /yr (est.)",45277.0,Reparative Metadata and Web Content Librarian,-1,-1,-1,Robert W Woodruff Library of the Atlanta University Center Inc, GA,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.6,3.6,3.2,4.0,2023-05-25 09:38:09.389163,yr
26,"$89,075 /yr (est.)",89075.0,"UI/UX Designer, Application Development III H/M",-1,-1,-1,Inetum, MA,3.4,0,53,10000+ Employees,1970,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.2,2.9,3.2,3.1,3.6,2023-05-25 09:38:12.275869,yr
27,"$86,437 /yr (est.)",86437.0,ADMINISTRATOR IV (Housing and Neighborhood Develop. Officer (Full-Time Contractual)),-1,-1,-1,State of Maryland, MD,3.2,0,29,10000+ Employees,1994,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.1,4.0,2.3,2.4,2.6,2023-05-25 09:38:14.197476,yr
