,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$81,018 /yr (est.)",81018.0,Conversational AI and VUI Designer & Developer,-1,-1,-1,"Rulai, Inc.
2.7", CA,2.7,0,-1,-1,-1,-1,-1,-1,-1,1.4,2.3,2.4,2.4,4.6,2023-05-25 09:43:08.647207,yr
1,"$104,114 /yr (est.)",104114.0,Senior Web Developer,-1,-1,-1,"Veridian Credit Union
4.3", IA,4.3,0,89,501 to 1000 Employees,1934,Self-employed,Banking & Lending,Financial Services,$100 to $500 million (USD),4.1,4.2,4.4,4.0,3.9,2023-05-25 09:43:11.431333,yr
2,"$125,000 /yr (est.)",125000.0,"ChatGPT and AI Developer (100% Remote, full-time)",-1,-1,-1,"Inside.com
3.3",Remote,3.3,1,-1,-1,-1,-1,-1,-1,-1,3.3,3.0,3.2,3.1,3.0,2023-05-25 09:43:13.572871,yr
3,$84.50 /hr (est.),175760.0,IT MS Power Platform Developer & Architect (NC55-A),-1,-1,-1,Resource Management Associates LLC.,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:43:16.348897,hr
4,"$133,500 /yr (est.)",133500.0,Salesforce Einstein Bot Developer (REMOTE),-1,-1,-1,"GEICO
3.0", MD,3.0,0,87,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,2023-05-25 09:43:20.997039,yr
5,"$97,378 /yr (est.)",97378.0,AI Integration Developer,-1,-1,-1,"American Heritage Credit Union
3.3", PA,3.3,0,75,501 to 1000 Employees,1948,Company - Private,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.0,3.2,3.7,3.0,3.1,2023-05-25 09:43:22.831211,yr
6,$87.50 /hr (est.),182000.0,Curriculum Writer/SME - AI,-1,-1,-1,"Chegg
4.1",Remote,4.1,1,18,1001 to 5000 Employees,2005,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),3.7,3.8,3.9,3.8,4.1,2023-05-25 09:43:24.605376,hr
7,$70.45 /hr (est.),146536.0,Omni Channel developer,-1,-1,-1,"Formac Inc
4.2",Remote,4.2,1,10,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.7,3.9,4.1,3.9,2023-05-25 09:43:26.499658,hr
8,"$71,015 /yr (est.)",71015.0,RPA Developer - UiPath - Solution Specialist,-1,-1,-1,"Deloitte
4.1", AZ,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-05-25 09:43:28.338000,yr
9,"$89,309 /yr (est.)",89309.0,Senior Conversational AI and VUI Designer & Developer,-1,-1,-1,"Rulai, Inc.
2.7", CA,2.7,0,-1,-1,-1,-1,-1,-1,-1,1.4,2.3,2.4,2.4,4.6,2023-05-25 09:43:32.459445,yr
