,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$54,377 /yr (est.)",54377.0,"Sr. Analyst, Social Media Marketing",2,1,1,"Restaurant Brands International
3.8", FL,3.8,0,9,1001 to 5000 Employees,2014,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$5 to $10 billion (USD),3.9,3.8,3.8,3.6,3.2,2023-05-24 23:56:47.048112,yr
3,"$62,500 /yr (est.)",62500.0,Creative Marketing Analyst,5,1,-1,"Musely
3.9", CA,3.9,0,-1,-1,-1,-1,-1,-1,-1,4.3,3.5,4.1,3.7,3.9,2023-05-24 23:56:58.222557,yr
4,"$65,147 /yr (est.)",65147.0,Market Research Analyst/Marketing,3,1,1,"LeadVision
2.9", NC,2.9,0,16,1 to 50 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.0,3.1,3.3,3.0,3.1,2023-05-24 23:57:00.903057,yr
5,"$70,000 /yr (est.)",70000.0,Marketing Analyst (E-commerce),-1,-1,-1,"Kindred Bravely
4.0",Remote,4.0,1,8,1 to 50 Employees,2015,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,4.0,3.7,4.2,3.8,3.9,2023-05-24 23:57:02.765663,yr
6,$125.00 /hr (est.),260000.0,Digital Marketing Analyst (Sales),2,2,-1,"JEMSU
4.2", CO,4.2,0,13,1 to 50 Employees,2010,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),4.0,3.5,4.4,3.9,4.3,2023-05-24 23:57:04.558426,hr
7,"$54,070 /yr (est.)",54070.0,Social Media Response Analyst,0,1,-1,"Interactive Brokers
3.7", CT,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.4,4.0,3.5,3.3,3.6,2023-05-24 23:57:06.277128,yr
8,"$67,500 /yr (est.)",67500.0,Marketing Analyst,2,1,1,"Youtech
3.6", IL,3.6,0,11,1 to 50 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.9,3.6,4.1,4.0,4.0,2023-05-24 23:57:09.042662,yr
9,"$74,469 /yr (est.)",74469.0,"Senior Analyst, Social Media",2,1,1,"XPO
3.6", CT,3.6,0,12,10000+ Employees,2011,Company - Public,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD),3.5,3.6,3.4,3.3,3.2,2023-05-24 23:57:13.186581,yr
10,"$6,317 /mo (est.)",75804.0,Communications & Marketing Analyst,0,1,0,"Board of Governors California Community Colleges Chancellor's Office
4.6", CA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.3,4.7,4.2,4.0,2023-05-24 23:57:14.858808,mo
13,"$100,000 /yr (est.)",100000.0,Sr. Marketing Data Analyst - Remote,5,1,1,"Designit
4.0", WA,4.0,0,32,501 to 1000 Employees,1991,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.8,3.3,4.2,3.8,4.0,2023-05-24 23:57:26.678305,yr
