,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$89,092 /yr (est.)",89092.0,Consultant (Software Developer),-1,-1,-1,SharpQuest, MI,-1,0,14,1 to 50 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-05-25 09:48:59.012314,yr
2,"$85,169 /yr (est.)",85169.0,IT Consultant,-1,-1,-1,Deloitte, SC,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-05-25 09:49:08.303688,yr
3,"$79,728 /yr (est.)",79728.0,E T Consultant,-1,-1,-1,World Bank Group, DC,4.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:49:12.426036,yr
6,"$80,875 /yr (est.)",80875.0,Technical Consultant - Impact,-1,-1,-1,ServiceNow, FL,4.5,0,19,10000+ Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),4.3,4.4,4.6,4.3,4.3,2023-05-25 09:49:22.196370,yr
7,$87.50 /hr (est.),182000.0,Technical Consultant - I,-1,-1,-1,Strivernet RPO Services Ltd,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:49:24.082882,hr
11,"$117,322 /yr (est.)",117322.0,AI Data Science Senior Consultant,-1,-1,-1,Deloitte, VA,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-05-25 09:49:40.716883,yr
14,"$117,500 /yr (est.)",117500.0,Data Science Consultant Level II,-1,-1,-1,Pandata,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:49:49.177793,yr
15,"$111,500 /yr (est.)",111500.0,Microsoft Dynamics 365 Finance and Supply Chain Package Consultant,-1,-1,-1,IBM, GA,4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-05-25 09:49:53.946984,yr
16,"$90,490 /yr (est.)",90490.0,"Data Reporting and Analytics Consultant II, Biostatistics",-1,-1,-1,Kaiser Permanente, CA,3.9,0,78,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.7,4.3,3.6,3.2,3.5,2023-05-25 09:49:55.915788,yr
18,$52.50 /hr (est.),109200.0,Security Consultant,-1,-1,-1,HCL Americas, CO,4.0,0,22,501 to 1000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.0,3.8,4.0,3.7,4.0,2023-05-25 09:50:00.566267,hr
20,"$110,387 /yr (est.)",110387.0,Data Science Consultant,-1,-1,-1,Tekcogno, CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.5,4.5,4.0,4.0,2023-05-25 09:50:05.339271,yr
22,"$52,242 /yr (est.)",52242.0,WorkForce Time & Attendance Consultant,-1,-1,-1,Baer Group, GA,3.6,0,26,Unknown,1997,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.3,3.4,3.3,3.6,3.7,2023-05-25 09:50:11.530525,yr
23,"$125,000 /yr (est.)",125000.0,Data Visualization Consultant,-1,-1,-1,"33Floors, LLC", CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 09:50:13.474798,yr
24,"$62,594 /yr (est.)",62594.0,Client Success Consultant- Healthcare,-1,-1,-1,CALL BOX, TX,3.6,0,35,201 to 500 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.2,2.8,3.6,3.1,3.4,2023-05-25 09:50:18.182586,yr
25,"$118,566 /yr (est.)",118566.0,Lead Strategic Business Consultant - United States,-1,-1,-1,Introhive, GA,3.2,0,11,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2.7,3.4,3.2,2.8,4.0,2023-05-25 09:50:20.120398,yr
