,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$161,975 /yr (est.)",161975.0,Machine Learning Engineer - Computer Vision,3,1,0,"TikTok
3.6", WA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.5,3.1,3.0,2023-05-24 00:45:00.234432,yr
1,"$170,143 /yr (est.)",170143.0,Deep Learning Engineer,5,1,-1,"Carbon Robotics
4.6", WA,4.6,0,5,51 to 200 Employees,2018,Company - Private,Farm Support,Agriculture,Unknown / Non-Applicable,4.5,3.9,4.2,4.3,3.9,2023-05-24 00:45:04.418269,yr
2,"$106,208 /yr (est.)",106208.0,Deep Learning / Computer Vision engineer,3,2,1,"IREX
3.8", VA,3.8,0,54,1001 to 5000 Employees,1969,Company - Private,Construction,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),4.1,3.6,4.0,3.7,3.8,2023-05-24 00:45:06.479180,yr
3,"$130,442 /yr (est.)",130442.0,Deep Learning and Computer Vision Engineer,3,1,-1,"Imagry
5.0", CA,5.0,0,8,1 to 50 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.0,4.5,3.9,4.5,4.5,2023-05-24 00:45:08.194217,yr
4,"$135,000 /yr (est.)",135000.0,eGain Infrastructure Engineer,7,1,-1,Wisemen Multimedia, GA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:45:09.994079,yr
5,"$91,476 /yr (est.)",91476.0,Pre-Doc: Jr. Machine Learning Engineer,0,1,0,"Argonne National Laboratory
4.4", IL,4.4,0,77,1001 to 5000 Employees,1946,Government,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.9,4.0,4.2,3.9,4.3,2023-05-24 00:45:15.034760,yr
6,"$135,739 /yr (est.)",135739.0,"Software Engineer, Deep Learning for Computer Vision",0,1,1,"Kodiak Robotics
4.3", CA,4.3,0,5,1 to 50 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.2,4.1,4.3,4.3,4.2,2023-05-24 00:45:16.943835,yr
7,"$125,000 /yr (est.)",125000.0,Remote Experienced Frontend Engineer - React,4,2,-1,"TheoremOne, LLC
4.2",Remote,4.2,1,16,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.4,4.3,4.4,4.1,4.3,2023-05-24 00:45:18.704941,yr
8,"$1,367 /mo (est.)",16404.0,Audio AI Engineer,0,1,-1,"A.V. Mapping Co., LTD",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:45:23.204381,mo
9,$75.00 /hr (est.),156000.0,Aruba Wireless Engineer,10,1,1,"Amaze Systems Inc
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-24 00:45:27.759227,hr
11,"$130,000 /yr (est.)",130000.0,AI Engineer,7,2,-1,NLB Technology Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:45:33.479750,yr
13,"$51,150 /yr (est.)",51150.0,Application Developer on Z Apprentice,0,2,0,"IBM
4.0", CA,4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-05-24 00:45:41.160450,yr
14,"$101,738 /yr (est.)",101738.0,Machine Learning Engineer,0,1,-1,"Flock Safety
4.2", GA,4.2,0,6,501 to 1000 Employees,2017,Unknown,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,4.3,4.0,3.9,2023-05-24 00:45:43.268854,yr
15,"$80,000 /yr (est.)",80000.0,Software Engineer,1,1,-1,"Skyline Nav AI, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:45:45.617442,yr
17,"$165,350 /yr (est.)",165350.0,Machine Learning Engineer,0,1,1,"Adobe
4.4", CA,4.4,0,41,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.0,4.4,4.4,3.9,4.3,2023-05-24 00:45:56.232554,yr
18,$57.50 /hr (est.),119600.0,ML Engineer,0,2,-1,"Agile Tech Labs
5.0", CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:45:58.160034,hr
19,"$103,704 /yr (est.)",103704.0,Senior Deep Learning Engineer,3,2,1,"UVeye
4.0", NJ,4.0,0,7,51 to 200 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.2,4.1,4.0,4.0,2023-05-24 00:46:02.052257,yr
20,$53.00 /hr (est.),110240.0,Software Development Engineer in Test (SDET),5,2,1,"Data Systems Integration Group
3.5", WA,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.1,2.9,3.1,3.3,2023-05-24 00:46:04.146140,hr
21,"$216,500 /yr (est.)",216500.0,Staff Machine Learning Engineer,5,1,-1,"AppLovin
3.6",Remote,3.6,1,11,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.0,3.4,3.4,3.1,2023-05-24 00:46:06.987819,yr
22,"$98,489 /yr (est.)",98489.0,Machine Learning Engineer,0,1,-1,"CoVar
5.0", NC,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-24 00:46:08.893929,yr
23,"$154,000 /yr (est.)",154000.0,Machine Learning Engineer,4,1,1,OXMAN, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 00:46:11.857117,yr
25,$45.00 /hr (est.),93600.0,Computer Vision Engineer I,2,1,-1,"Intelliswift Software, Inc.
4.2", PA,4.2,0,22,1001 to 5000 Employees,2001,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),4.1,3.9,4.1,4.0,4.1,2023-05-24 00:46:22.343297,hr
26,"$78,652 /yr (est.)",78652.0,Frontend Software Engineer,10,1,1,"Smarty
4.8", UT,4.8,0,12,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.6,4.7,4.7,4.7,4.9,2023-05-24 00:46:24.321178,yr
28,"$175,000 /yr (est.)",175000.0,ML/Deep Learning Engineer,5,2,1,"AppZen
3.9", CA,3.9,0,11,51 to 200 Employees,2012,Company - Private,Financial Transaction Processing,Financial Services,$1 to $5 million (USD),3.7,3.8,4.0,3.8,3.7,2023-05-24 00:46:29.881063,yr
29,"$120,894 /yr (est.)",120894.0,Machine Learning Engineer- Computer Vision,0,1,-1,"STR
4.2", MA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,2023-05-24 00:46:40.971146,yr
30,"$109,740 /yr (est.)",109740.0,Senior Machine Learning Engineer,0,1,-1,"Vanguard
3.6", PA,3.6,0,48,10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,3.4,3.8,3.2,3.9,2023-05-24 00:46:42.899329,yr
31,"$136,000 /yr (est.)",136000.0,"Software Engineer, Machine Learning - Generative AI",2,1,-1,"Meta
3.9",Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-24 00:46:44.845365,yr
32,"$137,755 /yr (est.)",137755.0,"Machine Learning Engineer – 3D computer vision, Autopilot AI",0,2,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 00:46:46.880029,yr
33,"$90,623 /yr (est.)",90623.0,Machine Learning Engineer - Multimodal Deep Learning,3,1,-1,"Eduworks Corporation
4.5", OR,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,4.5,4.5,2023-05-24 00:46:48.807679,yr
34,"$150,000 /yr (est.)",150000.0,Computer Vision AI Engineer,3,2,-1,"Ianuly Talent Accelerators
4.6",United States,4.6,0,14,1 to 50 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.4,5.0,4.8,2023-05-24 00:46:51.626355,yr
35,"$118,262 /yr (est.)",118262.0,Machine Learning Engineer,0,2,1,"Analog Devices
4.1", MA,4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,2023-05-24 00:46:53.495177,yr
36,"$100,100 /yr (est.)",100100.0,Machine Learning Engineer,3,2,1,"Osmo
5.0", MA,5.0,0,1,1 to 50 Employees,2022,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-24 00:46:55.690311,yr
38,"$119,789 /yr (est.)",119789.0,Machine Learning Engineer,0,1,-1,"Broad Institute
4.4", MA,4.4,0,19,1001 to 5000 Employees,2004,Nonprofit Organization,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),4.2,3.9,4.6,4.0,4.1,2023-05-24 00:47:01.708445,yr
39,"$140,000 /yr (est.)",140000.0,Machine Learning Engineer,3,1,1,"Idea Evolver
4.0",Remote,4.0,1,12,1 to 50 Employees,2011,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.0,4.1,4.0,4.0,4.3,2023-05-24 00:47:03.924745,yr
40,"$63,785 /yr (est.)",63785.0,AI/ML Ops Engineer - Multimodal Deep Learning,3,1,-1,"Eduworks Corporation
4.5", OR,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,4.5,4.5,2023-05-24 00:47:06.066420,yr
41,"$113,934 /yr (est.)",113934.0,Software Engineer 1 - Machine Learning,0,1,-1,"Abacus.AI
4.9", CA,4.9,0,4,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.8,4.7,5.0,4.6,2023-05-24 00:47:09.138917,yr
42,"$136,572 /yr (est.)",136572.0,"Deep Learning Vision Engineer, Tesla Bot",0,2,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 00:47:11.178031,yr
43,"$112,815 /yr (est.)",112815.0,Machine Learning Engineer,4,1,-1,"The Evolvers Group
3.8", MD,3.8,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.2,3.2,3.2,2023-05-24 00:47:13.166033,yr
44,"$104,694 /yr (est.)",104694.0,Computer Vision Engineer,0,1,-1,"AGCO
3.9", IL,3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-24 00:47:16.156300,yr
45,"$150,000 /yr (est.)",150000.0,Machine Learning Engineer,2,1,-1,"Hive
3.8", WA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.6,3.7,3.0,4.1,2023-05-24 00:47:18.129346,yr
46,"$142,664 /yr (est.)",142664.0,Lead Machine Learning / Deep Learning Engineer,5,2,-1,"Audax Labs
3.7", WA,3.7,0,7,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.5,3.7,3.5,3.7,2023-05-24 00:47:21.292319,yr
47,"$137,123 /yr (est.)",137123.0,Autonomy Engineer - Deep Learning,2,1,-1,"Skydio
4.8", CA,4.8,0,9,501 to 1000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.7,4.5,4.7,4.6,4.1,2023-05-24 00:47:23.274622,yr
49,"$144,500 /yr (est.)",144500.0,Machine Learning Engineer,0,1,-1,"Hayden AI Technologies
5.0", CA,5.0,0,4,51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-24 00:47:28.839318,yr
50,"$204,000 /yr (est.)",204000.0,"Staff Machine Learning Engineer - NLP, LLM, Deep-Learning",10,1,1,"Eightfold.AI
3.5", CA,3.5,0,7,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.5,3.8,3.4,3.2,3.5,2023-05-24 00:47:31.036757,yr
51,"$185,000 /yr (est.)",185000.0,Senior/Staff Deep Learning Engineer,8,1,1,"Hayden AI Technologies
5.0", CA,5.0,0,4,51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),5.0,5.0,5.0,5.0,5.0,2023-05-24 00:47:33.200381,yr
52,"$205,000 /yr (est.)",205000.0,Senior Machine Learning Engineer,0,2,-1,"Lambda
4.0",Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,2023-05-24 00:47:35.280546,yr
53,"$118,678 /yr (est.)",118678.0,Senior Deep Learning Engineer (Computer Vision,0,1,1,Approgence Inc., CA,-1,0,17,1 to 50 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1,-1,-1,-1,-1,2023-05-24 00:47:38.519803,yr
54,"$207,125 /yr (est.)",207125.0,Senior Deep Learning Engineer - Drug Discovery AI,5,1,1,"Oski Technology
4.6", CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.5,4.5,4.6,4.4,4.2,2023-05-24 00:47:42.558895,yr
55,"$172,000 /yr (est.)",172000.0,"Software Engineer, Computer Vision",0,1,-1,"Meta
3.9",Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-24 00:47:44.642935,yr
56,"$120,000 /yr (est.)",120000.0,Machine Learning Research Engineer,4,1,-1,"Leidos
3.9", MI,3.9,0,54,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.8,3.6,3.8,3.6,4.0,2023-05-24 00:47:46.972116,yr
57,"$116,060 /yr (est.)",116060.0,Staff Software Engineer - Deep Learning Acceleration,5,1,1,"Aurora Innovation
3.9", CO,3.9,0,6,201 to 500 Employees,2017,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.1,3.9,3.9,3.8,2023-05-24 00:47:49.101251,yr
58,"$109,740 /yr (est.)",109740.0,Senior Machine Learning Engineer,-1,-1,-1,"Vanguard
3.6", PA,3.6,0,48,10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,3.4,3.8,3.2,3.9,2023-05-24 00:48:00.618038,yr
59,"$150,000 /yr (est.)",150000.0,Computer Vision AI Engineer,3,2,-1,"Ianuly Talent Accelerators
4.6",United States,4.6,0,14,1 to 50 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.4,5.0,4.8,2023-05-24 00:48:03.186754,yr
61,"$137,755 /yr (est.)",137755.0,"Machine Learning Engineer – 3D computer vision, Autopilot AI",0,2,-1,"Tesla
3.6", CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-24 00:48:08.579379,yr
63,"$208,400 /yr (est.)",208400.0,Software Engineer - Machine Learning Infrastructure,0,1,1,"ByteDance
4.0", CA,4.0,0,11,10000+ Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.6,3.3,2023-05-24 00:48:14.936767,yr
65,"$90,623 /yr (est.)",90623.0,Machine Learning Engineer - Multimodal Deep Learning,3,1,-1,"Eduworks Corporation
4.5", OR,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,4.5,4.5,2023-05-24 00:48:21.452624,yr
66,"$120,894 /yr (est.)",120894.0,Machine Learning Engineer- Computer Vision,0,1,-1,"STR
4.2", MA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,2023-05-24 00:48:24.794918,yr
