,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$75,000 /yr (est.)",75000.0,Customer Operations Specialist,5,1,1,Kooth USA,Remote,3.3,1,22,201 to 500 Employees,2001,Company - Public,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),3.2,3.1,3.3,3.1,3.2,2023-05-25 00:07:00.876502,yr
1,"$51,220 /yr (est.)",51220.0,Customer Care & Social Media Reporting Specialist,0,2,1,Publix, FL,3.7,0,93,10000+ Employees,1930,Company - Private,Grocery Stores,Retail & Wholesale,$10+ billion (USD),3.8,3.7,3.7,3.3,3.3,2023-05-25 00:07:02.970358,yr
2,"$77,170 /yr (est.)",77170.0,Social Media Specialist (Remote) - Public Relations & Marketing,0,1,1,Keck Medical Center of USC, CA,4.0,0,138,5001 to 10000 Employees,1885,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.9,4.0,3.8,3.4,4.0,2023-05-25 00:07:04.856836,yr
3,"$69,067 /yr (est.)",69067.0,Digital Communications Specialist,10,1,1,Plains All American Pipeline, TX,3.7,0,25,5001 to 10000 Employees,1998,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),2.9,3.6,3.5,3.1,3.8,2023-05-25 00:07:06.798268,yr
4,"$56,609 /yr (est.)",56609.0,Talent Development Specialist,3,1,1,Spire Inc., PA,3.7,0,166,1001 to 5000 Employees,1857,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.7,3.7,3.7,3.1,3.6,2023-05-25 00:07:08.904083,yr
5,$25.00 /hr (est.),52000.0,Guest Relations Specialist,2,1,1,Sofitel Los Angeles At Beverly Hills, CA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.5,3.7,3.4,3.2,2023-05-25 00:07:11.028761,hr
6,"$40,196 /yr (est.)",40196.0,Member Experience Specialist,3,1,1,Apple Federal Credit Union, VA,4.2,0,67,501 to 1000 Employees,1956,Nonprofit Organization,Banking & Lending,Financial Services,$1 to $5 billion (USD),4.0,4.1,4.3,4.2,4.2,2023-05-25 00:07:17.186740,yr
7,"$157,790 /yr (est.)",157790.0,Software and Security Analyst Relations Professional,6,1,1,INTEL, CA,4.2,0,55,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,2023-05-25 00:07:19.604297,yr
8,"$57,619 /yr (est.)",57619.0,"Finance Communications Specialist II, Investor Relations",0,1,1,Boston Scientific Corporation, MA,4.1,0,44,10000+ Employees,1979,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.9,4.2,3.8,3.8,2023-05-25 00:07:22.026840,yr
9,$21.00 /hr (est.),43680.0,Marketing Specialist,0,1,1,VIP HR, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 00:07:24.083829,hr
10,"$51,153 /yr (est.)",51153.0,Employee Engagement Specialist,0,2,-1,G.W. Lisk Company, NY,3.7,0,113,501 to 1000 Employees,1910,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),3.1,2.8,3.3,2.8,3.3,2023-05-25 00:07:29.459876,yr
11,$22.00 /hr (est.),45760.0,Call Quality Assurance Specialist,0,2,1,Trinity Solar Careers, NJ,4.0,0,29,1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),3.9,4.1,3.9,3.8,3.6,2023-05-25 00:07:31.634238,hr
12,"$75,000 /yr (est.)",75000.0,eCommerce Conversion Specialist,5,1,1,Road Runner Sports, CA,3.4,0,40,501 to 1000 Employees,1983,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$25 to $100 million (USD),3.1,3.3,3.1,3.0,3.1,2023-05-25 00:07:33.797716,yr
