,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$120,000 /yr (est.)",120000.0,Sr. Maintenance & Reliability Engineer,-1,-1,-1,Cargill, CA,4.0,0,158,10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.7,3.9,4.0,3.5,3.7,2023-05-25 10:11:39.179777,yr
1,"$143,375 /yr (est.)",143375.0,Maintenance Manager,-1,-1,-1,Eaton Corporation, NC,3.9,0,112,10000+ Employees,1911,Company - Private,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.6,3.9,3.4,3.7,2023-05-25 10:11:40.896177,yr
2,"$84,116 /yr (est.)",84116.0,Maintenance & Reliability Engineer,-1,-1,-1,Cargill, PA,4.0,0,158,10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.7,3.9,4.0,3.5,3.7,2023-05-25 10:11:42.722099,yr
3,"$142,000 /yr (est.)",142000.0,Senior Rotating Equipment Maintenance Engineer,-1,-1,-1,OCI Beaumont, TX,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.5,2.7,2.8,3.4,2023-05-25 10:11:44.305882,yr
4,"$64,216 /yr (est.)",64216.0,Field Service Engineer I,-1,-1,-1,Omnicell, RI,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Health Care Services & Hospitals,Healthcare,$1 to $5 million (USD),3.2,3.4,3.2,2.9,3.3,2023-05-25 10:11:47.562383,yr
5,"$75,269 /yr (est.)",75269.0,Engineering Maintenance Technician,-1,-1,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.4,3.1,2.9,2023-05-25 10:11:49.613189,yr
6,"$116,802 /yr (est.)",116802.0,Maintenance Production Coordinator I,-1,-1,-1,Lawrence Livermore National Laboratory, CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.6,2023-05-25 10:11:51.394827,yr
7,"$71,642 /yr (est.)",71642.0,Facilities Engineer,-1,-1,-1,Cytiva, SC,3.8,0,3,5001 to 10000 Employees,2020,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),3.5,3.6,3.8,3.3,3.8,2023-05-25 10:11:53.515197,yr
8,"$66,295 /yr (est.)",66295.0,Data Center Operating Engineer/Maintenance Tech,-1,-1,-1,JLL, NC,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.5,3.9,3.5,3.7,2023-05-25 10:11:57.659565,yr
11,"$47,400 /yr (est.)",47400.0,Engineer I - Full Time - Detroit,-1,-1,-1,MGM Resorts International, MI,3.7,0,22,10000+ Employees,2001,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$10+ billion (USD),3.6,3.6,3.6,3.2,3.3,2023-05-25 10:12:05.901563,yr
12,"$100,833 /yr (est.)",100833.0,Chief Engineer-PA,-1,-1,-1,C&W Services, PA,3.4,0,72,10000+ Employees,1951,Company - Private,Building & Personnel Services,Management & Consulting,$1 to $5 billion (USD),3.4,3.3,3.2,3.0,3.2,2023-05-25 10:12:07.513541,yr
13,"$76,652 /yr (est.)",76652.0,Maintenance Manager,-1,-1,-1,Mondelēz International, IL,4.0,0,11,10000+ Employees,2012,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.8,3.9,3.5,3.6,2023-05-25 10:12:09.511693,yr
14,$38.75 /hr (est.),80600.0,"Industrial Maintenance Engineer -- Kansas City, KS",-1,-1,-1,Amsted Manufacturing USA, KS,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:12:11.538370,hr
15,"$91,719 /yr (est.)",91719.0,Area Maintenance Planning Engineer,-1,-1,-1,"Messer North America, Inc.", TX,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.7,3.4,3.2,3.1,2023-05-25 10:12:16.267797,yr
16,"$77,160 /yr (est.)",77160.0,Maintenance Reliability Engineer,-1,-1,-1,PPG Industries, OH,3.5,0,140,10000+ Employees,1883,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.2,3.4,3.3,3.2,3.4,2023-05-25 10:12:19.365337,yr
17,"$105,000 /yr (est.)",105000.0,Facilities Engineer,-1,-1,-1,Swarm Technologies, FL,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:12:21.175772,yr
18,"$91,378 /yr (est.)",91378.0,Maintenance & Reliability Engineer,-1,-1,-1,KBR, MI,4.0,0,122,10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD),3.8,3.8,3.8,3.7,3.9,2023-05-25 10:12:23.251736,yr
