,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$172,000 /yr (est.)",172000.0,"Software Engineer, Computer Vision - Reality Labs",0,1,-1,"Meta
3.9",Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-05-24 01:26:04.593302,yr
1,"$167,500 /yr (est.)",167500.0,Robotics Software Engineer,3,1,1,"Bear Robotics
2.2", CA,2.2,0,-1,-1,-1,-1,-1,-1,-1,2.2,2.5,2.3,1.7,2.5,2023-05-24 01:26:06.548967,yr
2,"$81,479 /yr (est.)",81479.0,Robotics Software Engineer 1,4,1,-1,"Applied Research Associates, Inc
4.2", VT,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,2023-05-24 01:26:09.594947,yr
5,"$106,500 /yr (est.)",106500.0,Mechanical Engineer,4,1,1,OXMAN, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:26:20.489881,yr
7,"$95,000 /yr (est.)",95000.0,Automation Engineer,5,1,-1,"True Velocity
4.3", TX,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.7,4.0,4.2,4.3,3.7,2023-05-24 01:26:28.001084,yr
8,"$174,450 /yr (est.)",174450.0,Staff Robotics Software Engineer,6,1,1,"Johnson & Johnson
4.2", CA,4.2,0,136,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.9,4.1,4.2,3.8,4.0,2023-05-24 01:26:30.757709,yr
9,"$141,500 /yr (est.)",141500.0,Software Engineer,3,1,-1,"Pyka
5.0", CA,5.0,0,6,1 to 50 Employees,2017,Unknown,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.9,4.7,4.9,4.8,4.8,2023-05-24 01:26:32.614191,yr
10,"$110,000 /yr (est.)",110000.0,Integration Engineer,3,1,-1,"Phantom Auto
4.4", CO,4.4,0,6,1 to 50 Employees,2017,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,4.6,4.5,4.5,4.5,4.1,2023-05-24 01:26:34.636218,yr
11,$31.15 /hr (est.),64792.0,"Amazon Robotics - Technical Artist Co-op - July to December 2023, Virtual Systems",0,1,-1,"Amazon.com Services LLC
3.8",Remote,3.8,1,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-05-24 01:26:36.387094,hr
13,"$101,491 /yr (est.)",101491.0,Dialog Engineer,5,1,0,"Deloitte
4.1", TX,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-05-24 01:26:43.967224,yr
15,"$70,814 /yr (est.)",70814.0,Robotics Engineer,8,1,-1,"Tekskills Inc
4.3", IL,4.3,0,20,501 to 1000 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.4,3.9,4.2,4.2,4.3,2023-05-24 01:26:49.135661,yr
16,"$110,000 /yr (est.)",110000.0,Robotics Mechanical Engineer,5,1,-1,"PopUp Talent
4.0", CA,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.4,3.7,3.7,4.0,2023-05-24 01:26:51.149353,yr
18,"$38,307 /yr (est.)",38307.0,Robotics Operator,0,2,1,"Ocado Group
3.5", GA,3.5,0,23,10000+ Employees,2000,Company - Public,Grocery Stores,Retail & Wholesale,$1 to $5 billion (USD),3.2,3.3,3.3,3.1,3.2,2023-05-24 01:26:58.760064,yr
19,"$76,998 /yr (est.)",76998.0,ROBOTICS ENGINEER,0,1,0,ARIS Technology, IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:27:00.751480,yr
20,"$117,500 /yr (est.)",117500.0,Software Engineer - Frontend,0,1,-1,"Coco
4.1", CA,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.7,3.9,2023-05-24 01:27:05.869190,yr
22,"$108,770 /yr (est.)",108770.0,Amazon Robotics - Hardware Development Engineer Co-Op - July-December 2023,0,1,0,"Amazon.com Services LLC
3.8", MA,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-05-24 01:27:14.557815,yr
23,"$120,000 /yr (est.)",120000.0,Software Engineer,5,1,1,ERTHOS INC, AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:27:16.340586,yr
24,$70.00 /hr (est.),145600.0,Robotic Software engineer(UAV),0,1,-1,"Mobile Programming LLC
3.8",Remote,3.8,1,23,1001 to 5000 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.8,3.5,3.5,3.4,3.6,2023-05-24 01:27:21.365101,hr
25,"$100,000 /yr (est.)",100000.0,Linux Kernel Software Engineer,0,2,-1,Scythe Robotics,United States,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:27:23.814464,yr
26,"$80,472 /yr (est.)",80472.0,C++ Robotics Engineer,0,1,-1,"Autonomous Solutions
4.6", UT,4.6,0,23,51 to 200 Employees,2000,Company - Private,Electronics Manufacturing,Manufacturing,$5 to $25 million (USD),4.4,4.2,4.6,4.5,4.5,2023-05-24 01:27:29.145783,yr
27,"$89,500 /yr (est.)",89500.0,Robotics/Automations Engineer,0,1,0,"Vagus Technologies
4.0", NJ,4.0,0,17,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.6,3.9,3.7,3.9,2023-05-24 01:27:31.660682,yr
28,"$67,751 /yr (est.)",67751.0,Frontend Engineer I,0,1,-1,"Foxconn-D Group
3.4", WI,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.4,3.1,2.8,3.0,2023-05-24 01:27:33.833530,yr
29,"$80,785 /yr (est.)",80785.0,Software Engineer I,2,1,1,"Universal Instruments Corporation
2.1", NY,2.1,0,-1,-1,-1,-1,-1,-1,-1,1.9,1.8,2.0,1.8,2.5,2023-05-24 01:27:45.862217,yr
31,"$99,194 /yr (est.)",99194.0,Robotics Engineer,0,-1,-1,Net-Inspect, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 01:27:51.502461,yr
32,"$172,000 /yr (est.)",172000.0,"Backend Engineer, ML Productivity",0,1,-1,"Waymo
3.9", CA,3.9,0,14,Unknown,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.4,4.0,4.0,3.4,3.7,2023-05-24 01:27:56.341486,yr
33,$82.50 /hr (est.),171600.0,Robotics Simulation Engineer,0,2,-1,"Pi-Square Technologies
3.9", NH,3.9,0,4,201 to 500 Employees,2019,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.0,3.7,4.2,4.1,3.9,2023-05-24 01:27:58.349311,hr
35,"$94,255 /yr (est.)",94255.0,"Senior Software Automation Test Engineer, Surgical Robotics",4,1,0,"Johnson & Johnson
4.2", MA,4.2,0,136,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.9,4.1,4.2,3.8,4.0,2023-05-24 01:28:03.756831,yr
36,"$72,014 /yr (est.)",72014.0,Associate Data Engineer,3,1,1,"Benson Hill
3.5", MO,3.5,0,11,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),3.4,3.8,3.7,3.1,3.2,2023-05-24 01:28:05.869738,yr
