,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,$15.00 /hr (est.),31200.0,Location & Price Data Analyst,0,2,1,Complete Staffing LLC,Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-24 06:18:59.330412,hr
1,$52.50 /hr (est.),109200.0,Data Analyst,5,2,-1,Fuge Technologies Inc,Remote,4.7,1,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.3,4.5,2023-05-24 06:19:02.230537,hr
2,$53.87 /hr (est.),112049.6,Data Analyst,5,1,-1,Parsons,Remote,3.9,1,79,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.7,3.6,3.8,3.5,3.8,2023-05-24 06:19:05.208799,hr
3,$20.50 /hr (est.),42640.0,Data Entry Analyst,0,2,-1,Agile Financial Systems, TX,4.3,0,5,51 to 200 Employees,2018,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,4.0,3.8,4.4,4.0,4.6,2023-05-24 06:19:07.052184,hr
4,$42.50 /hr (est.),88400.0,Data Analyst,0,2,1,Arreglo consulting Inc, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 06:19:09.265777,hr
5,$37.00 /hr (est.),76960.0,Project Data Analyst,4,1,1,"PSI Proteam Solutions Inc,", OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 06:19:14.142694,hr
6,$62.50 /hr (est.),130000.0,Data Analyst c2c open,5,-1,-1,NLB Technology Services, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 06:19:18.840913,hr
7,"$87,500 /yr (est.)",87500.0,Data Analyst,0,1,-1,Vetro Tech Inc, NY,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.9,3.4,3.4,3.9,2023-05-24 06:19:23.551899,yr
8,"$74,354 /yr (est.)",74354.0,Data Analyst - Data Insights & Analytics,0,1,1,HomeServe USA, CT,3.8,0,20,1001 to 5000 Employees,2003,Company - Public,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),3.5,4.0,3.9,3.0,3.7,2023-05-24 06:19:26.358637,yr
9,$35.00 /hr (est.),72800.0,Data Analyst,-1,-1,-1,Research Foundation of The City University of New York, NY,4.1,0,60,10000+ Employees,1963,Nonprofit Organization,Research & Development,Management & Consulting,$100 to $500 million (USD),3.9,3.6,4.0,3.8,4.2,2023-05-24 06:19:30.599800,hr
10,"$53,851 /yr (est.)",53851.0,Data Analyst,0,2,-1,Central Willamette Credit Union, OR,3.5,0,68,51 to 200 Employees,1955,Unknown,Banking & Lending,Financial Services,$5 to $25 million (USD),3.3,3.5,3.4,2.9,2.9,2023-05-24 06:19:32.328332,yr
