,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$52,641 /yr (est.)",52641.0,Procurement Specialist,-1,-1,-1,"Sauer Brands, Inc.
2.8", SC,2.8,0,136,1001 to 5000 Employees,1887,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,2.7,2.7,2.4,2.0,2.4,2023-05-25 10:46:33.444726,yr
1,"$53,366 /yr (est.)",53366.0,"Specialist, Logistics",-1,-1,-1,"Proterra, Inc.
3.7", SC,3.7,0,19,201 to 500 Employees,2004,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $100 million (USD),3.4,3.6,3.6,3.0,3.6,2023-05-25 10:46:37.675459,yr
3,"$45,000 /yr (est.)",45000.0,HR Specialist,-1,-1,-1,"Benevolent Home Health Care
5.0", MD,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-05-25 10:46:43.498845,yr
4,"$55,778 /yr (est.)",55778.0,Paid Media Specialist,-1,-1,-1,"Keurig Dr Pepper
3.4", MA,3.4,0,5,10000+ Employees,2018,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.1,3.5,3.2,3.0,3.3,2023-05-25 10:46:46.348590,yr
5,"$66,706 /yr (est.)",66706.0,Manufacturing and Energy Supply Chain Analyst,-1,-1,-1,"Argonne National Laboratory
4.4", IL,4.4,0,77,1001 to 5000 Employees,1946,Government,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.9,4.0,4.2,3.9,4.3,2023-05-25 10:46:48.021917,yr
6,"$52,148 /yr (est.)",52148.0,Program Specialist,-1,-1,-1,"Caterpillar
4.0", IL,4.0,0,98,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.5,3.7,2023-05-25 10:46:50.145100,yr
7,"$44,982 /yr (est.)",44982.0,Water Treatment Specialist,-1,-1,-1,"Goulston
4.0", NC,4.0,0,35,51 to 200 Employees,1988,Company - Private,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),3.3,3.9,3.8,3.7,4.0,2023-05-25 10:46:52.181372,yr
9,"$51,200 /yr (est.)",51200.0,Manufacturing Supervisor - Day Shift,-1,-1,-1,"MST
2.4", OR,2.4,0,-1,-1,-1,-1,-1,-1,-1,2.3,2.4,2.3,2.0,2.6,2023-05-25 10:46:59.287063,yr
10,"$125,000 /yr (est.)",125000.0,"Sr. Sourcing Procurement Specialist, Consumer Electronics",-1,-1,-1,FluidLogic, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:47:02.048729,yr
12,"$156,332 /yr (est.)",156332.0,APS Modeler and Optimization Specialist,-1,-1,-1,"PBF Energy
3.4", CA,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.6,2.9,2.7,2.7,2023-05-25 10:47:09.706508,yr
13,$36.00 /hr (est.),74880.0,Test Specialist (Starlink),-1,-1,-1,"Swarm Technologies
4.2", WA,4.2,0,7,1 to 50 Employees,2016,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.0,4.2,4.3,4.4,4.3,2023-05-25 10:47:12.486769,hr
14,$27.00 /hr (est.),56160.0,ORDER FULFILLMENT SPECIALIST - HYBRID,-1,-1,-1,"Trident Seafoods Corporation
3.6", WA,3.6,0,50,5001 to 10000 Employees,1973,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,3.5,3.4,3.6,3.4,3.4,2023-05-25 10:47:14.263109,hr
15,$50.00 /hr (est.),104000.0,Sr. Engineer,-1,-1,-1,InnovaWorkforce Inc., PR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-25 10:47:15.965696,hr
