,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$65,000 /yr (est.)",65000.0,SEO manager (full-time),-1,-1,-1,Data Driven Marketers, AZ,4.4,0,10,1 to 50 Employees,2013,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),3.8,3.2,4.2,4.2,4.4,2023-05-25 11:26:14.650744,yr
1,"$71,263 /yr (est.)",71263.0,Forecasting and Planning Specialist,3,1,1,AGCO, IL,3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-25 11:26:17.265695,yr
2,"$52,138 /yr (est.)",52138.0,Grants Specialist,5,1,1,Donald Danforth Plant Science Center, MO,4.3,0,25,Unknown,1998,Nonprofit Organization,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.2,4.1,4.3,4.1,4.1,2023-05-25 11:26:19.259342,yr
4,"$80,839 /yr (est.)",80839.0,Data Analyst (ITS4),1,1,1,State of Iowa Talent Gateway, IA,3.7,0,131,10000+ Employees,1892,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,4.0,3.3,3.2,3.3,2023-05-25 11:26:25.167199,yr
5,"$59,877 /yr (est.)",59877.0,Communications Associate,0,1,0,DAI, DC,3.7,0,53,1001 to 5000 Employees,1970,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.5,3.5,3.4,3.1,3.2,2023-05-25 11:26:28.752157,yr
7,"$48,268 /yr (est.)",48268.0,Accounts Payable Coordinator,5,1,-1,FEV North America, MI,3.0,0,38,201 to 500 Employees,1985,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.1,2.9,3.3,2.5,3.2,2023-05-25 11:26:37.021462,yr
8,"$136,755 /yr (est.)",136755.0,Product Manager - Financial Services,8,1,1,Farm Credit Services of America, NE,4.5,0,107,1001 to 5000 Employees,1916,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.3,4.6,4.3,4.0,4.7,2023-05-25 11:26:39.018507,yr
9,"$79,338 /yr (est.)",79338.0,"Associate Director, Customer Experience Design",5,1,0,AGCO, GA,3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,2023-05-25 11:26:40.833574,yr
11,"$79,365 /yr (est.)",79365.0,Change Management Specialist,0,1,1,Western Growers Family of Companies, CA,3.0,0,97,201 to 500 Employees,1926,Nonprofit Organization,Farm Support,Agriculture,$100 to $500 million (USD),2.7,2.8,2.7,2.4,2.7,2023-05-25 11:26:47.009364,yr
12,"$69,787 /yr (est.)",69787.0,OD & Talent Development Specialist,7,1,1,AgFirst Farm Credit Bank, SC,4.3,0,107,201 to 500 Employees,1916,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),4.1,4.5,4.2,4.2,4.2,2023-05-25 11:26:49.518305,yr
14,"$68,137 /yr (est.)",68137.0,COF DATA SPECIALIST– ID# 223269,5,1,1,Research Corporation of the University of Hawaii,Oahu Island,4.0,0,116,10000+ Employees,1907,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.7,3.6,4.2,3.5,4.0,2023-05-25 11:26:54.706688,yr
16,"$48,865 /yr (est.)",48865.0,Asset Management Specialist I,2,1,1,NetImpact Strategies, MO,4.2,0,14,201 to 500 Employees,2009,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),4.3,4.1,4.4,4.3,4.2,2023-05-25 11:27:00.472026,yr
17,"$62,923 /yr (est.)",62923.0,Reporting Specialist,5,1,1,Compeer Financial, MN,4.4,0,107,1001 to 5000 Employees,1916,Company - Private,Banking & Lending,Financial Services,$10+ billion (USD),3.9,4.4,4.7,3.7,4.4,2023-05-25 11:27:02.863151,yr
18,"$101,223 /yr (est.)",101223.0,Imaging Data Scientist,6,1,-1,Corteva, IA,4.1,0,4,10000+ Employees,2019,Company - Public,Farm Support,Agriculture,Unknown / Non-Applicable,3.6,3.9,4.0,3.6,3.8,2023-05-25 11:27:04.800948,yr
