,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
0,"$75,000 /yr (est.)",75000.0,Entry Level Business Analyst,1,1,-1,"Cloudinfraspecs
4.0", CA,4.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.0,4.0,5.0,2023-05-24 07:00:01.078190,yr
1,"$70,000 /yr (est.)",70000.0,Business Intelligence Analyst (Remote),0,1,-1,"Second Wave Delivery Systems, LLC",Remote,-1,1,3,51 to 200 Employees,2020,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-24 07:00:03.916689,yr
3,"$102,256 /yr (est.)",102256.0,"Intermediate + Senior Business Analyst, Agile",0,1,1,"Createch
4.2", CA,4.2,0,30,201 to 500 Employees,1993,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.9,3.6,4.3,4.2,4.3,2023-05-24 07:00:10.760050,yr
5,"$95,475 /yr (est.)",95475.0,Business Analyst,4,1,1,"Dawn Foods
3.5",United States,3.5,0,103,1001 to 5000 Employees,1920,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),3.1,3.7,3.3,3.1,3.2,2023-05-24 07:00:16.723304,yr
6,$23.00 /hr (est.),47840.0,JR Business Analyst,0,2,-1,"Quest Trust Company
3.2", TX,3.2,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.2,3.4,3.0,3.2,2023-05-24 07:00:18.669462,hr
7,"$100,000 /yr (est.)",100000.0,Business Analyst -- Fully Remote,2,1,1,Locks Global Staffing LLC, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:00:21.650562,yr
8,$55.00 /hr (est.),114400.0,Business Analyst,11,2,-1,SNVETECH LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:00:26.210629,hr
9,"$79,286 /yr (est.)",79286.0,data analyst,3,1,-1,"Lead5 Media
4.0", CA,4.0,0,14,1 to 50 Employees,2009,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),4.0,4.0,4.0,5.0,3.0,2023-05-24 07:00:33.354826,yr
10,$33.00 /hr (est.),68640.0,Business Analyst - Remote,7,1,-1,"Stefanini, Inc
3.8", IL,3.8,0,36,10000+ Employees,1987,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.5,3.3,3.7,3.5,3.7,2023-05-24 07:00:35.195830,hr
11,$37.50 /hr (est.),78000.0,Business Analyst II,7,1,1,"NucoreVision, Inc
2.0",Remote,2.0,1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,2023-05-24 07:00:37.147154,hr
12,$44.78 /hr (est.),93142.4,Business Analyst,4,2,1,"Softnice Inc
4.0",Remote,4.0,1,22,501 to 1000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.0,3.8,4.0,3.7,4.0,2023-05-24 07:00:39.996471,hr
13,"$72,500 /yr (est.)",72500.0,Entry Level Business Analyst,2,1,1,AMGTech Solutions, IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:00:41.946676,yr
14,"$85,217 /yr (est.)",85217.0,Business Intelligence Analyst - Remote,7,1,-1,"Restaurant Technologies
3.6", MN,3.6,0,26,1001 to 5000 Employees,1997,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,3.0,3.6,3.3,2.8,3.7,2023-05-24 07:00:46.540187,yr
15,"$112,000 /yr (est.)",112000.0,Business Analyst - Technical,0,2,-1,"IBM
4.0", CA,4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-05-24 07:00:48.892017,yr
16,"$95,981 /yr (est.)",95981.0,Functional Business Analyst,0,1,0,"Convergenz LLC
4.7", DC,4.7,0,23,51 to 200 Employees,2000,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$25 to $100 million (USD),4.5,4.3,4.6,4.6,4.5,2023-05-24 07:00:50.959121,yr
17,"$62,500 /yr (est.)",62500.0,Business Analyst,0,1,-1,The IT Bootcamp, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:00:52.864792,yr
18,"$70,250 /yr (est.)",70250.0,IT Business Analyst I-REMOTE,3,1,1,"UNFI
3.2", MN,3.2,0,45,10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.1,3.5,3.0,2.9,2.8,2023-05-24 07:00:57.515922,yr
21,$55.00 /hr (est.),114400.0,Xstore Business analyst,5,2,-1,NLB Technology Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:01:05.720278,hr
22,$33.99 /hr (est.),70699.2,Data Analyst,8,1,-1,"Ascent IT Solutions
2.9",Remote,2.9,1,-1,-1,-1,-1,-1,-1,-1,3.3,2.2,2.7,2.7,2.3,2023-05-24 07:01:10.486787,hr
23,$47.09 /hr (est.),97947.2,Business Intelligence Analyst,10,1,1,"Interas Labs LLC
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.0,5.0,4.0,2023-05-24 07:01:13.348869,hr
24,"$75,224 /yr (est.)",75224.0,Business Intelligence Analyst,1,1,-1,"Clayco
4.0", MO,4.0,0,39,1001 to 5000 Employees,1984,Company - Private,Construction,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),4.1,4.3,3.9,3.8,3.3,2023-05-24 07:01:16.294374,yr
25,"$65,000 /yr (est.)",65000.0,Business Intelligence Analyst,0,1,-1,"RadNet
2.9", MD,2.9,0,39,5001 to 10000 Employees,1984,Company - Public,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),3.0,2.5,2.6,2.7,2.8,2023-05-24 07:01:18.612300,yr
26,$68.00 /hr (est.),141440.0,Business Analyst,5,2,-1,"On-Demand Group
4.5", MN,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.1,3.8,4.7,4.5,4.3,2023-05-24 07:01:20.867717,hr
27,"$86,489 /yr (est.)",86489.0,Business Analyst,0,2,-1,"ArchsystemInc
4.1",Remote,4.1,1,17,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.3,4.3,4.2,2023-05-24 07:01:23.751335,yr
28,"$69,808 /yr (est.)",69808.0,Junior Business Analyst,0,1,0,"M Powered Strategies
4.0", DC,4.0,0,21,1 to 50 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.0,3.2,4.2,3.9,3.9,2023-05-24 07:01:25.729142,yr
29,$53.87 /hr (est.),112049.6,Data Analyst,5,1,-1,"Parsons
3.9",Remote,3.9,1,79,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.7,3.6,3.8,3.5,3.8,2023-05-24 07:01:37.419636,hr
30,"$62,090 /yr (est.)",62090.0,Business Analyst I,4,1,1,"BlueCross BlueShield of South Carolina
3.6", SC,3.6,0,75,1001 to 5000 Employees,1948,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),3.3,3.6,3.3,3.1,3.7,2023-05-24 07:01:39.387854,yr
31,"$67,500 /yr (est.)",67500.0,Data Analyst - Hybrid - Entry Level,2,1,0,"Rocktop Technologies, LLC", TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:01:41.294348,yr
32,"$77,461 /yr (est.)",77461.0,Business Intelligence (BI) Analyst,2,1,-1,"Security First Insurance Company (Security First Managers)
3.3", FL,3.3,0,18,201 to 500 Employees,2005,Company - Private,Insurance Carriers,Insurance,$5 to $25 million (USD),3.0,3.5,2.9,2.7,3.3,2023-05-24 07:01:46.247641,yr
33,"$74,155 /yr (est.)",74155.0,Business Intelligence Analyst I,0,1,1,"Global Credit Union
3.7", AZ,3.7,0,75,1001 to 5000 Employees,1948,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),3.8,3.8,3.4,3.1,3.7,2023-05-24 07:01:48.294788,yr
34,"$75,038 /yr (est.)",75038.0,Business Analyst,0,1,1,"Uline
3.5", NV,3.5,0,43,5001 to 10000 Employees,1980,Company - Private,Wholesale,Retail & Wholesale,$5 to $10 billion (USD),3.3,4.3,3.3,3.2,2.9,2023-05-24 07:01:50.254701,yr
35,"$80,086 /yr (est.)",80086.0,Business Analyst,0,2,1,"Anblicks
4.1", TX,4.1,0,19,501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.0,3.9,4.1,3.8,4.1,2023-05-24 07:01:52.406621,yr
36,"$73,287 /yr (est.)",73287.0,Business Intelligence Analyst,3,1,-1,"T.D. Williamson, Inc.
3.3", OK,3.3,0,103,1001 to 5000 Employees,1920,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),3.0,3.5,3.3,2.7,3.7,2023-05-24 07:01:54.407340,yr
37,"$82,731 /yr (est.)",82731.0,IT Business Analyst II,0,2,1,"Arbella Insurance Group
4.1", MA,4.1,0,35,1001 to 5000 Employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),4.0,4.1,4.2,4.0,4.2,2023-05-24 07:01:56.317336,yr
38,"$73,000 /yr (est.)",73000.0,Data Analyst,3,1,-1,"IGT International Game Technology
3.8", NY,3.8,0,42,10000+ Employees,1981,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.5,3.4,3.7,3.4,3.7,2023-05-24 07:01:58.458955,yr
39,"$76,510 /yr (est.)",76510.0,Business Analyst,0,2,-1,"State Farm
3.6", IL,3.6,0,101,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.5,3.4,3.6,3.3,3.5,2023-05-24 07:02:00.797855,yr
40,"$84,240 /yr (est.)",84240.0,Data Analyst,2,1,1,"TriNet
3.7",Remote,3.7,1,35,1001 to 5000 Employees,1988,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),3.6,3.9,3.7,3.4,3.6,2023-05-24 07:02:02.843964,yr
42,"$62,612 /yr (est.)",62612.0,Data Analyst,0,2,-1,"Silent Falcon UAS Technologies
4.2", VA,4.2,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.8,5.0,5.0,5.0,2023-05-24 07:02:08.337285,yr
43,"$101,450 /yr (est.)",101450.0,Business Analyst,0,1,-1,"JPMorgan Chase Bank, N.A.
3.8", NJ,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-05-24 07:02:11.608219,yr
44,"$101,800 /yr (est.)",101800.0,Business Intelligence Analyst,3,1,-1,"Warner Bros. Discovery
3.8", NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.7,3.2,3.7,2023-05-24 07:02:13.924083,yr
45,"$71,130 /yr (est.)",71130.0,Business Analyst I - II,0,1,-1,"Blue Cross Blue Shield of Arizona
4.2", AL,4.2,0,84,1001 to 5000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,3.9,4.0,4.3,4.1,4.0,2023-05-24 07:02:16.284646,yr
46,"$77,220 /yr (est.)",77220.0,Associate Business Intelligence Analyst,0,1,0,"Dana-Farber Cancer Institute
4.0", MA,4.0,0,76,1001 to 5000 Employees,1947,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),3.8,3.4,4.1,3.7,3.8,2023-05-24 07:02:18.456932,yr
47,"$71,000 /yr (est.)",71000.0,Business Analyst,0,1,1,"Instec Corp
3.2",Remote,3.2,1,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.0,2.5,3.7,2023-05-24 07:02:20.811672,yr
48,"$70,000 /yr (est.)",70000.0,Data Analyst,3,2,-1,ETC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-24 07:02:24.286541,yr
49,"$58,208 /yr (est.)",58208.0,Data Analyst,0,2,-1,"Envocore, LLC
2.9", MO,2.9,0,-1,-1,-1,-1,-1,-1,-1,2.5,3.0,3.6,3.1,2.8,2023-05-24 07:02:29.460683,yr
